"","Tray","Moisture","Fertilizer","DryMatter"
"1","t1","m1","f1",3.3
"2","t1","m1","f2",4.3
"3","t1","m1","f3",4.5
"4","t1","m1","f4",5.8
"5","t2","m1","f1",4
"6","t2","m1","f2",4.1
"7","t2","m1","f3",6.5
"8","t2","m1","f4",7.3
"9","t3","m1","f1",1.9
"10","t3","m1","f2",3.8
"11","t3","m1","f3",4.4
"12","t3","m1","f4",5.1
"13","t4","m2","f1",5
"14","t4","m2","f2",7.9
"15","t4","m2","f3",10.7
"16","t4","m2","f4",13.5
"17","t5","m2","f1",5.9
"18","t5","m2","f2",8.5
"19","t5","m2","f3",10.3
"20","t5","m2","f4",13.9
"21","t6","m2","f1",6.9
"22","t6","m2","f2",7
"23","t6","m2","f3",10.9
"24","t6","m2","f4",15.2
"25","t7","m3","f1",6.5
"26","t7","m3","f2",10.7
"27","t7","m3","f3",12.2
"28","t7","m3","f4",15.7
"29","t8","m3","f1",8.2
"30","t8","m3","f2",8.9
"31","t8","m3","f3",13.4
"32","t8","m3","f4",14.9
"33","t9","m3","f1",5.2
"34","t9","m3","f2",8.6
"35","t9","m3","f3",11.1
"36","t9","m3","f4",15.6
"37","t10","m4","f1",6.8
"38","t10","m4","f2",9
"39","t10","m4","f3",10.3
"40","t10","m4","f4",12.5
"41","t11","m4","f1",6.4
"42","t11","m4","f2",6
"43","t11","m4","f3",10.7
"44","t11","m4","f4",12.5
"45","t12","m4","f1",4
"46","t12","m4","f2",3.8
"47","t12","m4","f3",9.4
"48","t12","m4","f4",10.2
