"","id","absent","status","date","day","month"
"1",99,1,1,"05.01.1981","Mo",1
"2",101,1,1,"07.01.1981","Mi",1
"3",51,1,1,"12.01.1981","Mo",1
"4",141,1,1,"13.01.1981","Di",1
"5",335,1,1,"19.01.1981","Mo",1
"6",360,1,1,"28.01.1981","Mi",1
"7",80,1,0,"30.01.1981","Fr",1
"8",40,1,0,"02.01.1981","Fr",1
"9",40,2,0,"02.01.1981","Sa",1
"10",40,3,0,"02.01.1981","So",1
"11",40,4,1,"02.01.1981","Mo",1
"12",359,1,0,"09.01.1981","Fr",1
"13",359,2,0,"09.01.1981","Sa",1
"14",359,3,0,"09.01.1981","So",1
"15",359,4,1,"09.01.1981","Mo",1
"16",336,1,0,"15.01.1981","Do",1
"17",83,1,0,"21.01.1981","Mi",1
"18",83,2,1,"21.01.1981","Mi",1
"19",41,1,0,"22.01.1981","Do",1
"20",18,1,0,"29.01.1981","Do",1
"21",356,1,0,"09.01.1981","Fr",1
"22",356,2,0,"09.01.1981","Sa",1
"23",356,3,0,"09.01.1981","So",1
"24",356,4,0,"09.01.1981","Mo",1
"25",356,5,1,"09.01.1981","Di",1
"26",348,1,0,"21.01.1981","Mi",1
"27",348,2,0,"21.01.1981","Mi",1
"28",143,1,0,"12.01.1981","Mo",1
"29",143,2,0,"12.01.1981","Mo",1
"30",143,3,0,"12.01.1981","Mo",1
"31",143,4,0,"12.01.1981","Mo",1
"32",364,1,0,"19.01.1981","Mo",1
"33",364,2,0,"19.01.1981","Mo",1
"34",364,3,0,"19.01.1981","Mo",1
"35",364,4,0,"19.01.1981","Mo",1
"36",164,1,0,"26.01.1981","Mo",1
"37",164,2,0,"26.01.1981","Mo",1
"38",164,3,0,"26.01.1981","Mo",1
"39",164,4,0,"26.01.1981","Mo",1
"40",330,1,0,"09.01.1981","Fr",1
"41",330,2,0,"09.01.1981","Fr",1
"42",330,3,0,"09.01.1981","Fr",1
"43",330,4,0,"09.01.1981","Fr",1
"44",330,5,0,"09.01.1981","Fr",1
"45",330,6,0,"09.01.1981","Fr",1
"46",330,7,0,"09.01.1981","Fr",1
"47",329,1,0,"23.01.1981","Fr",1
"48",329,2,0,"23.01.1981","Fr",1
"49",329,3,0,"23.01.1981","Fr",1
"50",329,4,0,"23.01.1981","Fr",1
"51",329,5,0,"23.01.1981","Fr",1
"52",329,6,0,"23.01.1981","Fr",1
"53",329,7,0,"23.01.1981","Fr",1
"54",370,1,0,"30.01.1981","Fr",1
"55",370,2,0,"30.01.1981","Fr",1
"56",370,3,0,"30.01.1981","Fr",1
"57",370,4,0,"30.01.1981","Fr",1
"58",370,5,0,"30.01.1981","Fr",1
"59",370,6,0,"30.01.1981","Fr",1
"60",370,7,0,"30.01.1981","Fr",1
"61",105,1,0,"02.01.1981","Fr",1
"62",105,2,0,"02.01.1981","Fr",1
"63",105,3,0,"02.01.1981","Fr",1
"64",105,4,0,"02.01.1981","Fr",1
"65",105,5,0,"02.01.1981","Fr",1
"66",105,6,0,"02.01.1981","Fr",1
"67",105,7,0,"02.01.1981","Fr",1
"68",105,8,0,"02.01.1981","Fr",1
"69",105,9,0,"02.01.1981","Fr",1
"70",105,10,0,"02.01.1981","Fr",1
"71",140,1,0,"27.01.1981","Di",1
"72",140,2,0,"27.01.1981","Di",1
"73",140,3,0,"27.01.1981","Di",1
"74",140,4,0,"27.01.1981","Di",1
"75",140,5,0,"27.01.1981","Di",1
"76",140,6,0,"27.01.1981","Di",1
"77",140,7,0,"27.01.1981","Di",1
"78",140,8,0,"27.01.1981","Di",1
"79",140,9,0,"27.01.1981","Di",1
"80",140,10,0,"27.01.1981","Di",1
"81",170,1,0,"27.01.1981","Di",1
"82",170,2,0,"27.01.1981","Di",1
"83",170,3,0,"27.01.1981","Di",1
"84",170,4,0,"27.01.1981","Di",1
"85",170,5,0,"27.01.1981","Di",1
"86",170,6,0,"27.01.1981","Di",1
"87",170,7,0,"27.01.1981","Di",1
"88",170,8,0,"27.01.1981","Di",1
"89",170,9,0,"27.01.1981","Di",1
"90",170,10,0,"27.01.1981","Di",1
"91",70,1,0,"19.01.1981","Mo",1
"92",70,2,0,"19.01.1981","Mo",1
"93",70,3,0,"19.01.1981","Mo",1
"94",70,4,0,"19.01.1981","Mo",1
"95",70,5,0,"19.01.1981","Mo",1
"96",70,6,0,"19.01.1981","Mo",1
"97",70,7,0,"19.01.1981","Mo",1
"98",70,8,0,"19.01.1981","Mo",1
"99",70,9,0,"19.01.1981","Mo",1
"100",70,10,0,"19.01.1981","Mo",1
"101",71,1,1,"11.02.1981","Mi",2
"102",115,1,1,"12.02.1981","Do",2
"103",168,1,1,"12.02.1981","Do",2
"104",69,1,1,"18.02.1981","Mi",2
"105",174,1,1,"18.02.1981","Mi",2
"106",163,1,1,"25.02.1981","Mi",2
"107",36,1,1,"26.02.1981","Do",2
"108",338,1,0,"05.02.1981","Do",2
