"","Abundance","ID","Time","Treatment"
"1",2,"N1","T1","N"
"2",5,"N1","T2","N"
"3",23,"N1","T3","N"
"4",3,"N1","T4","N"
"5",3,"N2","T1","N"
"6",7,"N2","T2","N"
"7",6,"N2","T3","N"
"8",11,"N2","T4","N"
"9",2,"N3","T1","N"
"10",3,"N3","T2","N"
"11",2,"N3","T3","N"
"12",1,"N3","T4","N"
"13",4,"N4","T1","N"
"14",9,"N4","T2","N"
"15",57,"N4","T3","N"
"16",15,"N4","T4","N"
"17",1,"N5","T1","N"
"18",3,"N5","T2","N"
"19",1,"N5","T3","N"
"20",9,"N5","T4","N"
"21",11,"N6","T1","N"
"22",6,"N6","T2","N"
"23",2,"N6","T3","N"
"24",25,"N6","T4","N"
"25",2,"N7","T1","N"
"26",12,"N7","T2","N"
"27",11,"N7","T3","N"
"28",22,"N7","T4","N"
"29",4,"N8","T1","N"
"30",52,"N8","T2","N"
"31",6,"N8","T3","N"
"32",31,"N8","T4","N"
"33",3,"N9","T1","N"
"34",31,"N9","T2","N"
"35",23,"N9","T3","N"
"36",28,"N9","T4","N"
"37",2,"N10","T1","N"
"38",3,"N10","T2","N"
"39",3,"N10","T3","N"
"40",1,"N10","T4","N"
"41",30,"N11","T1","S1"
"42",12,"N11","T2","S1"
"43",3,"N11","T3","S1"
"44",2,"N11","T4","S1"
"45",4,"N12","T1","S1"
"46",1,"N12","T2","S1"
"47",1,"N12","T3","S1"
"48",4,"N12","T4","S1"
"49",0,"N13","T1","S1"
"50",1,"N13","T2","S1"
"51",9,"N13","T3","S1"
"52",1,"N13","T4","S1"
"53",11,"N14","T1","S1"
"54",29,"N14","T2","S1"
"55",6,"N14","T3","S1"
"56",5,"N14","T4","S1"
"57",4,"N15","T1","S1"
"58",0,"N15","T2","S1"
"59",3,"N15","T3","S1"
"60",1,"N15","T4","S1"
"61",24,"N16","T1","S1"
"62",8,"N16","T2","S1"
"63",33,"N16","T3","S1"
"64",5,"N16","T4","S1"
"65",10,"N17","T1","S1"
"66",14,"N17","T2","S1"
"67",12,"N17","T3","S1"
"68",0,"N17","T4","S1"
"69",16,"N18","T1","S1"
"70",22,"N18","T2","S1"
"71",6,"N18","T3","S1"
"72",4,"N18","T4","S1"
"73",50,"N19","T1","S1"
"74",12,"N19","T2","S1"
"75",2,"N19","T3","S1"
"76",4,"N19","T4","S1"
"77",10,"N20","T1","S1"
"78",7,"N20","T2","S1"
"79",16,"N20","T3","S1"
"80",29,"N20","T4","S1"
"81",13,"N21","T1","S2"
"82",27,"N21","T2","S2"
"83",32,"N21","T3","S2"
"84",22,"N21","T4","S2"
"85",4,"N22","T1","S2"
"86",2,"N22","T2","S2"
"87",61,"N22","T3","S2"
"88",20,"N22","T4","S2"
"89",5,"N23","T1","S2"
"90",8,"N23","T2","S2"
"91",46,"N23","T3","S2"
"92",42,"N23","T4","S2"
"93",6,"N24","T1","S2"
"94",3,"N24","T2","S2"
"95",71,"N24","T3","S2"
"96",17,"N24","T4","S2"
"97",4,"N25","T1","S2"
"98",63,"N25","T2","S2"
"99",72,"N25","T3","S2"
"100",66,"N25","T4","S2"
"101",6,"N26","T1","S2"
"102",11,"N26","T2","S2"
"103",20,"N26","T3","S2"
"104",39,"N26","T4","S2"
"105",23,"N27","T1","S2"
"106",44,"N27","T2","S2"
"107",67,"N27","T3","S2"
"108",49,"N27","T4","S2"
"109",0,"N28","T1","S2"
"110",3,"N28","T2","S2"
"111",13,"N28","T3","S2"
"112",8,"N28","T4","S2"
"113",5,"N29","T1","S2"
"114",11,"N29","T2","S2"
"115",8,"N29","T3","S2"
"116",18,"N29","T4","S2"
"117",2,"N30","T1","S2"
"118",5,"N30","T2","S2"
"119",16,"N30","T3","S2"
"120",12,"N30","T4","S2"
"121",0,"N31","T1","S3"
"122",2,"N31","T2","S3"
"123",12,"N31","T3","S3"
"124",20,"N31","T4","S3"
"125",1,"N32","T1","S3"
"126",7,"N32","T2","S3"
"127",38,"N32","T3","S3"
"128",7,"N32","T4","S3"
"129",1,"N33","T1","S3"
"130",9,"N33","T2","S3"
"131",4,"N33","T3","S3"
"132",22,"N33","T4","S3"
"133",2,"N34","T1","S3"
"134",1,"N34","T2","S3"
"135",27,"N34","T3","S3"
"136",8,"N34","T4","S3"
"137",0,"N35","T1","S3"
"138",2,"N35","T2","S3"
"139",9,"N35","T3","S3"
"140",3,"N35","T4","S3"
"141",1,"N36","T1","S3"
"142",2,"N36","T2","S3"
"143",12,"N36","T3","S3"
"144",8,"N36","T4","S3"
"145",4,"N37","T1","S3"
"146",5,"N37","T2","S3"
"147",82,"N37","T3","S3"
"148",154,"N37","T4","S3"
"149",0,"N38","T1","S3"
"150",13,"N38","T2","S3"
"151",25,"N38","T3","S3"
"152",9,"N38","T4","S3"
"153",2,"N39","T1","S3"
"154",1,"N39","T2","S3"
"155",21,"N39","T3","S3"
"156",26,"N39","T4","S3"
"157",2,"N40","T1","S3"
"158",1,"N40","T2","S3"
"159",18,"N40","T3","S3"
"160",0,"N40","T4","S3"
