"","SCCOLL","ACES","INSTABIL","AAMBIG","CSTAFF","ARD","ASLACK","AEXPEND"
"1",1.467351,70431.41,23.57,115.5502,26.2,3.470122,3440.159,1141.4
"2",1.754386,6407.348,32.1,39.5922,27.8,4.105816,8554.186,2667
"3",0.4215852,63411.55,35.14,106.0642,29.4,5.610657,2544.263,307.3
"4",0,16396.95,23.46,50.57774,30.8,3.848957,2366.732,840.7
"5",1.18499,78906.07,31.95,-1.144,20.3,3.700461,4954.157,482.5
"6",2.072846,28103.63,17.81,25.76482,22.8,2.74241,2976.427,550
"7",0.607718,22717.82,22.23,18.3592,14.9,5.063129,4905.78,514.1
"8",1.470588,6602.017,65.03,-232.2549,19.6,9.178106,5970.52,1352.5
"9",0.8285004,123240.6,21.44,60.60778,30.8,2.495392,2567.212,1136.5
"10",1.660879,87061.77,31.26,86.82364,22.2,2.100618,2589.531,1575.4
"11",0,13042.99,37.68,31.7781,19.1,4.491279,4141.247,1170.6
"12",0.9624639,7197.373,21.72,79.94753,27,3.074239,3216.067,1679.6
"13",1.212856,181247.6,16.97,45.62724,17.4,1.902308,2469.215,882.3
"14",1.782531,78822.32,11.84,33.76736,26.6,1.762038,1742.745,1347.5
"15",1.431127,11549.32,31.1,57.34841,16.6,3.434238,2659.697,1353.4
"16",2.40481,13084.74,18.11,72.44474,22.5,2.563138,3296.465,1363.4
"17",0.538648,26327.75,23.06,166.6439,21.9,2.649425,3330.793,1087.9
"18",0.4703669,27160.63,25.46,35.4368,15.6,4.030189,3416.769,712.8
"19",2.42915,9965.54,18.14,90.42884,20.9,3.209765,4109.007,1865.4
"20",1.234568,38821.03,40.84,24.8976,14.2,3.488844,5275.824,1088.4
"21",0.6671114,76348.86,26.11,82.58347,12.7,3.641929,4926.775,1308.1
"22",1.17421,197802.9,25.89,80.5744,17.7,1.753225,5419.784,3485.4
"23",1.128159,35488.2,26.85,70.3593,14.9,4.76418,5208.218,1946.4
"24",0.3858025,76166.11,16.39,225.721,21.8,4.611794,2539.369,1116.8
"25",0.5804953,54306.3,21.42,121.5814,22,2.799651,2754.369,2047.5
"26",2.475247,7206.166,12.36,103.7574,22.9,3.882953,2083.009,893.3
"27",0,26995.98,45.8,78.2787,17.6,3.511719,3982.897,1779.2
"28",1.557632,3533.641,49.19,-32.1768,54.9,6.609568,4082.064,703.4
"29",2.714932,6912.465,43.87,32.34244,19.7,6.407141,2998.161,695.1
"30",0.257732,62029.57,36.51,17.6954,15,4.470681,6310.163,1287
"31",0,13153.38,28.29,48.06679,26,2.264973,2759.142,573
"32",0.3322627,151116.2,32.31,50.3237,15,3.284161,5634.305,955.6
"33",1.187472,70689.08,23.75,31.70579,20.6,3.450963,2992.531,1296.1
"34",1.574803,5132.252,15.61,54.0354,15.4,2.777402,2679.454,1194.5
"35",3.565225,169930.4,22.62,136.621,20.3,2.841627,3072.191,4299.2
"36",1.259843,66218.98,23.09,35.20083,32.9,3.420866,2381.565,896.4
"37",4.106776,53441.92,37.42,-176.8579,23.8,6.527769,4303.525,815.4
"38",0.7524454,121275.4,51.96,18.3963,14.8,2.932871,4130.657,2262.9
"39",0.996016,10880.08,38.61,22.00537,16.1,2.421065,3339.35,1108.8
"40",1.404494,27217.83,25.78,36.989,17.4,1.432419,2533.139,1314.2
"41",4.207574,2172.794,17.05,23.44076,16.9,2.988671,2366.595,1268.9
"42",0.8075914,94001.98,41.9,33.35452,26.6,1.970768,2031.763,952.8
"43",0.4034815,121752.9,51.39,53.86072,24.4,2.710884,1620.14,763.2
"44",0,11480.06,21.33,73.45351,21.8,4.641821,5069.072,1228.6
"45",3.527337,3049.591,20.86,84.84604,18.9,4.317273,2983.782,1023.5
"46",1.272669,58245.25,19.83,105.2593,17.7,2.980112,3097.782,1646.3
"47",1.195695,80936.93,30.97,160.9784,24.7,6.063038,5996.734,2483.3
"48",0.5552471,15810.82,15.11,78.10522,22.3,3.786695,2222.728,1045.3
"49",1.210898,70813.3,24.03,60.605,15.2,3.335582,4972.425,3866.9
"50",0,7217.247,10.33,163.1716,29,2.623226,1860.076,1450.2
