"","x"
"1",4
"2",5
"3",4
"4",0
"5",1
"6",4
"7",3
"8",4
"9",0
"10",6
"11",3
"12",3
"13",4
"14",0
"15",2
"16",6
"17",3
"18",3
"19",5
"20",4
"21",5
"22",3
"23",1
"24",4
"25",4
"26",1
"27",5
"28",5
"29",3
"30",4
"31",2
"32",5
"33",2
"34",2
"35",3
"36",4
"37",2
"38",1
"39",3
"40",2
"41",2
"42",1
"43",1
"44",1
"45",1
"46",3
"47",0
"48",0
"49",1
"50",0
"51",1
"52",1
"53",0
"54",0
"55",3
"56",1
"57",0
"58",3
"59",2
"60",2
"61",0
"62",1
"63",1
"64",1
"65",0
"66",1
"67",0
"68",1
"69",0
"70",0
"71",0
"72",2
"73",1
"74",0
"75",0
"76",0
"77",1
"78",1
"79",0
"80",2
"81",3
"82",3
"83",1
"84",1
"85",2
"86",1
"87",1
"88",1
"89",1
"90",2
"91",4
"92",2
"93",0
"94",0
"95",1
"96",4
"97",0
"98",0
"99",0
"100",1
"101",0
"102",0
"103",0
"104",0
"105",0
"106",1
"107",0
"108",0
"109",1
"110",0
"111",1
