"","Crime.Type","Released","Returned","Percentage.","var1"
"1","Unauthorized use of motor vehicle",1522,621,40.8,NA
"2","Burglary I",821,314,38.3,NA
"3","Burglary II",7397,2890,39.1,NA
"4","Larceny",9557,3525,36.9,NA
"5","DUI-2nd offense",8891,3212,36.1,NA
"6","Murder I",182,65,35.7,NA
"7","Forgery",2529,882,34.9,NA
"8","Escape",2747,951,34.6,NA
"9","Robbery",3001,1035,34.5,NA
"10","Bogus check",1341,414,30.9,NA
"11","Weapons",1950,558,28.6,NA
"12","Bribery",7,2,28.6,NA
"13","Possession/Obtaining drugs",7473,2125,28.4,NA
"14","Assault",3133,848,27.1,NA
"15","Other nonviolent crimes",1637,429,26.2,NA
"16","Fraud",1239,307,24.8,NA
"17","Arson",439,106,24.2,NA
"18","Distribution of drugs",8775,2066,23.5,NA
"19","Embezzlement",804,188,23.4,NA
"20","Other violent crimes",1081,234,21.7,NA
"21","Rape",1269,262,20.7,NA
"22","Gambling",20,4,20,NA
"23","Manslaughter",846,167,19.7,NA
"24","Kidnapping",162,31,19.1,NA
"25","Murder II",271,51,18.8,NA
"26","Sex offenses",2143,362,16.9,NA
"27","Drug trafficking",426,33,7.8,NA
