"","CASE_NO","CASE_ID","WAR_NAME","ONSET","TERM","EXTENT","ETHNIC","DIVERSE","ALLIANCE","DYADS","POL.LEV","COMPLEX","POLAR","BALANCE","TEMPOR","SCOPE","DURATION"
"1",1,"CHLEG010","LEGHUANG",-2697,-2697,2,1,1,0,0,2,3,2,3,2,3.13549421592915,1
"2",2,"CHLEG020","LEGHUANG",-2697,-2697,2,2,2,0,0,2,5,1,2,1,3.2188758248682,1
"3",3,"CHLEG030","LEGSHAOH",-2515,-2514,2,2,2,0,0,2,5,1,2,1,3.2188758248682,2
"4",4,"CHLEG040","SHUQIRLE",-2435,-2435,2,1,1,0,0,1,5,1,2,NA,2.70805020110221,1
"5",5,"CHLEG050","CYOUKUAI",-2419,-2419,2,2,2,0,0,2,6,1,2,2,3.25809653802148,1
"6",6,"CHLEG060","RONGSJUN",-2280,-2280,3,1,3,1,1,2,5,1,2,1,3.2188758248682,1
"7",7,"CHLEG070","YUTHEGRE",-2222,-2222,2,2,2,0,0,2,5,1,1,1,3.2188758248682,1
"8",8,"CHLEG080","QIYOUHU",-2195,-2195,2,1,1,0,0,1,9,2,2,2,2.94443897916644,1
"9",9,"CHLEG090","WUGUANR",-2182,-2182,2,1,1,0,0,1,9,2,2,2,2.94443897916644,1
"10",10,"CHLEG100","YUXIAHOU",-2181,-2181,2,2,2,0,0,2,8,2,2,1,3.3322045101752,1
"11",11,"CHLEG110","FTAIKANG",-2180,-2180,2,2,2,0,0,2,9,2,2,1,3.36729582998647,1
"12",12,"CHXIA010","HUAIYI",-2146,-2146,2,2,2,0,0,2,9,2,2,1,3.36729582998647,1
"13",13,"CHXIA020","XIAFENGY",-2145,-2145,3,2,2,1,1,2,9,2,2,1,3.36729582998647,1
"14",14,"CHXIA030","FXIAEMPE",-2118,-2118,2,2,2,0,0,2,9,2,2,1,3.36729582998647,1
"15",15,"CHXIA040","XIASHAOK",-2079,-2079,2,2,2,0,0,2,9,1,2,1,3.36729582998647,1
"16",16,"CHXIA050","BUXIANGX",-1974,-1974,2,1,1,0,0,2,9,2,2,4,3.36729582998647,1
"17",17,"CHXIA060","YINXIAPI",-1945,-1945,2,1,1,0,0,2,9,2,2,4,3.36729582998647,1
"18",18,"CHXIA070","XIAEMINS",-1804,-1804,2,1,1,0,0,2,9,2,2,4,3.36729582998647,1
"19",19,"CHXIA080","SHANGCJI",-1797,-1797,2,1,1,0,0,2,10,4,2,2,3.40119738166216,1
"20",20,"CHXIA090","SHANGCYO",-1797,-1797,2,1,1,0,0,2,10,4,2,2,3.40119738166216,1
"21",21,"CHXIA100","SHANGCWE",-1792,-1792,2,1,1,0,0,2,10,4,2,2,3.40119738166216,1
"22",22,"CHXIA110","SHANGCKU",-1781,-1781,2,1,1,0,0,2,10,4,2,2,3.40119738166216,1
"23",23,"CHXIA120","SHANGCGU",-1769,-1769,2,1,1,0,0,2,10,4,2,2,3.40119738166216,1
"24",24,"CHXIA130","SHANGCWE",-1769,-1769,2,1,1,0,0,2,10,4,2,2,3.40119738166216,1
"25",25,"CHXIA140","SHANGCKU",-1769,-1769,2,1,1,0,0,2,10,4,2,2,3.40119738166216,1
"26",26,"CHXIA150","SHANGCXI",-1770,-1766,2,1,1,0,0,2,10,4,3,2,3.40119738166216,5
"27",27,"CHSHA010","SHANGLAN",-1556,-1556,2,2,2,0,0,2,9,3,2,1,3.36729582998647,1
"28",28,"CHSHA020","SHANGCPI",-1531,-1531,2,1,2,0,0,2,9,3,3,2,3.36729582998647,1
"29",29,"CHSHA030","SHANGLAN",-1530,-1530,2,2,2,0,0,2,9,3,2,1,3.36729582998647,1
"30",30,"CHSHA040","SHANGXIA",-1529,-1529,2,2,2,0,0,2,9,3,2,1,3.36729582998647,1
"31",31,"CHSHA050","SHANGOTH",-1499,-1499,4,2,2,1,3,2,9,3,2,1,3.36729582998647,1
"32",32,"CHSHA060","SHANGOTH",-1494,-1494,4,2,2,1,3,2,9,3,2,1,3.36729582998647,1
"33",33,"CHSHA070","SHANGEWE",-1405,-1405,2,2,2,0,0,2,8,3,2,1,3.3322045101752,1
"34",34,"CHSHA080","SHANGTAR",-1292,-1289,2,2,2,0,0,2,8,3,2,1,3.3322045101752,4
"35",35,"CHSHA090","SHANGCDA",-1281,-1281,2,1,1,0,0,2,10,3,2,2,3.40119738166216,1
"36",36,"CHSHA100","SHANGCSH",-1274,-1274,2,1,1,0,0,2,10,3,2,2,3.40119738166216,1
"37",37,"CHSHA110","SHANGWES",-1246,-1246,2,2,2,0,0,2,8,3,2,1,3.3322045101752,1
"38",38,"CHSHA120","SHANGCCH",-1174,-1174,3,1,1,1,1,2,10,4,2,2,3.40119738166216,1
"39",39,"CHSHA130","YIQUSHAN",-1168,-1168,3,1,1,1,1,2,10,4,2,2,3.40119738166216,1
"40",40,"CHSHA140","SHANGNOR",-1167,-1167,3,2,2,1,1,2,8,4,2,1,3.3322045101752,1
"41",41,"CHSHA150","SHANGWES",-1163,-1163,3,2,2,1,1,2,8,4,2,1,3.3322045101752,1
"42",42,"CHSHA160","SHANGWES",-1161,-1161,3,2,2,1,1,2,8,4,2,1,3.3322045101752,1
"43",43,"CHSHA170","SHANGWES",-1159,-1159,3,2,2,1,1,2,8,4,2,1,3.3322045101752,1
"44",44,"CHSHA180","SHANGWES",-1156,-1156,3,2,2,1,1,2,8,4,2,1,3.3322045101752,1
"45",45,"CHSHA190","SHANGWES",-1152,-1152,3,2,2,1,1,2,8,4,2,1,3.3322045101752,1
"46",46,"CHSHA200","ZHOUSINE",-1145,-1145,2,1,1,0,0,2,10,4,2,4,3.40119738166216,1
"47",47,"CHSHA210","WENWANGS",-1137,-1137,3,1,1,1,1,2,10,4,2,4,3.40119738166216,1
"48",48,"CHSHA220","SHANGCMI",-1125,-1125,3,1,1,1,1,2,10,4,2,2,3.40119738166216,1
"49",49,"CHSHA230","CCHONGSH",-1124,-1124,3,1,1,1,1,2,10,4,2,2,3.40119738166216,1
"50",50,"CHSHA240","ZHOUSHAN",-1124,-1124,3,1,1,1,1,2,10,4,2,2,3.40119738166216,1
"51",51,"CHSHA250","SHANGEKU",-1123,-1123,3,2,2,1,1,2,9,4,2,1,3.36729582998647,1
"52",52,"CHSHA260","KUNYIESH",-1123,-1123,3,2,2,1,1,2,9,4,2,1,3.36729582998647,1
"53",53,"CHSHA270","FSHANGDY",-1122,-1120,9,1,1,1,9,2,10,4,3,2,3.40119738166216,3
"54",54,"CHWZH010","ZHOUCTAN",-1107,-1107,2,1,1,0,0,2,10,3,2,2,3.40119738166216,1
"55",55,"CHWZH020","ZHOUPUGU",-1106,-1106,2,1,1,0,0,2,10,3,2,2,3.40119738166216,1
"56",56,"CHWZH030","GUANCAIR",-1105,-1101,2,1,1,0,0,1,NA,3,NA,NA,NA,5
"57",57,"CHWZH040","ZHOURONG",-1102,-1102,2,2,2,0,0,2,8,3,2,1,3.3322045101752,1
