"","source.1","source.2","source.3","source.4","knowledge","count"
"1","Y","Y","Y","Y","Good",23
"2","Y","Y","Y","Y","Poor",8
"3","Y","Y","Y","N","Good",102
"4","Y","Y","Y","N","Poor",67
"5","Y","Y","N","Y","Good",8
"6","Y","Y","N","Y","Poor",4
"7","Y","Y","N","N","Good",35
"8","Y","Y","N","N","Poor",59
"9","Y","N","Y","Y","Good",27
"10","Y","N","Y","Y","Poor",18
"11","Y","N","Y","N","Good",201
"12","Y","N","Y","N","Poor",177
"13","Y","N","N","Y","Good",7
"14","Y","N","N","Y","Poor",6
"15","Y","N","N","N","Good",75
"16","Y","N","N","N","Poor",156
"17","N","Y","Y","Y","Good",1
"18","N","Y","Y","Y","Poor",3
"19","N","Y","Y","N","Good",16
"20","N","Y","Y","N","Poor",16
"21","N","Y","N","Y","Good",4
"22","N","Y","N","Y","Poor",3
"23","N","Y","N","N","Good",13
"24","N","Y","N","N","Poor",50
"25","N","N","Y","Y","Good",3
"26","N","N","Y","Y","Poor",8
"27","N","N","Y","N","Good",67
"28","N","N","Y","N","Poor",83
"29","N","N","N","Y","Good",2
"30","N","N","N","Y","Poor",10
"31","N","N","N","N","Good",84
"32","N","N","N","N","Poor",393
