"","IG","price","crime","rooms","sales","driveshop","type"
"1","S02000260",112.25,390,3,68,1.2,"flat"
"2","S02000261",156.875,116,5,26,2,"semi"
"3","S02000262",178.111,196,5,34,1.7,"semi"
"4","S02000263",249.725,146,5,80,1.5,"detached"
"5","S02000264",174.5,288,4,60,0.8,"semi"
"6","S02000265",163.521,342,4,24,2.5,"semi"
"7","S02000266",280,141,5,39,1.4,"detached"
"8","S02000267",175,88,5,31,3.15,"semi"
"9","S02000268",182.5,231,5,55,1.1,"semi"
"10","S02000269",322.78,123,5,49,0.8,"detached"
"11","S02000270",180.69,198,5,73,2.1,"detached"
"12","S02000271",286.25,261,5,52,1.8,"detached"
"13","S02000272",302,284,5,57,1.5,"detached"
"14","S02000273",285,122,5,41,1.25,"semi"
"15","S02000274",145,232,5,43,2.55,"semi"
"16","S02000275",110,422,4,55,1.35,"semi"
"17","S02000276",220,122,5,56,2.8,"detached"
"18","S02000277",93.75,827,3,42,1.7,"flat"
"19","S02000278",195,125,5,29,2.5,"detached"
"20","S02000279",177.5,261,4,70,1.1,"detached"
"21","S02000280",109.25,441,4,31,2.55,"terrace"
"22","S02000281",107,614,4,85,0.7,"flat"
"23","S02000282",217.5,174,4,50,0.95,"semi"
"24","S02000283",118.75,348,4,18,3.8,"terrace"
"25","S02000284",155,403,4,33,1.25,"semi"
"26","S02000285",235,221,5,39,2.05,"detached"
"27","S02000286",170.389,208,4,58,3,"detached"
"28","S02000287",165,422,4,95,4.8,"terrace"
"29","S02000310",187,86,4,49,1,"semi"
"30","S02000311",279.973,148,5,128,1,"detached"
"31","S02000312",185.75,167,4,54,1.05,"detached"
"32","S02000313",193.658,196,4,96,1.3,"detached"
"33","S02000314",119,288,4,53,1.2,"semi"
"34","S02000316",372.75,151,6,58,0.8,"detached"
"35","S02000317",219.95,281,5,117,0.65,"semi"
"36","S02000318",215,248,5,75,1.7,"detached"
"37","S02000319",219.219,128,5,45,1.4,"semi"
"38","S02000320",160,268,3,49,1.4,"terrace"
"39","S02000321",140,388,4,64,0.9,"flat"
"40","S02000322",87,451,4,47,1.7,"semi"
"41","S02000323",344.5,107,5,46,1,"detached"
"42","S02000324",150,385,4,51,0.8,"semi"
"43","S02000325",250,221,5,56,1.2,"terrace"
"44","S02000326",204.5,133,4,72,0.9,"semi"
"45","S02000327",162.75,379,4,66,0.5,"flat"
"46","S02000328",86,913,3,65,1.05,"flat"
"47","S02000329",149,146,4,48,1.4,"semi"
"48","S02000584",155.5,697,4,79,1.85,"flat"
"49","S02000585",78,694,3,19,1.3,"flat"
"50","S02000586",195,294,4,123,2.45,"detached"
"51","S02000587",115.75,480,3,46,1.4,"flat"
"52","S02000588",110,927,3,31,1.8,"flat"
"53","S02000589",90,614,4,59,0.6,"flat"
