"","Transect","SignedDistance","Distance","Seen"
"1",1,-75,75,0
"2",1,-67,67,0
"3",1,-52,52,1
"4",1,-48,48,0
"5",1,-47,47,1
"6",1,-47,47,1
"7",1,-47,47,1
"8",1,-43,43,1
"9",1,-43,43,0
"10",1,-42,42,1
"11",1,-42,42,1
"12",1,-40,40,1
"13",1,-40,40,1
"14",1,-40,40,1
"15",1,-40,40,1
"16",1,-37,37,1
"17",1,-35,35,1
"18",1,-29,29,1
"19",1,-21,21,1
"20",1,-21,21,1
"21",1,-21,21,1
"22",1,-19,19,1
"23",1,-19,19,1
"24",1,-17,17,1
"25",1,-14,14,1
"26",1,-12.5,12.5,1
"27",1,-12.5,12.5,1
"28",1,-12,12,1
"29",1,-11,11,1
"30",1,-10,10,1
"31",1,-9,9,1
"32",1,-8,8,1
"33",1,-8,8,1
"34",1,-8,8,1
"35",1,-8,8,1
"36",1,-8,8,1
"37",1,-8,8,1
"38",1,-7,7,1
"39",1,-3,3,1
"40",1,3,3,1
"41",1,5,5,1
"42",1,5,5,1
"43",1,6,6,1
"44",1,6,6,1
"45",1,6,6,1
"46",1,6,6,1
"47",1,7,7,1
"48",1,7,7,1
"49",1,7,7,1
"50",1,7,7,1
"51",1,7,7,1
"52",1,7,7,1
"53",1,7,7,1
"54",1,7,7,1
"55",1,7.5,7.5,1
"56",1,8,8,1
"57",1,8,8,1
"58",1,9,9,1
"59",1,9,9,1
"60",1,9,9,1
"61",1,10,10,1
"62",1,10,10,1
"63",1,10,10,1
"64",1,10,10,1
"65",1,12,12,1
"66",1,12,12,1
"67",1,14,14,1
"68",1,14,14,1
"69",1,15,15,1
"70",1,16,16,1
"71",1,20,20,1
"72",1,22,22,1
"73",1,22,22,1
"74",1,24,24,1
"75",1,28,28,0
"76",1,29,29,1
"77",1,30,30,0
"78",1,30,30,0
"79",1,30,30,1
"80",1,30,30,1
"81",1,31,31,1
"82",1,31,31,1
"83",1,35,35,1
"84",1,38,38,0
"85",1,38,38,1
"86",1,38,38,1
"87",1,39,39,1
"88",1,41,41,1
"89",1,43,43,1
"90",1,43,43,1
"91",1,44,44,1
"92",1,44,44,1
"93",1,50,50,0
"94",1,68,68,1
"95",1,69,69,0
"96",1,69,69,1
"97",1,69,69,1
"98",1,75,75,1
"99",1,75,75,0
"100",2,-75,75,0
"101",2,-75,75,1
"102",2,-75,75,0
"103",2,-73,73,0
"104",2,-58,58,0
"105",2,-55,55,1
"106",2,-55,55,1
"107",2,-52,52,1
"108",2,-51,51,0
"109",2,-50,50,1
"110",2,-50,50,1
"111",2,-50,50,1
"112",2,-50,50,1
"113",2,-49,49,0
"114",2,-48,48,1
"115",2,-48,48,1
"116",2,-48,48,1
"117",2,-48,48,0
"118",2,-46,46,1
"119",2,-46,46,1
"120",2,-46,46,1
"121",2,-46,46,1
"122",2,-45,45,1
"123",2,-44,44,1
"124",2,-44,44,1
"125",2,-42,42,1
"126",2,-42,42,1
"127",2,-42,42,1
"128",2,-42,42,1
"129",2,-42,42,1
"130",2,-42,42,1
"131",2,-42,42,0
"132",2,-41,41,1
"133",2,-41,41,1
"134",2,-41,41,0
"135",2,-41,41,0
"136",2,-40,40,1
"137",2,-39,39,1
"138",2,-39,39,1
"139",2,-37,37,1
"140",2,-37,37,0
"141",2,-36,36,0
"142",2,-35,35,0
"143",2,-24,24,1
"144",2,-23,23,1
"145",2,-23,23,1
"146",2,-21,21,1
"147",2,-21,21,1
"148",2,-19,19,1
"149",2,-19,19,1
"150",2,-18,18,1
"151",2,-18,18,1
"152",2,-17,17,1
"153",2,-16,16,1
"154",2,-16,16,1
"155",2,-14,14,1
"156",2,-14,14,1
"157",2,-12.5,12.5,1
"158",2,-12,12,1
"159",2,-12,12,1
"160",2,-12,12,1
"161",2,-12,12,1
"162",2,-11,11,1
"163",2,-10,10,1
"164",2,-10,10,1
"165",2,-9,9,1
"166",2,-8,8,1
"167",2,-8,8,1
"168",2,-6,6,1
"169",2,-4,4,1
"170",2,-3,3,1
"171",2,-3,3,1
"172",2,-3,3,1
"173",2,-3,3,1
"174",2,-2,2,1
"175",2,-2,2,1
"176",2,-2,2,1
"177",2,-1,1,1
"178",2,-1,1,1
"179",2,-1,1,1
"180",2,0.5,0.5,1
"181",2,3,3,1
"182",2,3,3,1
"183",2,4,4,1
"184",2,5,5,1
"185",2,5,5,1
"186",2,5,5,1
"187",2,5,5,1
"188",2,5,5,1
"189",2,6,6,1
"190",2,6,6,1
"191",2,12,12,1
"192",2,12,12,1
"193",2,13,13,1
"194",2,13,13,1
"195",2,14,14,1
"196",2,14,14,1
"197",2,14,14,1
"198",2,14,14,1
"199",2,14,14,1
"200",2,14,14,1
"201",2,15,15,1
"202",2,15,15,1
"203",2,15,15,1
"204",2,16,16,1
"205",2,20,20,1
"206",2,24,24,1
"207",2,25,25,1
"208",2,25,25,1
"209",2,26,26,1
"210",2,26,26,1
"211",2,27,27,1
