"","symbol","nr","name","group","weight","meltpt","boilpt","dens","elconf","oxstat","struct","covrad","arad","avol","spheat","eneg","fusheat","vapheat","elcond","thermcond","ionpot1","ionpot2","ionpot3","discyear"
"1","H",1,"Hydrogen","Non-Metal",1.0079,14.025,20.268,0.0899,"[ ] 1s1","1","Hexagonal",0.32,0.79,14.4,14.304,2.2,0.05868,0.44936,NA,0.001815,13.598,NA,NA,1766
"2","He",2,"Helium","Noble Gas",4.0026,0.95,4.215,0.1787,"[ ] 1s2 ",NA,"Hexagonal",0.93,0.49,NA,5.193,NA,NA,0.0845,NA,0.00152,24.587,54.416,NA,1895
"3","Li",3,"Lithium","Alkali Met.",6.941,453.7,1615,0.53,"[He] 2s1","1","Cubic body centered",1.23,2.05,13.1,3.6,0.98,3,145.92,108000,0.847,5.392,76.638,122.451,1817
"4","Be",4,"Beryllium","Alkali Earth",9.01218,1560,2745,1.85,"[He] 2s2","2","Hexagonal",0.9,1.4,5,1.82,1.57,12.2,292.4,313000,2,9.322,18.211,153.893,1798
"5","B",5,"Boron","Non-Metal",10.81,2300,4275,2.34,"[He] 2s2p1","3","Rhombohedral",0.82,1.17,4.6,1.02,2.04,50.2,489.7,1e-06,0.27,8.298,25.154,37.93,1828
"6","C",6,"Carbon","Non-Metal",12.011,4100,4470,2.62,"[He] 2s2p2","(+/-4), 2","Hexagonal",0.77,0.91,4.58,0.71,2.55,NA,355.8,610,1.29,11.26,24.383,47.887,NA
"7","N",7,"Nitrogen","Non-Metal",14.0067,63.14,77.35,1.251,"[He] 2s2p3","(+/-3), 5, 4, 2","Hexagonal",0.75,0.75,17.3,1.04,3.04,0.3604,2.7928,NA,0.0002598,14.534,29.601,47.448,1772
"8","O",8,"Oxygen","Non-Metal",15.9994,50.35,90.18,1.429,"[He] 2s2p4","-2","Cubic",0.73,0.65,14,0.92,3.44,0.22259,3.4099,NA,0.0002674,13.618,35.117,54.934,1774
"9","F",9,"Fluorine","Halogen",18.998403,53.48,84.95,1.696,"[He] 2s2p5","-1","Cubic",0.72,0.57,17.1,0.82,3.98,0.2552,3.2698,NA,0.000279,17.422,34.97,62.707,1886
"10","Ne",10,"Neon","Noble Gas",20.179,24.553,27.096,0.901,"[He] 2s2p6 ",NA,"Cubic face centered",0.71,0.51,16.7,0.904,NA,0.3317,1.7326,NA,0.000493,21.564,40.962,63.45,1898
"11","Na",11,"Sodium","Alkali Met.",22.98977,371,1156,0.97,"[Ne] 3s1","1","Cubic body centered",1.54,2.23,23.7,1.23,0.93,2.598,96.96,210000,1.41,5.139,47.286,71.641,1807
"12","Mg",12,"Magnesium","Alkali Earth",24.305,922,1363,1.74,"[Ne] 3s2","2","Hexagonal",1.36,1.72,13.97,1.02,1.31,8.954,127.4,226000,1.56,7.646,15.035,80.143,1808
"13","Al",13,"Aluminium","Metal",26.98154,933.25,2793,2.7,"[Ne] 3s2p1","3","Cubic face centered",1.18,1.82,10,0.9,1.61,10.79,293.4,377000,2.37,5.986,18.828,28.447,1825
"14","Si",14,"Silicon","Non-Metal",28.0855,1685,3540,2.33,"[Ne] 3s2p2","4","Cubic face centered",1.11,1.46,12.1,0.71,1.9,50.55,384.22,2.52e-06,1.48,8.151,16.345,33.492,1823
"15","P",15,"Phosphorus","Non-Metal",30.97376,317.3,550,1.82,"[Ne] 3s2p3","+/-3, (5), 4","Monoclinic",1.06,1.23,17,0.77,2.19,0.657,12.129,1e-11,0.00235,10.486,19.725,30.18,1669
"16","S",16,"Sulfur","Non-Metal",32.06,388.36,717.75,2.07,"[Ne] 3s2p4","+/-2, 4, (6)","Orthorhombic",1.02,1.09,15.5,0.71,2.58,1.7175,NA,5e-18,0.00269,10.36,23.33,34.83,NA
