"","Income","Sex","Marital","Age","Edu","Occupation","Lived","Dual_Income","Household","Householdu18","Status","Home_Type","Ethnic","Language"
"1",9,2,1,5,4,5,5,3,3,0,1,1,7,NA
"2",9,1,1,5,5,5,5,3,5,2,1,1,7,1
"3",9,2,1,3,5,1,5,2,3,1,2,3,7,1
"4",1,2,5,1,2,6,5,1,4,2,3,1,7,1
"5",1,2,5,1,2,6,3,1,4,2,3,1,7,1
"6",8,1,1,6,4,8,5,3,2,0,1,1,7,1
"7",1,1,5,2,3,9,4,1,3,1,2,3,7,1
"8",6,1,3,3,4,3,5,1,1,0,2,3,7,1
"9",2,1,1,6,3,8,5,3,3,0,2,3,7,1
"10",4,1,1,7,4,8,4,3,2,0,2,3,7,1
"11",1,1,5,2,4,9,5,1,1,0,2,3,7,1
"12",4,2,2,2,3,2,5,1,2,0,1,1,5,1
"13",8,2,1,3,6,6,2,2,4,2,1,1,7,1
"14",7,2,1,5,3,5,5,3,4,0,2,1,7,1
"15",4,1,4,6,3,NA,5,1,1,0,1,1,7,NA
"16",7,2,1,5,4,1,5,2,2,2,1,1,7,1
"17",1,2,3,3,3,2,2,1,2,1,2,3,7,1
"18",9,2,1,5,5,1,5,2,2,0,1,1,7,NA
"19",8,2,1,5,3,5,1,3,2,0,2,3,7,1
"20",9,1,5,1,2,9,NA,1,4,2,3,1,7,1
"21",2,1,3,4,2,3,4,1,2,0,2,3,7,1
"22",9,2,1,4,4,2,5,3,5,3,1,1,5,2
"23",8,1,1,4,4,1,5,3,5,3,1,1,7,1
"24",4,2,3,5,4,2,3,1,3,0,2,5,7,1
"25",1,2,5,1,2,6,5,1,4,1,3,1,7,1
"26",9,1,1,3,5,1,5,2,3,1,2,3,7,1
"27",7,1,1,4,4,1,5,2,3,0,1,1,7,1
"28",9,1,1,4,4,1,5,2,3,1,1,1,7,1
"29",6,1,1,4,6,1,NA,2,3,1,1,1,7,1
"30",4,2,3,7,3,8,5,1,1,0,1,5,7,1
"31",6,2,3,4,5,1,4,1,5,3,1,1,7,1
"32",8,2,1,4,4,1,4,2,4,2,2,1,7,1
"33",1,2,5,1,2,6,5,1,4,2,3,1,7,1
"34",1,2,5,1,2,6,5,1,3,1,3,1,7,1
"35",1,1,5,1,2,6,5,1,6,4,3,1,7,1
"36",8,2,1,4,4,5,NA,3,6,4,1,1,7,1
"37",2,2,1,7,3,5,5,3,2,0,1,1,7,1
"38",8,2,1,4,3,5,1,3,3,1,1,1,7,1
