"","a","b","c","d","e","mw"
"1","L","L","L","L","L",5895
"2","L","L","L","L","H",5843
"3","L","L","L","H","L",5895
"4","L","L","L","H","H",5739
"5","L","L","H","L","L",5791
"6","L","L","H","L","H",6002
"7","L","L","H","H","L",6002
"8","L","L","H","H","H",5948
"9","L","H","L","L","L",5895
"10","L","H","L","L","H",5843
"11","L","H","L","H","L",5843
"12","L","H","L","H","H",5949
"13","L","H","H","L","L",6002
"14","L","H","H","L","H",6185
"15","L","H","H","H","L",6144
"16","L","H","H","H","H",6134
"17","H","L","L","L","L",5791
"18","H","L","L","L","H",6081
"19","H","L","L","H","L",6085
"20","H","L","L","H","H",6041
"21","H","L","H","L","L",6130
"22","H","L","H","L","H",5895
"23","H","L","H","H","L",5843
"24","H","L","H","H","H",5306
"25","H","H","L","L","L",5258
"26","H","H","L","L","H",5259
"27","H","H","L","H","L",5354
"28","H","H","L","H","H",5401
"29","H","H","H","L","L",5567
"30","H","H","H","L","H",5530
"31","H","H","H","H","L",5521
"32","H","H","H","H","H",5212
