"","treatment","before","after"
"1","A",47.25,145.1
"2","A",27.16,132.3
"3","A",13.4,127.9
"4","A",11.68,177.9
"5","A",4.074,151.1
"6","A",15.4,136.9
"7","A",22.28,144.2
"8","A",24.31,191.5
"9","A",12.93,183.6
"10","A",45.88,166.7
"11","A",15.53,143.8
"12","A",23.12,150.6
"13","A",45.82,174.2
"14","A",25.16,158.9
"15","A",27.33,169.5
"16","A",36.43,139.7
"17","A",3.386,146.3
"18","A",43.3,148.2
"19","B",49.63,91.28
"20","B",29.54,22.77
"21","B",15.78,5.636
"22","B",14.06,9.632
"23","B",6.454,13.18
"24","B",17.78,77.3
"25","B",24.66,18.13
"26","B",26.69,19.47
"27","B",15.31,40.52
"28","B",48.26,48.07
"29","B",17.91,45.22
"30","B",25.5,29.52
"31","B",48.2,35.4
"32","B",27.54,39.4
"33","B",29.71,46.7
"34","C",33.59,81.98
"35","C",31.87,109
"36","C",24.264,76.14
"37","C",35.59,53.06
"38","C",42.47,78.82
"39","C",44.5,149.7
"40","C",33.12,72.11
"41","C",66.07,113.5
"42","C",35.72,91
"43","C",43.31,134.2
"44","C",66.01,58.34
"45","C",45.35,78.13
"46","C",47.52,67.54
"47","C",56.62,61.26
"48","C",23.576,61.77
"49","C",63.49,105.4
