"","sex","A","P","N"
"1",1,0,1971,35839
"2",2,0,1971,34108
"3",1,1,1971,36302
"4",2,1,1971,34153
"5",1,2,1971,37855
"6",2,2,1971,35609
"7",1,3,1971,40920
"8",2,3,1971,39100
"9",1,4,1971,44452
"10",2,4,1971,42294
"11",1,5,1971,43048
"12",2,5,1971,40859
"13",1,6,1971,41981
"14",2,6,1971,39738
"15",1,7,1971,41265
"16",2,7,1971,39439
"17",1,8,1971,38851
"18",2,8,1971,37256
"19",1,9,1971,38158
"20",2,9,1971,36625
"21",1,10,1971,38046
"22",2,10,1971,36572
"23",1,11,1971,37103
"24",2,11,1971,35325
"25",1,12,1971,37546
"26",2,12,1971,35746
"27",1,13,1971,37817
"28",2,13,1971,35788
"29",1,14,1971,38269
"30",2,14,1971,36435
"31",1,15,1971,38366
"32",2,15,1971,36146
"33",1,16,1971,37738
"34",2,16,1971,36100
"35",1,17,1971,38974
"36",2,17,1971,36645
"37",1,18,1971,38354
"38",2,18,1971,36364
"39",1,19,1971,38246
"40",2,19,1971,35698
"41",1,20,1971,39251
"42",2,20,1971,37514
"43",1,21,1971,39542
"44",2,21,1971,37368
"45",1,22,1971,41938
"46",2,22,1971,39496
"47",1,23,1971,44939
"48",2,23,1971,42054
"49",1,24,1971,46863
"50",2,24,1971,43437
"51",1,25,1971,45768
"52",2,25,1971,42409
"53",1,26,1971,43631
"54",2,26,1971,40640
"55",1,27,1971,40013
"56",2,27,1971,37772
"57",1,28,1971,37747
"58",2,28,1971,35547
"59",1,29,1971,33675
"60",2,29,1971,31965
"61",1,30,1971,32748
"62",2,30,1971,31281
"63",1,31,1971,31818
"64",2,31,1971,30035
"65",1,32,1971,31388
"66",2,32,1971,30228
"67",1,33,1971,30369
"68",2,33,1971,29889
"69",1,34,1971,29775
"70",2,34,1971,29036
"71",1,35,1971,28878
"72",2,35,1971,28334
"73",1,36,1971,28537
"74",2,36,1971,28277
"75",1,37,1971,27939
"76",2,37,1971,27254
"77",1,38,1971,27801
"78",2,38,1971,27982
"79",1,39,1971,27704
"80",2,39,1971,27637
"81",1,40,1971,28076
"82",2,40,1971,28331
"83",1,41,1971,27529
"84",2,41,1971,27721
"85",1,42,1971,28729
"86",2,42,1971,28630
"87",1,43,1971,28287
"88",2,43,1971,28501
"89",1,44,1971,28826
"90",2,44,1971,29432
"91",1,45,1971,29047
"92",2,45,1971,29819
"93",1,46,1971,29898
"94",2,46,1971,30492
"95",1,47,1971,29816
"96",2,47,1971,30786
"97",1,48,1971,29455
"98",2,48,1971,29891
"99",1,49,1971,31102
"100",2,49,1971,32251
"101",1,50,1971,32159
"102",2,50,1971,33176
"103",1,51,1971,27956
"104",2,51,1971,28399
"105",1,52,1971,28910
"106",2,52,1971,29411
"107",1,53,1971,27683
"108",2,53,1971,28721
"109",1,54,1971,27784
"110",2,54,1971,28577
"111",1,55,1971,27214
"112",2,55,1971,28222
"113",1,56,1971,28216
"114",2,56,1971,29691
"115",1,57,1971,28053
"116",2,57,1971,29581
"117",1,58,1971,28553
"118",2,58,1971,29569
"119",1,59,1971,27460
"120",2,59,1971,28917
"121",1,60,1971,27138
"122",2,60,1971,28686
"123",1,61,1971,27147
"124",2,61,1971,29226
"125",1,62,1971,25515
"126",2,62,1971,28034
"127",1,63,1971,24277
"128",2,63,1971,26823
"129",1,64,1971,23159
"130",2,64,1971,26067
"131",1,65,1971,22302
"132",2,65,1971,25190
"133",1,66,1971,21196
"134",2,66,1971,24717
"135",1,67,1971,20164
"136",2,67,1971,23611
"137",1,68,1971,19528
"138",2,68,1971,23301
"139",1,69,1971,18184
"140",2,69,1971,22265
"141",1,70,1971,17093
"142",2,70,1971,21191
"143",1,71,1971,15576
"144",2,71,1971,19982
"145",1,72,1971,15220
"146",2,72,1971,19471
"147",1,73,1971,14088
"148",2,73,1971,18122
"149",1,74,1971,13097
"150",2,74,1971,17464
"151",1,75,1971,11960
"152",2,75,1971,16086
"153",1,76,1971,11160
"154",2,76,1971,14609
"155",1,77,1971,9910
"156",2,77,1971,13574
"157",1,78,1971,8562
"158",2,78,1971,12014
"159",1,79,1971,8113
"160",2,79,1971,11241
"161",1,80,1971,7089
"162",2,80,1971,9909
"163",1,81,1971,6212
"164",2,81,1971,8717
"165",1,82,1971,5514
"166",2,82,1971,7705
"167",1,83,1971,4715
"168",2,83,1971,6842
"169",1,84,1971,4048
"170",2,84,1971,5732
"171",1,85,1971,3372
"172",2,85,1971,4939
"173",1,86,1971,2840
"174",2,86,1971,4147
"175",1,87,1971,2129
"176",2,87,1971,3227
"177",1,88,1971,1760
"178",2,88,1971,2614
"179",1,89,1971,1317
"180",2,89,1971,1953
"181",1,90,1971,995
"182",2,90,1971,1525
"183",1,91,1971,735
"184",2,91,1971,1091
"185",1,92,1971,528
"186",2,92,1971,829
"187",1,93,1971,416
"188",2,93,1971,586
"189",1,94,1971,235
"190",2,94,1971,391
"191",1,95,1971,162
"192",2,95,1971,264
"193",1,96,1971,86
"194",2,96,1971,169
"195",1,97,1971,48
"196",2,97,1971,102
"197",1,98,1971,41
"198",2,98,1971,73
"199",1,99,1971,42
"200",2,99,1971,82
"201",1,0,1972,38390
"202",2,0,1972,36073
"203",1,1,1972,35987
"204",2,1,1972,34338
"205",1,2,1972,36385
"206",2,2,1972,34248
"207",1,3,1972,37896
"208",2,3,1972,35691
"209",1,4,1972,40958
"210",2,4,1972,39155
"211",1,5,1972,44494
"212",2,5,1972,42322
"213",1,6,1972,43063
"214",2,6,1972,40932
"215",1,7,1972,41987
"216",2,7,1972,39768
"217",1,8,1972,41291
"218",2,8,1972,39476
"219",1,9,1972,38851
"220",2,9,1972,37285
"221",1,10,1972,38181
"222",2,10,1972,36675
"223",1,11,1972,38057
"224",2,11,1972,36569
"225",1,12,1972,37114
"226",2,12,1972,35374
"227",1,13,1972,37598
"228",2,13,1972,35826
"229",1,14,1972,37890
"230",2,14,1972,35825
"231",1,15,1972,38337
"232",2,15,1972,36472
"233",1,16,1972,38407
"234",2,16,1972,36171
"235",1,17,1972,37771
"236",2,17,1972,35845
"237",1,18,1972,38980
"238",2,18,1972,36569
"239",1,19,1972,38366
"240",2,19,1972,36193
"241",1,20,1972,38196
"242",2,20,1972,35638
"243",1,21,1972,39104
"244",2,21,1972,37514
"245",1,22,1972,39297
"246",2,22,1972,37275
"247",1,23,1972,41709
"248",2,23,1972,39283
"249",1,24,1972,44686
"250",2,24,1972,41936
"251",1,25,1972,46578
"252",2,25,1972,43333
"253",1,26,1972,45444
"254",2,26,1972,42270
"255",1,27,1972,43394
"256",2,27,1972,40579
"257",1,28,1972,39757
"258",2,28,1972,37745
"259",1,29,1972,37573
"260",2,29,1972,35532
"261",1,30,1972,33487
"262",2,30,1972,31935
"263",1,31,1972,32601
"264",2,31,1972,31249
"265",1,32,1972,31691
"266",2,32,1972,30036
"267",1,33,1972,31309
"268",2,33,1972,30227
"269",1,34,1972,30319
"270",2,34,1972,29846
"271",1,35,1972,29625
"272",2,35,1972,29031
"273",1,36,1972,28803
"274",2,36,1972,28331
"275",1,37,1972,28399
"276",2,37,1972,28222
"277",1,38,1972,27784
"278",2,38,1972,27227
"279",1,39,1972,27658
"280",2,39,1972,27948
"281",1,40,1972,27647
"282",2,40,1972,27588
"283",1,41,1972,27908
"284",2,41,1972,28301
"285",1,42,1972,27399
"286",2,42,1972,27676
"287",1,43,1972,28568
"288",2,43,1972,28572
"289",1,44,1972,28176
"290",2,44,1972,28446
"291",1,45,1972,28704
"292",2,45,1972,29359
"293",1,46,1972,28883
"294",2,46,1972,29746
"295",1,47,1972,29759
"296",2,47,1972,30407
"297",1,48,1972,29660
"298",2,48,1972,30685
"299",1,49,1972,29278
"300",2,49,1972,29755
"301",1,50,1972,30913
"302",2,50,1972,32113
"303",1,51,1972,31893
"304",2,51,1972,33011
"305",1,52,1972,27715
"306",2,52,1972,28252
"307",1,53,1972,28660
"308",2,53,1972,29243
"309",1,54,1972,27480
"310",2,54,1972,28537
"311",1,55,1972,27490
"312",2,55,1972,28410
"313",1,56,1972,26942
"314",2,56,1972,28074
"315",1,57,1972,27872
"316",2,57,1972,29498
"317",1,58,1972,27661
"318",2,58,1972,29373
"319",1,59,1972,28115
"320",2,59,1972,29321
"321",1,60,1972,27031
"322",2,60,1972,28662
"323",1,61,1972,26673
"324",2,61,1972,28423
"325",1,62,1972,26597
"326",2,62,1972,28875
"327",1,63,1972,24890
"328",2,63,1972,27716
"329",1,64,1972,23693
"330",2,64,1972,26481
"331",1,65,1972,22532
"332",2,65,1972,25720
"333",1,66,1972,21626
"334",2,66,1972,24801
"335",1,67,1972,20530
"336",2,67,1972,24302
"337",1,68,1972,19469
"338",2,68,1972,23182
"339",1,69,1972,18771
"340",2,69,1972,22787
"341",1,70,1972,17486
"342",2,70,1972,21783
"343",1,71,1972,16299
"344",2,71,1972,20606
"345",1,72,1972,14809
"346",2,72,1972,19444
"347",1,73,1972,14377
"348",2,73,1972,18853
"349",1,74,1972,13283
"350",2,74,1972,17468
"351",1,75,1972,12246
"352",2,75,1972,16795
"353",1,76,1972,11257
"354",2,76,1972,15378
"355",1,77,1972,10345
"356",2,77,1972,13909
"357",1,78,1972,9104
"358",2,78,1972,12772
"359",1,79,1972,7820
"360",2,79,1972,11267
"361",1,80,1972,7343
"362",2,80,1972,10448
"363",1,81,1972,6358
"364",2,81,1972,9189
"365",1,82,1972,5484
"366",2,82,1972,7973
"367",1,83,1972,4846
"368",2,83,1972,6975
"369",1,84,1972,4109
"370",2,84,1972,6118
"371",1,85,1972,3439
"372",2,85,1972,5070
"373",1,86,1972,2839
"374",2,86,1972,4294
"375",1,87,1972,2315
"376",2,87,1972,3560
"377",1,88,1972,1712
"378",2,88,1972,2688
"379",1,89,1972,1414
"380",2,89,1972,2164
"381",1,90,1972,1030
"382",2,90,1972,1564
"383",1,91,1972,749
"384",2,91,1972,1226
"385",1,92,1972,566
"386",2,92,1972,851
"387",1,93,1972,394
"388",2,93,1972,626
"389",1,94,1972,274
"390",2,94,1972,458
"391",1,95,1972,165
"392",2,95,1972,281
"393",1,96,1972,112
"394",2,96,1972,186
"395",1,97,1972,50
"396",2,97,1972,117
"397",1,98,1972,31
"398",2,98,1972,69
"399",1,99,1972,49
"400",2,99,1972,106
"401",1,0,1973,38186
"402",2,0,1973,36532
"403",1,1,1973,38435
"404",2,1,1973,36203
"405",1,2,1973,36056
"406",2,2,1973,34429
"407",1,3,1973,36428
"408",2,3,1973,34316
"409",1,4,1973,37912
"410",2,4,1973,35725
"411",1,5,1973,40985
"412",2,5,1973,39226
"413",1,6,1973,44508
"414",2,6,1973,42330
"415",1,7,1973,43103
"416",2,7,1973,40974
"417",1,8,1973,42001
"418",2,8,1973,39793
"419",1,9,1973,41322
"420",2,9,1973,39515
"421",1,10,1973,38878
"422",2,10,1973,37292
"423",1,11,1973,38215
"424",2,11,1973,36682
"425",1,12,1973,38060
"426",2,12,1973,36561
"427",1,13,1973,37131
"428",2,13,1973,35412
"429",1,14,1973,37610
"430",2,14,1973,35809
"431",1,15,1973,37924
"432",2,15,1973,35812
"433",1,16,1973,38434
"434",2,16,1973,36456
"435",1,17,1973,38553
"436",2,17,1973,36008
"437",1,18,1973,37881
"438",2,18,1973,35948
"439",1,19,1973,39070
"440",2,19,1973,36659
"441",1,20,1973,38473
"442",2,20,1973,36485
"443",1,21,1973,38247
"444",2,21,1973,35901
"445",1,22,1973,39168
"446",2,22,1973,37665
"447",1,23,1973,39445
"448",2,23,1973,37360
"449",1,24,1973,41828
"450",2,24,1973,39400
"451",1,25,1973,44780
"452",2,25,1973,42086
"453",1,26,1973,46595
"454",2,26,1973,43433
"455",1,27,1973,45466
"456",2,27,1973,42329
"457",1,28,1973,43402
"458",2,28,1973,40632
"459",1,29,1973,39739
"460",2,29,1973,37813
"461",1,30,1973,37656
"462",2,30,1973,35638
"463",1,31,1973,33534
"464",2,31,1973,31986
"465",1,32,1973,32622
"466",2,32,1973,31338
"467",1,33,1973,31687
"468",2,33,1973,30079
"469",1,34,1973,31356
"470",2,34,1973,30235
"471",1,35,1973,30320
"472",2,35,1973,29884
"473",1,36,1973,29613
"474",2,36,1973,29038
"475",1,37,1973,28769
"476",2,37,1973,28339
"477",1,38,1973,28394
"478",2,38,1973,28215
"479",1,39,1973,27685
"480",2,39,1973,27215
"481",1,40,1973,27593
"482",2,40,1973,27922
"483",1,41,1973,27592
"484",2,41,1973,27568
"485",1,42,1973,27862
"486",2,42,1973,28249
"487",1,43,1973,27323
"488",2,43,1973,27650
"489",1,44,1973,28504
"490",2,44,1973,28528
"491",1,45,1973,28065
"492",2,45,1973,28408
"493",1,46,1973,28617
"494",2,46,1973,29293
"495",1,47,1973,28792
"496",2,47,1973,29676
"497",1,48,1973,29623
"498",2,48,1973,30285
"499",1,49,1973,29498
"500",2,49,1973,30583
"501",1,50,1973,29100
"502",2,50,1973,29649
"503",1,51,1973,30710
"504",2,51,1973,31968
"505",1,52,1973,31692
"506",2,52,1973,32840
"507",1,53,1973,27494
"508",2,53,1973,28101
"509",1,54,1973,28422
"510",2,54,1973,29078
"511",1,55,1973,27207
"512",2,55,1973,28368
"513",1,56,1973,27220
"514",2,56,1973,28218
"515",1,57,1973,26650
"516",2,57,1973,27878
"517",1,58,1973,27529
"518",2,58,1973,29306
"519",1,59,1973,27256
"520",2,59,1973,29123
"521",1,60,1973,27656
"522",2,60,1973,29055
"523",1,61,1973,26578
"524",2,61,1973,28367
"525",1,62,1973,26128
"526",2,62,1973,28127
"527",1,63,1973,25996
"528",2,63,1973,28542
"529",1,64,1973,24272
"530",2,64,1973,27382
"531",1,65,1973,22992
"532",2,65,1973,26090
"533",1,66,1973,21842
"534",2,66,1973,25303
"535",1,67,1973,20915
"536",2,67,1973,24372
"537",1,68,1973,19800
"538",2,68,1973,23822
"539",1,69,1973,18682
"540",2,69,1973,22677
"541",1,70,1973,17990
"542",2,70,1973,22246
"543",1,71,1973,16662
"544",2,71,1973,21203
"545",1,72,1973,15472
"546",2,72,1973,19981
"547",1,73,1973,13991
"548",2,73,1973,18808
"549",1,74,1973,13522
"550",2,74,1973,18167
"551",1,75,1973,12364
"552",2,75,1973,16760
"553",1,76,1973,11413
"554",2,76,1973,16055
"555",1,77,1973,10429
"556",2,77,1973,14618
"557",1,78,1973,9508
"558",2,78,1973,13132
"559",1,79,1973,8279
"560",2,79,1973,11997
"561",1,80,1973,7089
"562",2,80,1973,10515
"563",1,81,1973,6593
"564",2,81,1973,9645
"565",1,82,1973,5651
"566",2,82,1973,8422
"567",1,83,1973,4821
"568",2,83,1973,7179
"569",1,84,1973,4209
"570",2,84,1973,6186
"571",1,85,1973,3555
"572",2,85,1973,5409
"573",1,86,1973,2906
"574",2,86,1973,4454
"575",1,87,1973,2339
"576",2,87,1973,3681
"577",1,88,1973,1947
"578",2,88,1973,2980
"579",1,89,1973,1385
"580",2,89,1973,2228
"581",1,90,1973,1130
"582",2,90,1973,1720
"583",1,91,1973,797
"584",2,91,1973,1249
"585",1,92,1973,574
"586",2,92,1973,963
"587",1,93,1973,414
"588",2,93,1973,649
"589",1,94,1973,294
"590",2,94,1973,486
"591",1,95,1973,181
"592",2,95,1973,341
"593",1,96,1973,109
"594",2,96,1973,212
"595",1,97,1973,82
"596",2,97,1973,139
"597",1,98,1973,31
"598",2,98,1973,71
"599",1,99,1973,51
"600",2,99,1973,103
"601",1,0,1974,36196
"602",2,0,1974,34521
"603",1,1,1974,38239
"604",2,1,1974,36764
"605",1,2,1974,38437
"606",2,2,1974,36296
"607",1,3,1974,36121
"608",2,3,1974,34473
"609",1,4,1974,36501
"610",2,4,1974,34313
"611",1,5,1974,37935
"612",2,5,1974,35784
"613",1,6,1974,41021
"614",2,6,1974,39269
"615",1,7,1974,44565
"616",2,7,1974,42404
"617",1,8,1974,43129
"618",2,8,1974,41033
"619",1,9,1974,42069
"620",2,9,1974,39852
"621",1,10,1974,41371
"622",2,10,1974,39545
"623",1,11,1974,38894
"624",2,11,1974,37344
"625",1,12,1974,38259
"626",2,12,1974,36739
"627",1,13,1974,38132
"628",2,13,1974,36585
"629",1,14,1974,37196
"630",2,14,1974,35496
"631",1,15,1974,37750
"632",2,15,1974,35892
"633",1,16,1974,38041
"634",2,16,1974,35924
"635",1,17,1974,38540
"636",2,17,1974,36387
"637",1,18,1974,38688
"638",2,18,1974,36198
"639",1,19,1974,38121
"640",2,19,1974,36066
"641",1,20,1974,39280
"642",2,20,1974,36950
"643",1,21,1974,38645
"644",2,21,1974,36674
"645",1,22,1974,38558
"646",2,22,1974,36006
"647",1,23,1974,39452
"648",2,23,1974,37767
"649",1,24,1974,39726
"650",2,24,1974,37515
"651",1,25,1974,42021
"652",2,25,1974,39449
"653",1,26,1974,44915
"654",2,26,1974,42082
"655",1,27,1974,46679
"656",2,27,1974,43418
"657",1,28,1974,45453
"658",2,28,1974,42342
"659",1,29,1974,43317
"660",2,29,1974,40598
"661",1,30,1974,39751
"662",2,30,1974,37838
"663",1,31,1974,37669
"664",2,31,1974,35648
"665",1,32,1974,33494
"666",2,32,1974,32046
"667",1,33,1974,32591
"668",2,33,1974,31343
"669",1,34,1974,31669
"670",2,34,1974,30100
"671",1,35,1974,31327
"672",2,35,1974,30219
"673",1,36,1974,30280
"674",2,36,1974,29869
"675",1,37,1974,29559
"676",2,37,1974,29016
"677",1,38,1974,28717
"678",2,38,1974,28326
"679",1,39,1974,28336
"680",2,39,1974,28189
"681",1,40,1974,27682
"682",2,40,1974,27192
"683",1,41,1974,27545
"684",2,41,1974,27888
"685",1,42,1974,27543
"686",2,42,1974,27514
"687",1,43,1974,27794
"688",2,43,1974,28183
"689",1,44,1974,27209
"690",2,44,1974,27563
"691",1,45,1974,28437
"692",2,45,1974,28441
"693",1,46,1974,27939
"694",2,46,1974,28296
"695",1,47,1974,28464
"696",2,47,1974,29178
"697",1,48,1974,28641
"698",2,48,1974,29569
"699",1,49,1974,29463
"700",2,49,1974,30151
"701",1,50,1974,29295
"702",2,50,1974,30462
