"","A","P","D","Y"
"1",0,1943,1,39649.5
"2",1,1943,1,36942.833333333
"3",2,1943,0,34588.333333333
"4",3,1943,1,33267
"5",4,1943,0,32614
"6",5,1943,0,32020.333333333
"7",6,1943,0,31403.333333333
"8",7,1943,0,30842.5
"9",8,1943,0,30373.5
"10",9,1943,0,30021.833333333
"11",10,1943,0,29894
"12",11,1943,0,30017.5
"13",12,1943,0,30119.666666667
"14",13,1943,0,30330.833333334
"15",14,1943,0,30697.5
"16",15,1943,0,31188
"17",16,1943,0,31654.333333333
"18",17,1943,0,32084.333333334
"19",18,1943,0,32681.666666666
"20",19,1943,0,33005.666666667
"21",20,1943,0,33302.666666667
"22",21,1943,1,33937
"23",22,1943,0,34088.666666667
"24",23,1943,1,33489.5
"25",24,1943,1,32277.166666666
"26",25,1943,0,31392
"27",26,1943,2,31073.5
"28",27,1943,2,31036.333333333
"29",28,1943,1,31429.833333333
"30",29,1943,1,32020.333333334
"31",30,1943,4,32436.666666667
"32",31,1943,4,32500.166666667
"33",32,1943,1,32516.166666667
"34",33,1943,2,32322.333333333
"35",34,1943,0,31866.666666667
"36",35,1943,3,30993.666666666
"37",36,1943,5,30166.666666667
"38",37,1943,2,29588.333333334
"39",38,1943,2,29068.333333334
"40",39,1943,2,28596.5
"41",40,1943,3,28000
"42",41,1943,1,27431.666666667
"43",42,1943,2,26750.5
"44",43,1943,1,26127.333333334
"45",44,1943,0,25612.5
"46",45,1943,1,25139.333333333
"47",46,1943,1,24732.5
"48",47,1943,3,24158.833333334
"49",48,1943,2,23459.5
"50",49,1943,2,22535.166666666
"51",50,1943,0,21655.166666667
"52",51,1943,1,20991.833333334
"53",52,1943,1,20509.333333333
"54",53,1943,0,20135.3333333337
"55",54,1943,1,19690.1666666667
"56",55,1943,0,19217
"57",56,1943,0,18796.8333333334
"58",57,1943,0,18476.3333333333
"59",58,1943,0,18065
"60",59,1943,0,17416.6666666667
"61",60,1943,0,16611.5
"62",61,1943,0,15947.5
"63",62,1943,0,15475.6666666667
"64",63,1943,1,15034.5
"65",64,1943,0,14577.5
"66",65,1943,0,14090.1666666666
"67",66,1943,0,13543.8333333333
"68",67,1943,0,12724.1666666667
"69",68,1943,1,11751.1666666666
"70",69,1943,1,10836.5
"71",70,1943,2,10091.6666666667
"72",71,1943,0,9397.1666666666
"73",72,1943,0,8583.3333333333
"74",73,1943,0,7804.5
"75",74,1943,0,7102.3333333334
"76",75,1943,1,6485.8333333333
"77",76,1943,1,5919.1666666666
"78",77,1943,0,5262.3333333334
"79",78,1943,0,4616.5
"80",79,1943,1,3980.6666666667
"81",80,1943,0,3439.1666666666
"82",81,1943,1,2988.5
"83",82,1943,0,2577.8333333333
"84",83,1943,1,2188.1666666667
"85",84,1943,0,1822
"86",85,1943,0,1471.16666666667
"87",86,1943,0,1157.33333333333
"88",87,1943,0,900.83333333333
"89",88,1943,0,690.16666666667
"90",89,1943,0,471.68387681159
"91",0,1944,0,42795
"92",1,1944,0,39777.5
"93",2,1944,0,36747.166666667
"94",3,1944,0,34506
"95",4,1944,0,33200.166666667
"96",5,1944,0,32564.833333333
"97",6,1944,0,31970.333333333
"98",7,1944,0,31343.5
"99",8,1944,0,30788.333333334
"100",9,1944,0,30327.833333333
"101",10,1944,0,29977.833333333
"102",11,1944,0,29860.833333333
"103",12,1944,0,29988.333333333
"104",13,1944,0,30088.5
"105",14,1944,0,30303.666666667
"106",15,1944,0,30665
"107",16,1944,0,31150
"108",17,1944,1,31606.666666667
"109",18,1944,1,32019.666666666
"110",19,1944,1,32610.333333333
"111",20,1944,1,32935.666666667
"112",21,1944,2,33222.333333333
"113",22,1944,0,33851.833333333
