"","Tree.ID","Forest","HabType","Decade","Dbhib","Height","Age","Forest.ID","Hab.ID","dbhib.cm","height.m"
"1","1",4,5,0,14.6,71.4,55,"Clearwater","PA/Pach",37.084,21.7627199669207
"2","1",4,5,1,12.4,61.4,45,"Clearwater","PA/Pach",31.496,18.7147199715536
"3","1",4,5,2,8.8,40.1,35,"Clearwater","PA/Pach",22.352,12.2224799814218
"4","1",4,5,3,7,28.6,25,"Clearwater","PA/Pach",17.78,8.71727998674973
"5","1",4,5,4,4,19.6,15,"Clearwater","PA/Pach",10.16,5.9740799909194
"6","2",4,5,0,20,103.4,107,"Clearwater","PA/Pach",50.8,31.5163199520952
"7","2",4,5,1,18.8,92.2,97,"Clearwater","PA/Pach",47.752,28.1025599572841
"8","2",4,5,2,17,80.8,87,"Clearwater","PA/Pach",43.18,24.6278399625657
"9","2",4,5,3,15.9,76.2,77,"Clearwater","PA/Pach",40.386,23.2257599646968
"10","2",4,5,4,14,70.7,67,"Clearwater","PA/Pach",35.56,21.549359967245
"11","2",4,5,5,11.7,56.6,57,"Clearwater","PA/Pach",29.718,17.2516799737774
"12","2",4,5,6,10.6,43,47,"Clearwater","PA/Pach",26.924,13.1063999800783
"13","2",4,5,7,8,35.6,37,"Clearwater","PA/Pach",20.32,10.8508799835067
"14","2",4,5,8,6.2,29.3,27,"Clearwater","PA/Pach",15.748,8.93063998642543
"15","2",4,5,9,3.4,16.2,17,"Clearwater","PA/Pach",8.636,4.9377599924946
"16","3",4,3,0,29.2,158.3,130,"Clearwater","Th/Pach",74.168,48.2498399266602
"17","3",4,3,1,28.1,138.9,120,"Clearwater","Th/Pach",71.374,42.3367199356482
"18","3",4,3,2,27,132,110,"Clearwater","Th/Pach",68.58,40.2335999388449
"19","3",4,3,3,26.1,125.1,100,"Clearwater","Th/Pach",66.294,38.1304799420417
"20","3",4,3,4,24.9,119.1,90,"Clearwater","Th/Pach",63.246,36.3016799448214
"21","3",4,3,5,22.3,109.3,80,"Clearwater","Th/Pach",56.642,33.3146399493617
"22","3",4,3,6,21.5,103.8,70,"Clearwater","Th/Pach",54.61,31.6382399519099
"23","3",4,3,7,19.1,94.7,60,"Clearwater","Th/Pach",48.514,28.8645599561259
"24","3",4,3,8,17.3,87.5,50,"Clearwater","Th/Pach",43.942,26.6699999594616
"25","3",4,3,9,14.5,74.7,40,"Clearwater","Th/Pach",36.83,22.7685599653918
"26","3",4,3,10,9.9,57,30,"Clearwater","Th/Pach",25.146,17.3735999735921
"27","3",4,3,11,4.6,38.1,20,"Clearwater","Th/Pach",11.684,11.6128799823484
"28","4",3,1,0,18.4,108.4,83,"St. Joe","Ts/Pac",46.736,33.0403199497787
"29","4",3,1,1,17.2,100.8,73,"St. Joe","Ts/Pac",43.688,30.7238399532998
"30","4",3,1,2,15.6,93.7,63,"St. Joe","Ts/Pac",39.624,28.5597599565892
"31","4",3,1,3,13.7,85.8,53,"St. Joe","Ts/Pac",34.798,26.1518399602492
"32","4",3,1,4,11.6,72.5,43,"St. Joe","Ts/Pac",29.464,22.097999966411
"33","4",3,1,5,8.5,50.4,33,"St. Joe","Ts/Pac",21.59,15.3619199766499
"34","4",3,1,6,5.3,27.6,23,"St. Joe","Ts/Pac",13.462,8.41247998721303
"35","4",3,1,7,2.8,17.8,13,"St. Joe","Ts/Pac",7.112,5.42543999175333
"36","5",3,1,0,13.3,86,64,"St. Joe","Ts/Pac",33.782,26.2127999601565
"37","5",3,1,1,10.6,66.7,54,"St. Joe","Ts/Pac",26.924,20.3301599690982
"38","5",3,1,2,7.2,46.5,44,"St. Joe","Ts/Pac",18.288,14.1731999784567
"39","5",3,1,3,4.8,32.7,34,"St. Joe","Ts/Pac",12.192,9.96695998485022
"40","5",3,1,4,3.1,20.2,24,"St. Joe","Ts/Pac",7.874,6.15695999064142
"41","5",3,1,5,1.3,8.8,14,"St. Joe","Ts/Pac",3.302,2.682239995923
"42","6",1,1,0,19.9,122,92,"Kaniksu","Ts/Pac",50.546,37.1855999434779
"43","6",1,1,1,18.6,113.5,82,"Kaniksu","Ts/Pac",47.244,34.5947999474159
"44","6",1,1,2,16.2,103.9,72,"Kaniksu","Ts/Pac",41.148,31.6687199518635
"45","6",1,1,3,14.2,97.4,62,"Kaniksu","Ts/Pac",36.068,29.687519954875
"46","6",1,1,4,12.3,91.5,52,"Kaniksu","Ts/Pac",31.242,27.8891999576084
"47","6",1,1,5,9.4,82.6,42,"Kaniksu","Ts/Pac",23.876,25.1764799617317
"48","6",1,1,6,6.8,66.7,32,"Kaniksu","Ts/Pac",17.272,20.3301599690982
"49","6",1,1,7,4.9,40,22,"Kaniksu","Ts/Pac",12.446,12.1919999814682
"50","6",1,1,8,2.6,18.5,12,"Kaniksu","Ts/Pac",6.604,5.63879999142902
"51","7",1,1,0,22,132.4,72,"Kaniksu","Ts/Pac",55.88,40.3555199386596
"52","7",1,1,1,19.5,121.7,62,"Kaniksu","Ts/Pac",49.53,37.0941599436169
"53","7",1,1,2,16.8,111.5,52,"Kaniksu","Ts/Pac",42.672,33.9851999483425
"54","7",1,1,3,14,102.7,42,"Kaniksu","Ts/Pac",35.56,31.3029599524195
"55","7",1,1,4,10.5,88.5,32,"Kaniksu","Ts/Pac",26.67,26.9747999589983
"56","7",1,1,5,6.5,60.5,22,"Kaniksu","Ts/Pac",16.51,18.4403999719706
"57","7",1,1,6,3,27.2,12,"Kaniksu","Ts/Pac",7.62,8.29055998739835
"58","11",2,4,0,16.5,88.7,122,"Coeur d'Alene","AG/Pach",41.91,27.0357599589056
"59","11",2,4,1,15.5,83.4,112,"Coeur d'Alene","AG/Pach",39.37,25.4203199613611
"60","11",2,4,2,14.5,78.3,102,"Coeur d'Alene","AG/Pach",36.83,23.8658399637239
"61","11",2,4,3,13.7,74.5,92,"Coeur d'Alene","AG/Pach",34.798,22.7075999654844
"62","11",2,4,4,12.7,69.7,82,"Coeur d'Alene","AG/Pach",32.258,21.2445599677083
"63","11",2,4,5,11.4,65.7,72,"Coeur d'Alene","AG/Pach",28.956,20.0253599695615
"64","11",2,4,6,9.5,62.5,62,"Coeur d'Alene","AG/Pach",24.13,19.049999971044
"65","11",2,4,7,8,58,52,"Coeur d'Alene","AG/Pach",20.32,17.6783999731288
"66","11",2,4,8,5.9,45.4,42,"Coeur d'Alene","AG/Pach",14.986,13.8379199789664
"67","11",2,4,9,4.1,29.8,32,"Coeur d'Alene","AG/Pach",10.414,9.08303998619378
"68","11",2,4,10,2.6,18.1,22,"Coeur d'Alene","AG/Pach",6.604,5.51687999161434
"69","12",2,4,0,19.6,102.4,97,"Coeur d'Alene","AG/Pach",49.784,31.2115199525585
"70","12",2,4,1,17.8,95.1,87,"Coeur d'Alene","AG/Pach",45.212,28.9864799559405
"71","12",2,4,2,15.8,86.3,77,"Coeur d'Alene","AG/Pach",40.132,26.3042399600176
"72","12",2,4,3,14,79.7,67,"Coeur d'Alene","AG/Pach",35.56,24.2925599630753
"73","12",2,4,4,12.9,72,57,"Coeur d'Alene","AG/Pach",32.766,21.9455999666427
"74","12",2,4,5,9.7,52.4,47,"Coeur d'Alene","AG/Pach",24.638,15.9715199757233
"75","12",2,4,6,7.3,37.4,37,"Coeur d'Alene","AG/Pach",18.542,11.3995199826727
"76","12",2,4,7,4.8,25.1,27,"Coeur d'Alene","AG/Pach",12.192,7.65047998837127
"77","12",2,4,8,3,13.8,17,"Coeur d'Alene","AG/Pach",7.62,4.20623999360652
"78","13",2,4,0,17.6,103.7,90,"Coeur d'Alene","AG/Pach",44.704,31.6077599519562
"79","13",2,4,1,16.1,95.3,80,"Coeur d'Alene","AG/Pach",40.894,29.0474399558479
