"","Product","Day","Score"
"1","1","1",5.2
"2","1","1",6
"3","1","1",5.2
"4","1","1",6.6
"5","1","1",5.4
"6","1","2",3.2
"7","1","2",4
"8","1","2",3.6
"9","1","2",4.2
"10","1","2",3.8
"11","1","2",4.2
"12","1","2",4
"13","1","2",4.4
"14","1","2",4
"15","1","2",4.6
"16","2","1",4.2
"17","2","1",5.2
"18","2","1",4.4
"19","2","1",5.4
"20","2","1",4.4
"21","2","1",5.6
"22","2","1",4.8
"23","2","1",6
"24","2","1",5
"25","2","2",3.2
"26","2","2",3.6
"27","2","2",3.4
"28","2","2",4
"29","2","2",3.6
"30","2","2",4.2
"31","3","1",4.6
"32","3","1",5.6
"33","3","1",4.8
"34","3","1",5.8
"35","3","1",5
"36","3","1",6.2
"37","3","1",5.2
"38","3","1",6.4
"39","3","1",5.2
"40","3","1",6.4
"41","3","1",5.4
"42","3","2",3
"43","3","2",3.8
"44","3","2",3.4
"45","3","2",4.4
