"","ARG","AUS","BRA","CAN","PRC","FRA","DEU","IND","ITA","JAP","ROK","MEX","POR","SIN","ESP","UK","US"
"ARG",0,4.43391526233416,8.24898510821278,3.24908655164814,0,0.601432447931919,6.92824579217957,0,4.95842714486537,3.36042760938941,0,4.52872822968812,0,0,1.54309010282749,2.53706701337072,11.5454828301319
"AUS",1.2549782238615,0,5.13001739012941,8.20619790611134,6.76119096664448,8.40004392288703,8.86561858598047,5.76671278362604,5.82761500509083,7.91185361843686,6.26124048807925,1.56059282085619,3.68563203144005,8.32664704054205,5.66778443239635,10.4801343131926,10.2524263857859
"BRA",5.39242382216701,0.954206087649855,0,5.95112678012232,3.46498291406235,6.327602602897,7.40386109823851,2.07748534156742,4.01249586635818,7.21032147032151,5.92587573727695,0,6.26584123933056,4.74069938379523,5.92587573727695,8.92651854119505,9.09637034931234
"CAN",3.87018143006195,7.14094501635724,7.87426227499493,0,6.12442051564531,8.51000417766945,7.07909469471481,6.11107188970409,5.78417568674204,6.53246772887969,5.75102252945521,7.82948732561558,3.34151531231605,7.12034223783174,2.78164208534357,10.615768382755,11.7450787195396
"PRC",3.85584197793169,5.39028137871809,4.7474501277143,4.34546469735154,0,6.48252048876709,6.29892543370477,3.91334146767468,5.9000095941326,8.44874119113208,6.42548105294693,4.37035114867593,3.69095928676178,8.12829177650396,5.10458656312063,7.69966994460947,7.8786626333465
"FRA",7.55295489301253,9.98537816501218,8.37349939917013,9.38844671388809,9.02450705689084,0,12.3939970404052,7.94440396358872,12.5005832615694,11.5987296153049,8.98353365244634,7.40949725344198,10.669597374609,10.6343707896439,12.1766198973747,13.2284889060851,12.5054069221041
"DEU",7.63561743178487,9.22057024989104,8.97085915395797,9.4014950904426,9.04708573461762,12.244115055141,0,9.13054082586981,12.3316618072841,11.0737900865939,8.57306918181376,8.4529490420937,10.5952534558217,10.0567573705185,12.1807913604687,13.4456166813603,12.5692854280015
"IND",1.56151928061999,4.67647735834702,3.0779255457205,5.21305221529113,5.22325310283172,5.59943274612905,6.83446709763117,0,5.04605606712611,5.98251448477192,3.65482010636842,2.71619779711383,3.98387460129272,6.74994510071763,4.18911642094551,7.80109990221962,8.91953647971173
"ITA",6.49451274847938,6.41714707294547,8.45651433346655,7.2485146128556,6.94793771030545,11.4095604622847,12.1096648284924,5.57829989430973,0,8.87455229310567,5.28822551266096,6.18967082582,9.2943234655071,7.36873392846155,11.3993574138975,11.9771295116013,10.4359727404821
"JAP",6.51594354150945,10.555687646898,8.71355971840253,10.4360955062227,9.42270500774372,11.9811465364034,11.8760611582486,8.86377926603179,10.7701432820856,0,9.83025984929356,8.18472670413766,7.40056552759691,11.5807188529644,10.3180766498412,12.7336130340481,13.6746903200719
"ROK",4.35299951762396,6.93410094014432,3.95320874722434,5.16599854988461,5.66193116758939,8.46907935970244,7.0289993078194,3.97836521225875,5.86196968557631,7.5712467832634,0,4.51005414691724,4.16474421177706,6.75320136203238,4.62376850898911,8.79976465291425,11.0048677485121
"MEX",0,0,4.08761079135716,6.98745133488658,1.64587086203681,8.10459970679471,2.75042828029448,0,6.01903430941368,4.93535323995229,2.72400689914709,0,2.83002629374355,0,7.35919478372039,6.30100243027862,10.2630865189016
"POR",2.54461100044166,5.26531714734328,8.25246361107339,5.52086618864588,4.04906307835349,9.77319430915704,10.0040523358806,2.08479756790398,9.65825590287529,4.86846478217818,2.34090324039968,4.50214992956396,0,1.20825991790803,10.0395080614264,10.3045382330471,9.10074834296933
"SIN",0.990157008793365,10.2862446380518,3.78046146497027,8.04098387272885,7.41766978760876,9.29576869484658,9.43077713363836,7.7146982879529,7.96324460362333,9.30226612652349,9.34252061445832,5.72041033699608,6.46974521167944,0,7.57741125972878,11.1189764653049,10.6737032429943
"ESP",7.83889319273811,7.91273232961414,8.16994479308861,7.07551849046313,6.45797729327408,11.6053738637828,11.4716294467643,3.10763635083869,11.0565477980908,8.01664725086163,4.84475270756717,9.9937100835393,10.7996672133022,6.24190154892396,0,12.1881676500214,10.7247655515242
"UK",8.64513579121649,11.0888171945565,8.84633459300741,11.2380481986133,9.32955555672842,13.163212959384,13.0391225807247,9.52853687001313,12.400155882617,12.6179503009051,10.0965920649896,8.94692409609869,10.7115652867356,10.8686441022893,12.4185922759163,0,14.1351846735652
"US",8.56443473804866,10.1010594728865,10.4506238922098,12.036189557052,10.4165903480773,12.3947617435192,11.3228737195469,8.65698133953498,10.7322844723767,12.3922051829704,10.5753145020917,10.4190889652459,7.80189700460475,9.59470083893588,9.98770973157712,13.9257817569557,0
