"","class","FL","RW","CL","CW","BD"
"1","BM",8.1,6.7,16.1,19,7
"2","BM",8.8,7.7,18.1,20.8,7.4
"3","BM",9.2,7.8,19,22.4,7.7
"4","BM",9.6,7.9,20.1,23.1,8.2
"5","BM",9.8,8,20.3,23,8.2
"6","BM",10.8,9,23,26.5,9.8
"7","BM",11.1,9.9,23.8,27.1,9.8
"8","BM",11.6,9.1,24.5,28.4,10.4
"9","BM",11.8,9.6,24.2,27.8,9.7
"10","BM",11.8,10.5,25.2,29.3,10.3
"11","BM",12.2,10.8,27.3,31.6,10.9
"12","BM",12.3,11,26.8,31.5,11.4
"13","BM",12.6,10,27.7,31.7,11.4
"14","BM",12.8,10.2,27.2,31.8,10.9
"15","BM",12.8,10.9,27.4,31.5,11
"16","BM",12.9,11,26.8,30.9,11.4
"17","BM",13.1,10.6,28.2,32.3,11
"18","BM",13.1,10.9,28.3,32.4,11.2
"19","BM",13.3,11.1,27.8,32.3,11.3
"20","BM",13.9,11.1,29.2,33.3,12.1
"21","BM",14.3,11.6,31.3,35.5,12.7
"22","BM",14.6,11.3,31.9,36.4,13.7
"23","BM",15,10.9,31.4,36.4,13.2
"24","BM",15,11.5,32.4,37,13.4
"25","BM",15,11.9,32.5,37.2,13.6
"26","BM",15.2,12.1,32.3,36.7,13.6
"27","BM",15.4,11.8,33,37.5,13.6
"28","BM",15.7,12.6,35.8,40.3,14.5
"29","BM",15.9,12.7,34,38.9,14.2
"30","BM",16.1,11.6,33.8,39,14.4
"31","BM",16.1,12.8,34.9,40.7,15.7
"32","BM",16.2,13.3,36,41.7,15.4
"33","BM",16.3,12.7,35.6,40.9,14.9
"34","BM",16.4,13,35.7,41.8,15.2
"35","BM",16.6,13.5,38.1,43.4,14.9
"36","BM",16.8,12.8,36.2,41.8,14.9
"37","BM",16.9,13.2,37.3,42.7,15.6
"38","BM",17.1,12.6,36.4,42,15.1
"39","BM",17.1,12.7,36.7,41.9,15.6
"40","BM",17.2,13.5,37.6,43.9,16.1
"41","BM",17.7,13.6,38.7,44.5,16
"42","BM",17.9,14.1,39.7,44.6,16.8
"43","BM",18,13.7,39.2,44.4,16.2
"44","BM",18.8,15.8,42.1,49,17.8
"45","BM",19.3,13.5,41.6,47.4,17.8
"46","BM",19.3,13.8,40.9,46.5,16.8
"47","BM",19.7,15.3,41.9,48.5,17.8
