"","year","home","favorite","underdog","spread","favorite.name","underdog.name","week"
"1",1981,1,21,13,2,"TB","MIN",1
"2",1981,1,27,0,9.5,"ATL","NO",1
"3",1981,1,31,0,4,"BUF","NYJ",1
"4",1981,1,9,16,4,"CHI","GB",1
"5",1981,1,27,21,4.5,"CIN","SEA",1
"6",1981,0,26,10,2,"DAL","WAS",1
"7",1981,1,24,17,5,"DET","SF",1
"8",1981,1,20,27,6,"LAN","HOU",1
"9",1981,0,20,7,1,"MIA","PHX",1
"10",1981,1,28,29,6.5,"NE","IND",1
"11",1981,0,7,9,2.5,"LAA","DEN",1
"12",1981,0,24,10,6,"PHA","NYG",1
"13",1981,1,33,37,9.5,"PIT","KC",1
"14",1981,1,14,44,2,"CLE","SD",1
"15",1981,1,30,10,2,"MIA","PIT",2
"16",1981,0,31,17,4.5,"ATL","GB",2
"17",1981,0,35,3,2.5,"BUF","IND",2
"18",1981,1,3,9,3.5,"CLE","HOU",2
"19",1981,1,30,17,10.5,"DAL","PHX",2
"20",1981,0,10,13,1,"DEN","SEA",2
"21",1981,1,19,10,3.5,"KC","TB",2
"22",1981,0,17,23,7,"LAN","NO",2
"23",1981,1,30,31,4,"NYJ","CIN",2
"24",1981,1,13,3,3.5,"PHA","NE",2
"25",1981,1,28,23,7,"SD","DET",2
"26",1981,1,28,17,1,"SF","CHI",2
"27",1981,1,7,17,6.5,"WAS","NYG",2
"28",1981,0,36,10,2.5,"LAA","MIN",2
"29",1981,1,14,20,4,"BUF","PHA",3
"30",1981,1,34,17,9.5,"ATL","SF",3
"31",1981,1,28,17,3.5,"CHI","TB",3
"32",1981,1,17,20,1,"CIN","CLE",3
"33",1981,1,28,10,3,"DEN","IND",3
"34",1981,0,24,26,3.5,"DET","MIN",3
"35",1981,1,10,16,2.5,"HOU","MIA",3
"36",1981,1,35,23,7,"LAN","GB",3
"37",1981,1,20,7,3.5,"NYG","NO",3
"38",1981,1,20,10,7,"LAA","SEA",3
"39",1981,1,38,10,5.5,"PIT","NYJ",3
"40",1981,1,40,30,3.5,"PHX","WAS",3
"41",1981,0,42,31,4,"SD","KC",3
"42",1981,0,35,21,2,"DAL","NE",3
"43",1981,0,17,28,2,"ATL","CLE",4
"44",1981,0,24,27,3.5,"BUF","CIN",4
"45",1981,1,18,10,10.5,"DAL","NYG",4
"46",1981,1,13,30,3,"GB","MIN",4
"47",1981,0,17,33,3.5,"HOU","NYJ",4
"48",1981,0,31,28,3,"MIA","IND",4
"49",1981,0,0,16,1.5,"LAA","DET",4
"50",1981,1,36,13,9,"PHA","WAS",4
"51",1981,1,27,21,3.5,"PIT","NE",4
"52",1981,0,24,42,3,"SD","DEN",4
"53",1981,1,21,14,6.5,"SF","NO",4
"54",1981,1,14,20,2,"SEA","KC",4
"55",1981,1,20,10,1,"TB","PHX",4
"56",1981,0,24,7,1,"LAN","CHI",4
"57",1981,1,23,17,7,"BUF","IND",5
"58",1981,0,17,20,6,"DAL","PHX",5
"59",1981,1,17,10,3.5,"HOU","CIN",5
"60",1981,1,27,16,2.5,"LAN","CLE",5
"61",1981,1,28,28,6,"MIA","NYJ",5
"62",1981,1,24,21,5,"MIN","CHI",5
"63",1981,1,33,17,5.5,"NE","KC",5
"64",1981,1,14,27,3,"NYG","GB",5
"65",1981,1,0,17,4,"LAA","DEN",5
"66",1981,0,20,6,6.5,"PIT","NO",5
"67",1981,1,24,10,9,"SD","SEA",5
"68",1981,1,28,10,1,"TB","DET",5
"69",1981,1,17,30,2.5,"WAS","SF",5
"70",1981,1,16,13,2,"PHA","ATL",5
"71",1981,1,35,37,3.5,"ATL","LAN",6
"72",1981,1,19,41,2,"IND","CIN",6
"73",1981,1,7,24,3.5,"CHI","WAS",6
"74",1981,0,14,45,5,"DAL","SF",6
"75",1981,1,27,21,7,"DEN","DET",6
"76",1981,1,10,21,3.5,"GB","TB",6
