"","gpa","n","HSR","ACT"
"1",2.64,8,95,17
"2",3.1,15,95,20
"3",3.01,78,95,23
"4",3.07,182,95,26
"5",3.34,166,95,29
"6",2.24,20,85,17
"7",2.63,71,85,20
"8",2.74,168,85,23
"9",2.76,178,85,26
"10",2.91,91,85,29
"11",2.43,40,75,17
"12",2.47,116,75,20
"13",2.64,180,75,23
"14",2.73,133,75,26
"15",2.47,46,75,29
"16",2.31,34,65,17
"17",2.37,93,65,20
"18",2.32,124,65,23
"19",2.24,101,65,26
"20",2.31,19,65,29
"21",2.04,41,55,17
"22",2.2,73,55,20
"23",2.01,62,55,23
"24",2.43,58,55,26
"25",2.38,9,55,29
"26",1.88,19,45,17
"27",1.82,25,45,20
"28",1.84,36,45,23
"29",2.12,49,45,26
"30",2.05,16,45,29
"31",1.86,8,35,17
"32",2.28,9,35,20
"33",1.67,15,35,23
"34",1.89,29,35,26
"35",1.79,9,35,29
"36",1.7,4,25,17
"37",1.65,5,25,20
"38",1.51,9,25,23
"39",1.67,11,25,26
"40",2.33,1,25,29
