"","City","Age","Distance","Time","Sex"
"1","St. Louis",52,10,20,"M"
"2","St. Louis",21,35,40,"F"
"3","St. Louis",23,40,45,"F"
"4","St. Louis",38,0,2,"M"
"5","St. Louis",26,15,25,"M"
"6","St. Louis",46,7,12,"M"
"7","St. Louis",28,15,15,"F"
"8","St. Louis",19,10,15,"F"
"9","St. Louis",21,5,10,"F"
"10","St. Louis",46,12,25,"M"
"11","St. Louis",45,2,2,"F"
"12","St. Louis",52,10,20,"F"
"13","St. Louis",49,25,37,"F"
"14","St. Louis",52,11,20,"M"
"15","St. Louis",39,14,40,"M"
"16","St. Louis",44,10,30,"F"
"17","St. Louis",62,4,20,"F"
"18","St. Louis",39,25,35,"M"
"19","St. Louis",46,6,15,"F"
"20","St. Louis",28,6,8,"M"
"21","St. Louis",46,28,30,"M"
"22","St. Louis",34,22,30,"M"
"23","St. Louis",47,5,10,"F"
"24","St. Louis",33,16,20,"M"
"25","St. Louis",52,12,12,"F"
"26","St. Louis",54,5,20,"F"
"27","St. Louis",31,25,25,"M"
"28","St. Louis",29,2,10,"M"
"29","St. Louis",52,5,20,"F"
"30","St. Louis",25,3,10,"F"
"31","St. Louis",41,8,10,"F"
"32","St. Louis",26,12,20,"F"
"33","St. Louis",44,7,10,"M"
"34","St. Louis",27,1,3,"M"
"35","St. Louis",40,18,25,"M"
"36","St. Louis",22,25,25,"M"
"37","St. Louis",34,10,19,"M"
"38","St. Louis",36,20,30,"M"
"39","St. Louis",20,8,15,"F"
"40","St. Louis",51,8,30,"F"
"41","St. Louis",71,12,15,"F"
"42","St. Louis",34,7,20,"F"
"43","St. Louis",28,7,15,"M"
"44","St. Louis",18,25,30,"M"
"45","St. Louis",47,3,15,"F"
"46","St. Louis",28,40,40,"M"
"47","St. Louis",48,25,30,"M"
"48","St. Louis",55,40,45,"M"
"49","St. Louis",66,3,7,"F"
"50","St. Louis",26,2,5,"M"
"51","St. Louis",52,0,2,"M"
"52","St. Louis",64,12,15,"M"
"53","St. Louis",20,6,10,"F"
"54","St. Louis",57,28,35,"F"
"55","St. Louis",43,3,7,"M"
"56","St. Louis",30,12,30,"F"
"57","St. Louis",34,10,20,"M"
"58","St. Louis",78,10,20,"F"
"59","St. Louis",25,10,25,"M"
"60","St. Louis",50,16,25,"F"
"61","St. Louis",46,0,10,"M"
"62","St. Louis",57,18,35,"M"
"63","St. Louis",35,23,45,"M"
"64","St. Louis",64,8,10,"M"
"65","St. Louis",41,5,20,"F"
"66","St. Louis",29,11,15,"M"
"67","St. Louis",45,20,30,"M"
"68","St. Louis",34,0,5,"M"
"69","St. Louis",28,20,30,"F"
"70","St. Louis",52,12,25,"F"
"71","St. Louis",42,17,30,"F"
"72","St. Louis",55,7,15,"M"
"73","St. Louis",47,15,30,"F"
"74","St. Louis",33,10,10,"F"
"75","St. Louis",65,12,15,"F"
"76","St. Louis",55,3,3,"F"
"77","St. Louis",22,5,10,"F"
"78","St. Louis",20,10,15,"F"
"79","St. Louis",44,37,40,"F"
"80","St. Louis",64,24,45,"F"
"81","St. Louis",46,4,10,"F"
"82","St. Louis",43,20,30,"M"
"83","St. Louis",45,9,35,"F"
"84","St. Louis",21,15,20,"M"
"85","St. Louis",33,20,30,"M"
"86","St. Louis",66,10,20,"F"
"87","St. Louis",27,12,20,"M"
"88","St. Louis",35,12,25,"M"
"89","St. Louis",58,15,15,"M"
"90","St. Louis",23,17,20,"F"
"91","St. Louis",44,25,45,"M"
"92","St. Louis",59,3,6,"F"
"93","St. Louis",52,5,5,"M"
"94","St. Louis",26,10,10,"M"
"95","St. Louis",30,14,30,"F"
"96","St. Louis",19,5,5,"F"
"97","St. Louis",35,22,30,"F"
"98","St. Louis",26,10,20,"M"
"99","St. Louis",30,0,1,"M"
"100","St. Louis",27,25,30,"F"
"101","St. Louis",47,10,10,"F"
"102","St. Louis",50,15,15,"M"
"103","St. Louis",53,10,30,"F"
"104","St. Louis",41,10,14,"F"
"105","St. Louis",48,5,10,"F"
"106","St. Louis",43,4,15,"M"
"107","St. Louis",50,1,10,"M"
"108","St. Louis",19,18,40,"F"
"109","St. Louis",61,0,2,"M"
"110","St. Louis",33,9,15,"M"
"111","St. Louis",57,44,45,"M"
"112","St. Louis",50,6,15,"F"
"113","St. Louis",54,3,10,"M"
"114","St. Louis",28,20,30,"M"
"115","St. Louis",40,2,10,"M"
"116","St. Louis",32,3,10,"M"
"117","St. Louis",72,8,15,"F"
"118","St. Louis",53,30,45,"M"
"119","St. Louis",54,45,45,"M"
"120","St. Louis",54,22,30,"F"
"121","St. Louis",39,35,40,"F"
"122","St. Louis",37,9,15,"F"
"123","St. Louis",25,8,25,"M"
"124","St. Louis",40,53,56,"M"
"125","St. Louis",55,15,20,"M"
"126","St. Louis",17,5,10,"M"
"127","St. Louis",50,15,20,"M"
"128","St. Louis",39,10,10,"F"
"129","St. Louis",62,3,6,"F"
"130","St. Louis",45,25,30,"M"
"131","St. Louis",33,25,35,"M"
"132","St. Louis",30,33,75,"F"
"133","St. Louis",40,20,25,"F"
"134","St. Louis",42,42,45,"F"
"135","St. Louis",45,0,10,"M"
"136","St. Louis",42,23,45,"M"
"137","St. Louis",17,15,15,"F"
"138","St. Louis",74,15,25,"F"
"139","St. Louis",55,16,20,"M"
"140","St. Louis",28,7,10,"F"
"141","St. Louis",48,7,15,"M"
"142","St. Louis",48,5,5,"F"
"143","St. Louis",46,29,45,"M"
"144","St. Louis",29,15,15,"M"
"145","St. Louis",55,19,30,"F"
"146","St. Louis",48,30,35,"M"
"147","St. Louis",47,10,20,"M"
"148","St. Louis",22,27,40,"M"
"149","St. Louis",47,37,60,"F"
"150","St. Louis",51,13,30,"M"
"151","St. Louis",32,10,15,"F"
"152","St. Louis",38,2,10,"M"
"153","St. Louis",46,9,15,"F"
"154","St. Louis",18,10,20,"F"
"155","St. Louis",66,26,45,"M"
"156","St. Louis",25,11,15,"F"
"157","St. Louis",22,15,25,"M"
"158","St. Louis",37,20,30,"F"
"159","St. Louis",56,12,12,"F"
"160","St. Louis",37,7,20,"F"
"161","St. Louis",57,22,25,"F"
"162","St. Louis",17,20,30,"F"
"163","St. Louis",48,5,10,"F"
"164","St. Louis",16,10,15,"F"
"165","St. Louis",35,12,15,"M"
"166","St. Louis",55,5,20,"F"
"167","St. Louis",19,10,15,"M"
"168","St. Louis",40,0,5,"M"
"169","St. Louis",36,9,15,"F"
"170","St. Louis",50,15,25,"F"
"171","St. Louis",69,20,30,"M"
"172","St. Louis",50,12,35,"F"
"173","St. Louis",51,27,30,"F"
"174","St. Louis",51,40,40,"F"
