"","Exercise","SAT","GPA","Pulse","Piercings","GenderCode"
"1",10,1210,3.13,54,0,1
"2",4,1150,2.5,66,3,0
"3",14,1110,2.55,130,0,1
"4",3,1120,3.1,78,0,1
"5",3,1170,2.7,40,6,0
"6",5,1150,3.2,80,4,0
"7",10,1320,2.77,94,8,0
"8",13,1370,3.3,77,0,1
"9",3,1100,2.8,60,7,0
"10",12,1370,3.7,94,2,0
"11",12,1170,2.09,63,2,0
"12",12,1150,2.9,54,0,1
"13",6,1300,3.08,66,4,0
"14",10,1200,3.86,59,4,0
"15",3,1200,3,88,4,0
"16",7,1350,3,59,0,1
"17",2,1410,3.35,64,2,0
"18",14,1000,3.3,72,5,0
"19",10,1190,3.4,74,2,0
"20",14,1130,2.9,70,2,0
"21",20,1180,3.5,58,0,1
"22",7,1200,3,48,0,1
"23",12,1230,3.3,74,0,1
"24",10,1420,3.7,60,0,1
"25",6,1200,3.48,74,2,0
"26",14,1150,3.4,70,0,1
"27",12,1110,2.5,74,0,1
"28",10,1000,3.3,60,0,1
"29",8,1230,3.5,55,0,1
"30",0,1260,3.79,82,1,0
"31",10,1060,3.3,68,0,1
"32",6,1280,2.9,83,0,1
"33",5,1010,2.68,53,2,0
"34",24,1140,3.28,72,4,0
"35",2,1200,3.51,86,0,1
"36",10,1070,2.6,67,4,0
"37",6,1350,3.85,89,2,0
"38",5,1140,2.4,48,4,0
"39",5,1220,3.4,64,0,1
"40",12,1120,2.4,73,7,0
"41",2,1050,3,80,2,0
"42",7,1040,3.1,85,5,0
"43",15,1240,2.94,60,0,1
"44",5,1240,3.31,61,0,1
"45",7,1110,3.3,80,0,1
"46",15,1320,2.9,70,0,1
"47",8,1230,3.4,61,0,1
"48",14,1200,3.16,58,2,0
"49",4,1370,3.84,88,4,0
"50",15,1320,3.6,68,1,1
"51",4,940,2.36,68,0,1
"52",15,980,2.9,35,0,1
"53",3,1220,3,90,0,1
"54",3,1260,3.3,88,4,0
"55",15,1260,3.7,67,2,0
"56",20,1010,2.9,71,2,0
"57",3,1250,3.6,68,2,0
"58",6,1270,3.56,73,0,1
"59",12,1200,3.7,55,2,1
"60",4,1070,4,78,5,0
"61",20,1200,3.4,96,0,1
"62",10,1250,3.3,73,5,0
"63",10,1200,3.1,60,1,1
"64",4,1180,2.5,80,0,1
"65",9,1300,3.2,96,0,1
"66",12,1080,3.1,49,0,1
"67",2,1180,3.5,62,5,0
"68",15,1240,3,68,6,0
"69",10,1310,3.25,52,5,0
"70",7,1180,2.4,71,2,0
"71",3,1260,3.22,72,2,0
"72",8,1220,3.64,77,4,0
"73",5,1140,3.5,68,2,0
"74",10,1300,2.5,60,0,1
"75",15,1280,3.4,65,0,1
"76",5,1040,3.25,84,3,0
"77",6,1280,3.7,80,7,0
"78",18,1080,2.1,66,1,0
"79",16,1110,2.8,70,7,0
"80",4,1240,3.49,70,0,1
"81",3,1100,3.83,72,3,0
"82",5,1140,2.7,69,0,1
"83",10,1140,2.8,89,0,1
"84",2,1180,3.13,79,2,0
"85",4,1480,3.62,98,4,0
"86",14,1220,2,48,0,1
"87",7,1250,3.6,71,0,1
"88",12,1340,4,51,0,1
"89",14,1200,3.1,67,2,0
"90",3,1250,2.6,66,0,1
"91",5,1150,3.7,66,0,1
"92",15,1370,3.57,60,0,1
