"","NFLTeam","NFL_Malevolence","ZPenYds"
"1","LA Raiders",5.1,1.19
"2","Pittsburgh",5,0.48
"3","Cincinnati",4.97,0.27
"4","New Orleans",4.83,0.1
"5","Chicago",4.68,0.29
"6","Kansas City",4.58,-0.19
"7","Washington",4.4,-0.07
"8","St. Louis",4.27,-0.01
"9","NY Jets",4.12,0.01
"10","LA Rams",4.1,-0.09
"11","Cleveland",4.05,0.44
"12","San Diego",4.05,0.27
"13","Green Bay",4,-0.73
"14","Philadelphia",3.97,-0.49
"15","Minnesota",3.9,-0.81
"16","Atlanta",3.87,0.3
"17","Indianapolis",3.83,-0.19
"18","San Francisco",3.83,0.09
"19","Seattle",3.82,0.02
"20","Denver",3.8,0.24
"21","Tampa Bay",3.77,-0.41
"22","New England",3.6,-0.18
"23","Buffalo",3.53,0.63
"24","Detroit",3.38,0.04
"25","NY Giants",3.27,-0.32
"26","Dallas",3.15,0.23
"27","Houston",2.88,0.38
"28","Miami",2.8,-1.6
