"","Action","PreFatigue","PostFatigue"
"1","Mental",5.9,7.4
"2","Mental",9.9,6
"3","Mental",8.1,6.6
"4","Mental",7.2,6.1
"5","Mental",6.6,5.5
"6","Mental",7.4,7.2
"7","Mental",6.9,5.4
"8","Mental",6.7,4.6
"9","Actual",7.3,9.8
"10","Actual",7.8,7.8
"11","Actual",6.8,7.5
"12","Actual",7.1,7.6
"13","Actual",6.2,6.4
"14","Actual",7.2,7.8
"15","Actual",8.4,8.1
"16","Actual",6.5,9.3
"17","",NA,NA
"18","",NA,NA
"19","",NA,NA
"20","",NA,NA
"21","",NA,NA
"22","",NA,NA
"23","",NA,NA
"24","",NA,NA
"25","",NA,NA
"26","",NA,NA
"27","",NA,NA
"28","",NA,NA
"29","",NA,NA
"30","",NA,NA
"31","",NA,NA
"32","",NA,NA
