"","Butter","Filling","Bread","Ants","Order"
"1","no","Vegemite","Rye",18,10
"2","no","Peanut Butter","Rye",43,26
"3","no","Ham & Pickles","Rye",44,39
"4","no","Vegemite","Wholemeal",29,25
"5","no","Peanut Butter","Wholemeal",59,35
"6","no","Ham & Pickles","Wholemeal",34,1
"7","no","Vegemite","Multigrain",42,44
"8","no","Peanut Butter","Multigrain",22,36
"9","no","Ham & Pickles","Multigrain",36,32
"10","no","Vegemite","White",42,33
"11","no","Peanut Butter","White",25,34
"12","no","Ham & Pickles","White",49,13
"13","no","Vegemite","Rye",31,14
"14","no","Peanut Butter","Rye",36,31
"15","no","Ham & Pickles","Rye",54,20
"16","no","Vegemite","Wholemeal",21,19
"17","no","Peanut Butter","Wholemeal",47,38
"18","no","Ham & Pickles","Wholemeal",65,5
"19","no","Vegemite","Multigrain",38,21
"20","no","Peanut Butter","Multigrain",19,22
"21","no","Ham & Pickles","Multigrain",59,8
"22","no","Vegemite","White",25,41
"23","no","Peanut Butter","White",21,16
"24","no","Ham & Pickles","White",53,23
