"","Rehnquist","Stevens","O.Connor","Scalia","Kennedy","Souter","Thomas","Ginsburg","Breyer","term","time"
"1",0,1,0,0,1,1,0,1,1,1994,1
"2",1,1,1,0,1,1,0,1,1,1994,1
"3",0,1,0,0,0,0,0,NA,0,1994,1
"4",0,1,0,1,1,1,0,1,0,1994,1
"5",0,1,0,0,0,0,0,0,0,1994,1
"6",0,1,0,0,0,1,0,0,0,1994,1
"7",1,0,0,NA,1,1,0,1,1,1994,1
"8",1,1,1,0,1,1,0,1,1,1994,1
"9",0,1,1,0,0,1,0,1,1,1994,1
"10",1,1,0,1,1,1,1,1,1,1994,1
"11",0,1,1,0,1,1,0,1,1,1994,1
"12",0,1,1,0,1,1,0,1,1,1994,1
"13",0,1,0,0,0,0,0,0,0,1994,1
"14",0,0,0,1,0,0,1,1,1,1994,1
"15",0,1,0,0,0,0,0,1,0,1994,1
"16",1,1,1,1,1,1,0,1,1,1994,1
"17",0,0,1,1,0,1,1,0,0,1994,1
"18",1,1,0,1,1,1,1,1,0,1994,1
"19",0,1,0,0,0,0,0,1,0,1994,1
"20",0,1,1,0,1,1,1,1,1,1994,1
"21",0,0,1,0,0,1,0,0,1,1994,1
"22",0,1,1,0,0,1,0,1,1,1994,1
"23",0,1,0,0,0,1,0,0,0,1994,1
"24",1,0,0,0,1,0,1,0,0,1994,1
"25",0,1,0,0,0,1,0,1,1,1994,1
"26",0,1,0,1,1,0,1,1,1,1994,1
"27",1,1,1,0,0,1,0,1,1,1994,1
"28",0,1,0,0,1,1,0,1,1,1994,1
"29",0,1,1,1,1,1,0,1,1,1994,1
"30",0,1,0,0,0,0,0,0,0,1994,1
"31",0,1,0,0,0,1,0,1,1,1994,1
"32",0,1,0,0,0,1,0,1,1,1994,1
"33",0,1,0,0,0,0,0,0,0,1994,1
"34",1,1,0,1,1,0,0,1,1,1994,1
"35",0,1,0,0,0,0,0,0,0,1994,1
"36",0,1,1,0,1,0,0,1,1,1994,1
"37",0,1,1,0,0,1,0,0,1,1994,1
"38",0,1,0,0,0,1,0,1,1,1994,1
"39",0,1,0,0,0,0,0,0,NA,1994,1
"40",1,1,1,0,0,1,0,1,1,1994,1
"41",0,1,0,0,1,1,0,1,0,1994,1
"42",0,1,1,0,0,1,0,0,0,1994,1
"43",0,1,1,0,1,1,0,1,1,1994,1
"44",0,1,0,0,0,0,0,1,0,1994,1
"45",0,1,0,0,0,1,0,1,1,1994,1
"46",0,1,0,0,0,1,0,1,1,1994,1
"47",0,1,0,0,0,0,0,0,0,1995,2
"48",0,0,0,1,0,0,0,0,1,1995,2
"49",0,1,1,1,1,1,0,1,1,1995,2
"50",1,0,1,1,1,1,0,1,1,1995,2
"51",1,0,1,1,1,1,1,1,0,1995,2
"52",0,1,0,0,0,0,0,0,0,1995,2
"53",0,1,0,0,0,1,0,1,0,1995,2
"54",0,NA,1,0,0,0,0,0,1,1995,2
"55",0,1,0,0,1,1,0,0,1,1995,2
"56",1,1,0,0,1,1,0,1,1,1995,2
"57",0,1,0,0,0,1,0,1,1,1995,2
"58",0,1,1,0,0,1,0,1,1,1995,2
"59",0,1,1,0,0,1,0,1,1,1995,2
"60",0,1,0,0,1,1,0,1,1,1995,2
"61",0,1,0,0,1,0,0,0,0,1995,2
"62",0,1,0,0,0,0,0,0,0,1995,2
"63",1,0,0,1,0,0,1,1,0,1995,2
"64",0,1,1,0,1,1,0,1,1,1995,2
"65",0,1,0,1,1,1,0,1,1,1995,2
"66",1,1,1,1,1,1,0,1,1,1995,2
"67",1,1,1,0,1,1,1,1,1,1995,2
"68",0,NA,0,0,1,0,0,1,0,1995,2
"69",0,1,0,0,0,1,0,1,1,1995,2
"70",0,1,0,0,0,1,0,1,1,1995,2
"71",0,1,1,0,1,1,1,1,1,1995,2
"72",0,1,1,0,0,1,0,0,1,1995,2
"73",1,0,1,1,1,0,1,0,0,1995,2
"74",0,0,1,0,0,0,0,0,1,1995,2
"75",0,1,0,0,0,1,0,1,1,1995,2
"76",0,1,0,0,0,0,0,0,1,1995,2
"77",0,1,0,0,0,0,0,0,0,1995,2
"78",0,1,0,0,0,0,0,0,0,1995,2
"79",0,1,0,0,0,0,0,1,0,1995,2
"80",0,1,0,0,0,0,0,0,0,1995,2
"81",0,1,1,0,1,1,0,1,1,1995,2
"82",0,1,0,0,1,1,0,1,1,1995,2
"83",1,1,1,0,1,1,NA,1,1,1995,2
"84",1,0,1,1,1,1,1,0,1,1995,2
"85",1,1,1,0,1,1,0,1,1,1995,2
"86",1,1,1,0,1,1,0,1,1,1995,2
"87",0,0,0,0,1,0,0,1,0,1995,2
"88",0,1,1,1,1,1,1,0,1,1995,2
"89",0,1,0,0,0,0,0,0,0,1996,3
"90",1,1,0,0,1,1,0,1,1,1996,3
"91",0,1,1,0,1,1,0,1,1,1996,3
"92",0,1,0,0,1,1,0,1,1,1996,3
"93",0,1,0,0,0,0,0,0,0,1996,3
"94",1,0,1,1,1,1,1,1,1,1996,3
"95",1,1,1,0,0,1,0,1,1,1996,3
"96",0,1,0,0,1,0,0,0,0,1996,3
"97",0,1,0,0,0,0,0,0,0,1996,3
"98",0,1,0,0,0,0,0,0,1,1996,3
"99",0,0,0,1,0,0,0,0,1,1996,3
"100",0,0,1,1,0,0,1,1,0,1996,3
"101",0,1,1,1,1,1,1,1,1,1996,3
"102",0,1,0,0,0,1,0,1,0,1996,3
"103",0,1,0,0,0,1,0,1,1,1996,3
"104",0,1,0,0,0,1,0,0,0,1996,3
"105",0,1,1,0,0,0,0,1,1,1996,3
"106",0,1,0,0,0,0,0,1,1,1996,3
"107",0,1,1,0,1,1,0,0,1,1996,3
"108",0,1,0,0,0,0,0,1,1,1996,3
"109",0,1,0,0,0,1,0,1,1,1996,3
"110",0,1,0,1,1,1,1,0,0,1996,3
"111",1,1,0,0,1,1,0,1,1,1996,3
"112",0,1,0,0,0,0,0,0,0,1996,3
"113",0,1,1,0,1,1,0,1,1,1996,3
"114",0,1,0,0,0,1,0,1,1,1996,3
"115",1,1,0,0,1,1,0,1,1,1996,3
"116",0,1,0,0,0,1,0,1,1,1996,3
"117",0,1,0,0,0,1,0,1,1,1996,3
"118",0,1,0,0,0,1,0,1,1,1996,3
"119",0,1,1,0,0,1,0,1,1,1996,3
"120",0,1,0,0,0,1,0,1,1,1996,3
"121",0,1,1,0,0,1,0,1,1,1996,3
"122",0,1,0,0,0,0,0,1,0,1996,3
"123",1,0,0,1,0,1,1,0,0,1996,3
"124",0,0,1,0,0,NA,0,0,1,1996,3
"125",1,1,0,0,0,1,0,1,1,1996,3
"126",0,1,NA,0,0,0,0,0,1,1996,3
"127",0,1,1,0,1,1,0,1,1,1996,3
"128",0,1,0,0,0,0,0,0,1,1996,3
"129",0,1,0,0,0,1,0,1,1,1996,3
"130",0,1,0,0,0,0,0,0,0,1997,4
"131",1,0,1,1,1,1,1,0,1,1997,4
"132",1,0,0,0,1,1,0,0,0,1997,4
"133",0,1,0,0,0,0,0,1,1,1997,4
"134",1,0,0,0,1,0,0,1,0,1997,4
"135",0,1,0,0,0,1,0,1,1,1997,4
"136",0,1,0,0,0,0,0,0,1,1997,4
"137",0,1,1,0,1,1,0,1,1,1997,4
"138",0,0,1,1,0,0,1,0,0,1997,4
"139",0,1,1,0,0,1,0,0,1,1997,4
"140",0,1,0,0,0,0,0,0,0,1997,4
"141",1,1,1,1,0,1,1,1,1,1997,4
"142",0,1,1,0,0,1,0,1,1,1997,4
"143",0,1,0,1,0,1,0,1,0,1997,4
"144",0,1,0,0,0,0,0,0,0,1997,4
"145",1,1,1,0,1,1,0,1,1,1997,4
"146",0,0,0,0,0,1,0,1,1,1997,4
"147",0,1,0,0,0,1,0,1,1,1997,4
"148",0,1,0,0,1,1,0,1,1,1997,4
"149",1,1,1,0,1,1,0,1,1,1997,4
"150",1,1,1,0,1,1,0,1,1,1997,4
"151",0,1,0,0,0,1,0,1,0,1997,4
"152",1,0,1,1,1,1,0,1,0,1997,4
"153",0,1,0,0,0,0,0,0,1,1997,4
"154",1,1,0,0,1,1,0,1,1,1997,4
"155",0,1,0,0,0,0,0,0,0,1997,4
"156",1,0,0,1,0,1,0,1,0,1997,4
"157",0,1,0,0,0,1,0,1,1,1997,4
"158",1,0,0,1,0,0,0,1,0,1997,4
"159",1,0,NA,1,1,1,1,1,1,1997,4
"160",0,1,0,0,1,1,0,1,1,1997,4
"161",0,1,0,0,0,1,0,1,1,1997,4
"162",0,0,0,1,0,1,1,0,0,1997,4
"163",0,1,0,0,0,1,1,1,1,1997,4
"164",0,1,0,0,0,1,0,1,1,1997,4
"165",1,1,0,0,1,1,0,1,1,1997,4
"166",0,1,0,0,0,1,0,1,1,1997,4
"167",0,0,0,0,0,1,0,0,0,1997,4
"168",0,1,0,0,1,1,0,1,1,1997,4
"169",0,0,0,0,0,0,0,1,1,1997,4
"170",0,1,0,1,0,1,0,1,0,1997,4
"171",1,1,1,0,1,1,0,1,1,1997,4
"172",1,1,1,0,1,1,0,1,1,1997,4
"173",0,1,0,0,0,1,0,1,0,1998,5
"174",0,1,0,0,0,0,0,0,0,1998,5
"175",0,1,0,1,1,1,1,1,0,1998,5
"176",1,1,1,1,1,1,0,1,1,1998,5
"177",0,0,NA,0,0,1,0,0,0,1998,5
"178",0,0,0,0,0,1,0,0,0,1998,5
"179",0,0,0,1,0,0,1,0,0,1998,5
"180",0,1,0,0,0,0,0,0,0,1998,5
"181",1,1,1,1,0,1,0,1,1,1998,5
"182",0,1,0,0,1,1,0,1,1,1998,5
"183",0,1,1,0,0,1,0,1,1,1998,5
"184",0,1,0,1,0,1,1,1,0,1998,5
"185",1,0,1,0,1,1,1,1,1,1998,5
"186",0,1,0,0,0,1,0,1,0,1998,5
"187",0,1,0,0,1,1,0,1,1,1998,5
"188",0,1,1,0,1,1,0,1,1,1998,5
"189",0,1,0,0,0,0,0,0,0,1998,5
"190",0,1,1,1,1,1,0,1,1,1998,5
"191",0,1,0,0,0,0,0,1,0,1998,5
"192",0,1,0,0,0,0,0,0,0,1998,5
"193",0,1,1,0,0,1,0,1,1,1998,5
"194",0,1,0,0,1,0,0,1,1,1998,5
"195",0,1,0,0,0,0,0,0,0,1998,5
"196",1,1,0,1,0,1,1,0,1,1998,5
"197",0,1,0,0,0,0,0,1,1,1998,5
"198",0,0,0,0,0,0,0,1,NA,1998,5
"199",0,0,0,1,0,1,0,1,0,1998,5
"200",0,1,1,0,1,1,0,1,1,1998,5
"201",1,0,0,0,1,0,0,1,0,1998,5
"202",0,1,1,0,0,1,0,1,1,1998,5
"203",0,1,0,0,1,1,0,1,1,1998,5
"204",0,0,0,0,1,1,0,0,0,1998,5
"205",0,1,0,0,0,1,0,1,1,1998,5
"206",0,1,0,0,0,0,0,1,0,1998,5
"207",0,1,0,0,0,1,0,1,1,1998,5
"208",0,0,1,0,0,0,0,0,1,1998,5
"209",0,1,0,0,0,0,0,0,1,1998,5
"210",0,1,0,0,0,0,0,0,1,1998,5
"211",0,1,0,0,0,1,0,1,1,1998,5
"212",0,1,0,0,0,0,0,0,1,1998,5
"213",0,1,1,0,1,1,0,1,1,1998,5
"214",0,1,0,0,0,1,0,1,1,1998,5
"215",0,1,0,0,0,1,0,1,1,1998,5
"216",0,1,0,0,0,1,0,1,1,1998,5
"217",0,1,0,0,0,0,0,0,1,1998,5
"218",1,1,1,0,1,1,0,1,1,1999,6
"219",0,1,0,0,1,0,0,0,0,1999,6
"220",0,1,0,0,0,1,0,1,1,1999,6
"221",0,1,0,0,0,1,0,1,1,1999,6
"222",0,1,0,0,0,1,0,1,1,1999,6
"223",0,1,0,0,0,1,0,1,1,1999,6
"224",0,1,0,0,0,1,0,1,1,1999,6
"225",1,1,1,0,0,1,0,1,1,1999,6
"226",0,1,0,0,0,1,0,1,0,1999,6
"227",0,1,0,0,0,0,0,1,0,1999,6
"228",0,1,0,1,1,0,1,0,0,1999,6
"229",0,0,0,0,0,1,0,1,0,1999,6
"230",0,1,0,0,0,1,0,1,1,1999,6
"231",0,1,0,0,0,1,0,1,0,1999,6
"232",0,1,0,0,0,1,0,1,0,1999,6
"233",1,1,1,0,1,1,1,1,0,1999,6
"234",0,1,0,0,0,0,0,1,0,1999,6
"235",0,1,1,0,1,1,0,1,1,1999,6
"236",0,1,0,0,0,0,0,0,1,1999,6
"237",1,1,1,0,1,1,0,1,1,1999,6
"238",0,1,0,0,0,1,0,0,0,1999,6
"239",0,1,0,1,0,1,1,0,1,1999,6
"240",0,1,0,0,0,0,0,1,1,1999,6
"241",0,1,0,0,0,1,0,1,1,1999,6
"242",1,1,1,0,1,1,0,1,1,1999,6
"243",0,0,0,1,0,0,0,0,0,1999,6
"244",0,1,0,0,0,1,0,1,1,1999,6
"245",0,1,0,0,1,1,1,1,0,1999,6
"246",1,0,1,1,1,0,0,0,1,1999,6
"247",0,1,1,1,1,1,1,1,1,1999,6
"248",1,0,1,0,0,1,1,1,1,1999,6
"249",0,1,1,0,0,1,1,1,0,1999,6
"250",0,1,0,0,0,1,0,1,1,1999,6
"251",0,1,0,0,0,1,0,1,1,1999,6
"252",0,1,1,0,1,1,0,1,1,1999,6
"253",0,1,0,0,0,1,0,1,1,1999,6
"254",0,1,0,1,1,1,0,1,1,1999,6
"255",1,1,1,0,1,1,0,1,1,1999,6
"256",0,1,0,1,0,1,1,1,0,1999,6
"257",1,0,1,1,1,1,1,0,1,1999,6
"258",0,1,0,0,0,NA,0,0,0,1999,6
"259",0,1,0,0,0,1,0,1,1,1999,6
"260",1,1,1,0,0,1,0,1,1,1999,6
"261",0,1,0,0,0,1,0,1,0,1999,6
"262",0,1,1,0,0,1,0,1,1,1999,6
"263",0,1,1,0,1,1,0,1,1,2000,7
"264",0,1,0,0,0,1,0,1,1,2000,7
"265",0,1,0,0,0,1,0,1,1,2000,7
"266",0,0,0,0,0,0,0,0,1,2000,7
"267",1,1,0,0,1,0,0,0,0,2000,7
"268",0,1,0,0,0,0,0,0,0,2000,7
"269",0,1,1,0,0,1,0,1,1,2000,7
"270",0,1,0,0,0,0,0,0,0,2000,7
"271",0,1,0,0,0,1,0,1,1,2000,7
"272",0,1,0,0,1,1,0,1,1,2000,7
"273",1,1,1,0,1,1,0,1,1,2000,7
"274",0,1,1,0,1,1,0,1,1,2000,7
"275",0,1,0,0,0,1,0,1,1,2000,7
"276",1,0,1,1,1,1,1,1,0,2000,7
"277",0,1,0,0,0,1,0,1,1,2000,7
"278",0,1,1,0,0,1,0,1,1,2000,7
"279",0,1,0,0,0,1,0,1,1,2000,7
