"","Variety","Date","Block","Yield"
"1","Ladak","None","A",2.17
"2","Ladak","09-01","A",1.58
"3","Ladak","09-20","A",2.29
"4","Ladak","10-07","A",2.23
"5","Ladak","None","B",1.88
"6","Ladak","09-01","B",1.26
"7","Ladak","09-20","B",1.6
"8","Ladak","10-07","B",2.01
"9","Ladak","None","C",1.62
"10","Ladak","09-01","C",1.22
"11","Ladak","09-20","C",1.67
"12","Ladak","10-07","C",1.82
"13","Ladak","None","D",2.34
"14","Ladak","09-01","D",1.59
"15","Ladak","09-20","D",1.91
"16","Ladak","10-07","D",2.1
"17","Ladak","None","E",1.58
"18","Ladak","09-01","E",1.25
"19","Ladak","09-20","E",1.39
"20","Ladak","10-07","E",1.66
"21","Ladak","None","F",1.66
"22","Ladak","09-01","F",0.94
"23","Ladak","09-20","F",1.12
"24","Ladak","10-07","F",1.1
"25","Cossack","None","A",2.33
"26","Cossack","09-01","A",1.38
"27","Cossack","09-20","A",1.86
"28","Cossack","10-07","A",2.27
"29","Cossack","None","B",2.01
"30","Cossack","09-01","B",1.3
"31","Cossack","09-20","B",1.7
"32","Cossack","10-07","B",1.81
"33","Cossack","None","C",1.7
"34","Cossack","09-01","C",1.85
"35","Cossack","09-20","C",1.81
"36","Cossack","10-07","C",2.01
"37","Cossack","None","D",1.78
"38","Cossack","09-01","D",1.09
"39","Cossack","09-20","D",1.54
"40","Cossack","10-07","D",1.4
"41","Cossack","None","E",1.42
"42","Cossack","09-01","E",1.13
"43","Cossack","09-20","E",1.67
"44","Cossack","10-07","E",1.31
"45","Cossack","None","F",1.35
"46","Cossack","09-01","F",1.06
"47","Cossack","09-20","F",0.88
"48","Cossack","10-07","F",1.06
"49","Ranger","None","A",1.75
"50","Ranger","09-01","A",1.52
"51","Ranger","09-20","A",1.55
"52","Ranger","10-07","A",1.56
"53","Ranger","None","B",1.95
"54","Ranger","09-01","B",1.47
"55","Ranger","09-20","B",1.61
"56","Ranger","10-07","B",1.72
"57","Ranger","None","C",2.13
"58","Ranger","09-01","C",1.8
"59","Ranger","09-20","C",1.82
"60","Ranger","10-07","C",1.99
"61","Ranger","None","D",1.78
"62","Ranger","09-01","D",1.37
"63","Ranger","09-20","D",1.56
"64","Ranger","10-07","D",1.55
"65","Ranger","None","E",1.31
"66","Ranger","09-01","E",1.01
"67","Ranger","09-20","E",1.23
"68","Ranger","10-07","E",1.51
"69","Ranger","None","F",1.3
"70","Ranger","09-01","F",1.31
"71","Ranger","09-20","F",1.13
"72","Ranger","10-07","F",1.33
