"","Quake","Richter","distance","soil","accel"
"1","T",5,7.5,"R",0.264
"2","T",5,8.8,"R",0.263
"3","T",5,8.9,"R",0.23
"4","T",5,9.4,"R",0.147
"5","T",5,9.7,"R",0.286
"6","T",5,9.7,"R",0.157
"7","T",5,10.5,"R",0.237
"8","T",5,10.5,"R",0.133
"9","T",5,12,"R",0.055
"10","T",5,12.2,"R",0.097
"11","T",5,12.8,"R",0.129
"12","T",5,14.6,"R",0.192
"13","T",5,14.9,"R",0.147
"14","T",5,17.6,"R",0.154
"15","T",5,23.9,"R",0.06
"16","T",5,25,"R",0.057
"17","P",5.1,2.9,"R",0.21
"18","P",5.1,3.2,"R",0.39
"19","P",5.1,7.6,"R",0.28
"20","N",5.2,17,"S",0.011
"21","N",5.2,8,"R",0.12
"22","N",5.2,10,"R",0.17
"23","N",5.2,10,"R",0.14
"24","C",5.3,8,"S",0.127
"25","H",5.3,19,"S",0.086
"26","H",5.3,21,"S",0.179
"27","H",5.3,13,"R",0.205
"28","H",5.3,22,"R",0.073
"29","H",5.3,29,"R",0.045
"30","J",5.3,31,"R",0.03
"31","W",5.3,5.8,"R",0.123
"32","W",5.3,12,"R",0.133
"33","W",5.3,12.1,"R",0.073
"34","W",5.3,20.5,"R",0.097
"35","W",5.3,20.5,"R",0.096
"36","W",5.3,25.3,"R",0.23
"37","W",5.3,35.9,"R",0.082
"38","W",5.3,36.1,"R",0.11
"39","W",5.3,36.3,"R",0.11
"40","W",5.3,38.5,"R",0.094
"41","W",5.3,41.4,"R",0.04
"42","W",5.3,43.6,"R",0.05
"43","W",5.3,44.4,"R",0.022
"44","W",5.3,46.1,"R",0.07
"45","W",5.3,47.1,"R",0.08
"46","W",5.3,47.7,"R",0.033
"47","W",5.3,49.2,"R",0.017
"48","W",5.3,53.1,"R",0.022
"49","V",5.5,4,"R",0.259
"50","V",5.5,10.1,"R",0.267
"51","V",5.5,11.1,"R",0.071
"52","V",5.5,17.7,"R",0.275
"53","V",5.5,22.5,"R",0.058
"54","V",5.5,26.5,"R",0.026
"55","V",5.5,29,"R",0.039
"56","V",5.5,30.9,"R",0.112
"57","V",5.5,37.8,"R",0.065
"58","V",5.5,48.3,"R",0.026
"59","F",5.6,62,"R",0.005
"60","M",5.6,50,"S",0.031
"61","M",5.6,16,"R",0.13
"62","G",5.7,62,"R",0.003
"63","R",5.8,1.2,"S",0.42
"64","R",5.8,1.6,"S",0.23
"65","R",5.8,9.1,"S",0.13
"66","R",5.8,3.7,"R",0.26
"67","R",5.8,5.3,"R",0.27
"68","R",5.8,7.4,"R",0.26
"69","R",5.8,17.9,"R",0.11
"70","R",5.8,19.2,"R",0.12
"71","R",5.8,23.4,"R",0.038
"72","R",5.8,30,"R",0.044
"73","R",5.8,38.9,"R",0.046
"74","U",5.8,10.8,"R",0.12
"75","U",5.8,15.7,"R",0.154
"76","U",5.8,16.7,"R",0.052
"77","U",5.8,20.8,"R",0.045
"78","U",5.8,28.5,"R",0.086
"79","U",5.8,33.1,"R",0.056
"80","U",5.8,40.3,"R",0.065
"81","O",6,8,"S",0.11
"82","O",6,32,"S",0.04
"83","O",6,30,"R",0.07
"84","O",6,31,"R",0.08
"85","D",6.1,16.1,"S",0.411
"86","D",6.1,63.6,"S",0.018
"87","D",6.1,6.6,"R",0.509
"88","D",6.1,9.3,"R",0.467
"89","D",6.1,13,"R",0.279
"90","D",6.1,17.3,"R",0.072
"91","D",6.1,105,"R",0.012
"92","D",6.1,112,"R",0.006
"93","D",6.1,123,"R",0.003
"94","L",6.2,5,"R",0.39
"95","S",6.5,23.5,"S",0.17
"96","S",6.5,26,"S",0.21
"97","S",6.5,0.5,"R",0.32
"98","S",6.5,0.6,"R",0.52
"99","S",6.5,1.3,"R",0.72
"100","S",6.5,1.4,"R",0.32
"101","S",6.5,2.6,"R",0.81
"102","S",6.5,3.8,"R",0.64
"103","S",6.5,4,"R",0.56
"104","S",6.5,5.1,"R",0.51
"105","S",6.5,6.2,"R",0.4
"106","S",6.5,6.8,"R",0.61
"107","S",6.5,7.5,"R",0.26
"108","S",6.5,7.6,"R",0.24
"109","S",6.5,8.4,"R",0.46
"110","S",6.5,8.5,"R",0.22
"111","S",6.5,8.5,"R",0.23
"112","S",6.5,10.6,"R",0.28
"113","S",6.5,12.6,"R",0.38
"114","S",6.5,12.7,"R",0.27
"115","S",6.5,12.9,"R",0.31
"116","S",6.5,14,"R",0.2
"117","S",6.5,15,"R",0.11
"118","S",6.5,16,"R",0.43
"119","S",6.5,17.7,"R",0.27
"120","S",6.5,18,"R",0.15
"121","S",6.5,22,"R",0.15
"122","S",6.5,22,"R",0.15
"123","S",6.5,23,"R",0.13
"124","S",6.5,23.2,"R",0.19
"125","S",6.5,29,"R",0.13
"126","S",6.5,32,"R",0.066
"127","S",6.5,32.7,"R",0.35
"128","S",6.5,36,"R",0.1
"129","S",6.5,43.5,"R",0.16
"130","S",6.5,49,"R",0.14
"131","S",6.5,60,"R",0.049
"132","S",6.5,64,"R",0.034
"133","E",6.6,105,"S",0.018
"134","E",6.6,122,"S",0.048
"135","E",6.6,141,"S",0.011
"136","E",6.6,200,"S",0.007
"137","E",6.6,45,"R",0.142
"138","E",6.6,130,"R",0.031
"139","E",6.6,147,"R",0.006
"140","E",6.6,187,"R",0.01
"141","E",6.6,197,"R",0.01
"142","E",6.6,203,"R",0.006
"143","E",6.6,211,"R",0.013
"144","I",6.6,17,"S",0.374
"145","I",6.6,19.6,"S",0.2
"146","I",6.6,20.2,"S",0.147
"147","I",6.6,21.1,"S",0.188
"148","I",6.6,21.9,"S",0.204
"149","I",6.6,24.2,"S",0.335
"150","I",6.6,66,"S",0.057
"151","I",6.6,87,"S",0.021
"152","I",6.6,23.4,"R",0.152
"153","I",6.6,24.6,"R",0.217
"154","I",6.6,25.7,"R",0.114
"155","I",6.6,28.6,"R",0.15
"156","I",6.6,37.4,"R",0.148
"157","I",6.6,46.7,"R",0.112
"158","I",6.6,56.9,"R",0.043
"159","I",6.6,60.7,"R",0.057
"160","I",6.6,61.4,"R",0.03
"161","I",6.6,62,"R",0.027
"162","I",6.6,64,"R",0.028
"163","I",6.6,82,"R",0.034
"164","I",6.6,88,"R",0.03
"165","I",6.6,91,"R",0.039
"166","A",7,12,"R",0.359
"167","B",7.4,148,"S",0.014
"168","B",7.4,42,"R",0.196
"169","B",7.4,85,"R",0.135
"170","B",7.4,107,"R",0.062
"171","B",7.4,109,"R",0.054
"172","B",7.4,156,"R",0.014
"173","B",7.4,224,"R",0.018
"174","B",7.4,293,"R",0.01
"175","B",7.4,359,"R",0.004
"176","B",7.4,370,"R",0.004
"177","Q",7.6,25.4,"R",0.16
"178","Q",7.6,32.9,"R",0.064
"179","Q",7.6,92.2,"R",0.09
"180","K",7.7,45,"S",0.11
"181","K",7.7,145,"S",0.01
"182","K",7.7,300,"R",0.01
