"","study","year","outlook","expt.mean","expt.sd","expt.n","ctrl.mean","ctrl.sd","ctrl.n"
"1","Kataoka",2004,"published",-1.3,1.7,71,-0.8,1.7,71
"2","Takashima",2004,"published",-1.6,1.9,10,-1.4,1.5,9
"3","Diepvens",2005,"published",-4.21,2.7,23,-4.19,1.3,23
"4","Kajimoto",2005,"published",-0.55,2.1,129,0.6,2,66
"5","Kozuma",2005,"published",-2.7,1.5,107,0.8,0.9,119
"6","Hill",2007,"published",0.08,0.9,19,-0.45,1.2,19
"7","Nagao",2007,"published",-1.7,1.5,123,-0.1,1.7,117
"8","Auvichayapat",2008,"published",-2.7,2.2,30,-2,9.7,30
"9","Hsu",2008,"published",-0.15,2,41,-0.03,1.9,37
"10","Takase",2008,"published",-2.9,1.2,44,0.1,0.7,45
"11","Takeshita",2008,"published",-1.1,1.3,40,-0.3,1.5,41
"12","Maki",2009,"positive",NA,NA,65,NA,NA,63
"13","Suzuki",2009,"no effect",NA,NA,18,NA,NA,20
"14","Wang",2010,"no effect",NA,NA,139,NA,NA,43
