"","s","c","t","g","disp","hp","cb","drat","wt","qmt","mpg","model"
"1",0,6,1,4,160,110,4,3.9,2.62,16.46,21,"MAZDA RX-4"
"2",0,6,1,4,160,110,4,3.9,2.875,17.02,21,"MAZDA RX-4 WAGON"
"3",1,4,1,4,108,93,1,3.85,2.32,18.61,22.8,"DATSUN 710"
"4",1,4,0,3,258,110,1,3.08,3.215,19.44,21.4,"HORNET 4 DRIVE"
"5",0,8,0,3,360,175,2,3.15,3.44,17.02,18.7,"HORNET SPORTABOUT"
"6",1,6,0,3,225,105,1,2.76,3.46,20.22,18.1,"VALIANT"
"7",0,8,0,3,360,245,4,3.21,3.57,15.84,14.3,"DUSTER 360"
"8",1,4,0,4,146.7,62,2,3.69,3.19,20,24.4,"MERCEDES 240D"
"9",1,4,0,4,140.8,95,2,3.92,3.15,22.9,22.8,"MERCEDES 230"
"10",1,6,0,4,167.6,123,4,3.92,3.44,18.3,19.2,"MERCEDES 280"
"11",1,6,0,4,167.6,123,4,3.92,3.44,18.9,17.8,"MERCEDES 280C"
"12",0,8,0,3,275.8,180,3,3.07,4.07,17.4,16.4,"MERCEDES 450SE"
"13",0,8,0,3,275.8,180,3,3.07,3.73,17.6,17.3,"MERCEDES 450SL"
"14",0,8,0,3,275.8,180,3,3.07,3.78,18,15.2,"MERCEDES 450SLC"
"15",0,8,0,3,472,205,4,2.93,5.25,17.98,10.4,"CADILLAC FLEETWOOD"
"16",0,8,0,3,460,215,4,3,5.425,17.82,10.4,"LINCOLN CONTINENTAL"
"17",0,8,0,3,440,230,4,3.23,5.345,17.42,14.7,"IMPERIAL"
"18",1,4,1,4,78.7,66,1,4.08,2.2,19.47,32.4,"FIAT 128"
"19",1,4,1,4,75.7,52,2,4.93,1.615,18.52,30.4,"HONDA CIVIC"
"20",1,4,1,4,71.1,65,1,4.22,1.835,19.9,33.9,"TOYOTA COROLLA"
"21",1,4,0,3,120.1,97,1,3.7,2.465,20.01,21.5,"TOYOTA CORONA"
"22",0,8,0,3,318,150,2,2.76,3.52,16.87,15.5,"DODGE CHALLENGER"
"23",0,8,0,3,304,150,2,3.15,3.435,17.3,15.2,"AMC JAVELIN"
"24",0,8,0,3,350,245,4,3.73,3.84,15.41,13.3,"CHEVROLET CAMARO Z-28"
"25",0,8,0,3,400,175,2,3.08,3.845,17.05,19.2,"PONTIAC FIREBIRD"
"26",1,4,1,4,79,66,1,4.08,1.935,18.9,27.3,"FIAT X1-9"
"27",0,4,1,5,120.3,91,2,4.43,2.14,16.7,26,"PORSCHE 914-2"
"28",1,4,1,5,95.1,113,2,3.77,1.513,16.9,30.4,"LOTUS EUROPA"
"29",0,8,1,5,351,264,4,4.22,3.17,14.5,15.8,"FORD PANTERA L"
"30",0,6,1,5,145,175,6,3.62,2.77,15.5,19.7,"FERRARI DINO 1973"
"31",0,8,1,5,301,335,8,3.54,3.57,14.6,15,"MASERATI BORA"
"32",1,4,1,4,121,109,2,4.11,2.78,18.6,21.4,"VOLVO 142E"
