"","y1","y2","y3","y4","y5","wt6","wt7"
"1",0,0,0,0,0,3,12
"2",0,0,0,0,1,6,19
"3",0,0,0,1,0,2,1
"4",0,0,0,1,1,11,7
"5",0,0,1,0,0,1,3
"6",0,0,1,0,1,1,19
"7",0,0,1,1,0,3,3
"8",0,0,1,1,1,4,17
"9",0,1,0,0,0,1,10
"10",0,1,0,0,1,8,5
"11",0,1,0,1,0,0,3
"12",0,1,0,1,1,16,7
"13",0,1,1,0,0,0,7
"14",0,1,1,0,1,3,23
"15",0,1,1,1,0,2,8
"16",0,1,1,1,1,15,28
"17",1,0,0,0,0,10,7
"18",1,0,0,0,1,29,39
"19",1,0,0,1,0,14,11
"20",1,0,0,1,1,81,34
"21",1,0,1,0,0,3,14
"22",1,0,1,0,1,28,51
"23",1,0,1,1,0,15,15
"24",1,0,1,1,1,80,90
"25",1,1,0,0,0,16,6
"26",1,1,0,0,1,56,25
"27",1,1,0,1,0,21,7
"28",1,1,0,1,1,173,35
"29",1,1,1,0,0,11,18
"30",1,1,1,0,1,61,136
"31",1,1,1,1,0,28,32
"32",1,1,1,1,1,298,308
