"","response","smoke","class","count"
"1","HU","0","I",28
"2","HN","0","I",82
"3","NU","0","I",21
"4","NN","0","I",286
"5","HU","1-19","I",5
"6","HN","1-19","I",24
"7","NU","1-19","I",5
"8","NN","1-19","I",71
"9","HU","0","II",50
"10","HN","0","II",266
"11","NU","0","II",34
"12","NN","0","II",785
"13","HU","1-19","II",13
"14","HN","1-19","II",92
"15","NU","1-19","II",17
"16","NN","1-19","II",284
"17","HU","0","III",278
"18","HN","0","III",1101
"19","NU","0","III",164
"20","NN","0","III",3160
"21","HU","1-19","III",120
"22","HN","1-19","III",492
"23","NU","1-19","III",142
"24","NN","1-19","III",2300
"25","HU","0","IV",63
"26","HN","0","IV",213
"27","NU","0","IV",52
"28","NN","0","IV",656
"29","HU","1-19","IV",35
"30","HN","1-19","IV",129
"31","NU","1-19","IV",46
"32","NN","1-19","IV",649
"33","HU","0","V",20
"34","HN","0","V",78
"35","NU","0","V",23
"36","NN","0","V",245
"37","HU","1-19","V",22
"38","HN","1-19","V",74
"39","NU","1-19","V",34
"40","NN","1-19","V",321
"41","HU","20+","I",1
"42","HN","20+","I",3
"43","NU","20+","I",0
"44","NN","20+","I",13
"45","HU","20+","II",0
"46","HN","20+","II",15
"47","NU","20+","II",3
"48","NN","20+","II",34
"49","HU","20+","III",16
"50","HN","20+","III",92
"51","NU","20+","III",32
"52","NN","20+","III",383
"53","HU","20+","IV",7
"54","HN","20+","IV",40
"55","NU","20+","IV",12
"56","NN","20+","IV",163
"57","HU","20+","V",7
"58","HN","20+","V",14
"59","NU","20+","V",4
"60","NN","20+","V",65
