"","policy","year","sex","count"
"1","A","1","male",175
"2","B","1","male",116
"3","C","1","male",131
"4","D","1","male",17
"5","A","2","male",160
"6","B","2","male",126
"7","C","2","male",135
"8","D","2","male",21
"9","A","3","male",132
"10","B","3","male",120
"11","C","3","male",154
"12","D","3","male",29
"13","A","4","male",145
"14","B","4","male",95
"15","C","4","male",185
"16","D","4","male",44
"17","A","G","male",118
"18","B","G","male",176
"19","C","G","male",345
"20","D","G","male",141
"21","A","1","female",13
"22","B","1","female",19
"23","C","1","female",40
"24","D","1","female",5
"25","A","2","female",5
"26","B","2","female",9
"27","C","2","female",33
"28","D","2","female",3
"29","A","3","female",22
"30","B","3","female",29
"31","C","3","female",110
"32","D","3","female",6
"33","A","4","female",12
"34","B","4","female",21
"35","C","4","female",58
"36","D","4","female",10
"37","A","G","female",19
"38","B","G","female",27
"39","C","G","female",128
"40","D","G","female",13
