"","Redistribution","Inequality","Partisanship","Turnout","Unionization","Veto points","Electoral system","Left fragmentation","Right overrepresentation","Per capita income","Female LF participation","Unemployment"
"Redistribution",1,-0.38,-0.5,0.11,0.75,-0.44,0.34,-0.57,-0.13,0.12,0.8,-0.49
"Inequality",-0.38,1,0.37,-0.38,-0.22,-0.01,-0.54,-0.09,0.66,-0.42,-0.45,0.55
"Partisanship",-0.5,0.37,1,-0.24,-0.49,0.33,-0.66,0.14,0.46,-0.08,-0.28,0.52
"Turnout",0.11,-0.38,-0.24,1,0.51,-0.43,0.71,-0.27,0.1,-0.51,-0.19,0.06
"Unionization",0.75,-0.22,-0.49,0.51,1,-0.56,0.49,-0.76,0.14,-0.18,0.48,-0.2
"Veto points",-0.44,-0.01,0.33,-0.43,-0.56,1,-0.27,0.14,-0.16,0.61,-0.06,0.01
"Electoral system",0.34,-0.54,-0.66,0.71,0.49,-0.27,1,-0.18,-0.24,-0.22,0.17,-0.2
"Left fragmentation",-0.57,-0.09,0.14,-0.27,-0.76,0.14,-0.18,1,-0.48,0.08,-0.37,0.02
"Right overrepresentation",-0.13,0.66,0.46,0.1,0.14,-0.16,-0.24,-0.48,1,-0.64,-0.168,0.63
"Per capita income",0.12,-0.42,-0.08,-0.51,-0.18,0.61,-0.22,0.08,-0.64,1,0.38,-0.41
"Female LF participation",0.8,-0.45,-0.28,-0.19,0.48,-0.06,0.17,-0.37,-0.168,0.38,1,-0.51
"Unemployment",-0.49,0.55,0.52,0.06,-0.2,0.01,-0.2,0.02,0.63,-0.41,-0.51,1
