"","usage","temp"
"1",24.828,73
"2",24.688,67
"3",19.31,57
"4",59.706,43
"5",99.667,26
"6",49.333,41
"7",59.375,38
"8",55.172,46
"9",55.517,54
"10",25.938,60
"11",20.69,71
"12",24.333,75
"13",22.759,74
"14",24.688,66
"15",22.759,61
"16",50.588,49
"17",79,41
"18",87.188,35
"19",47.333,41
"20",38.621,42
"21",27.931,56
"22",25,69
"23",17.241,73
"24",17,77
"25",22.188,74
"26",18.276,66
"27",27.241,56
"28",39.706,47
"29",81.667,38
"30",79.688,34
"31",67.667,37
"32",65.862,39
"33",54.839,51
"34",34.667,60
"35",23.448,70
"36",29.586,73
"37",32.448,71
"38",30.033,66
"39",43.586,54
"40",48.029,45
"41",52.424,36
"42",62.333,34
"43",71.156,32
"44",44.621,39
"45",19.357,55
"46",23.733,64
"47",10.414,72
"48",17.875,79
"49",24.207,75
"50",24.333,65
"51",40.935,54
"52",42.938,48
"53",65.25,35
"54",101.3,24
"55",101.66,32
