"","car.name","Weight","Disp.","Mileage","Fuel","Type"
"1","Eagle Summit 4",2560,97,33,3.030303,"Small"
"2","Ford Escort 4",2345,114,33,3.030303,"Small"
"3","Ford Festiva 4",1845,81,37,2.702703,"Small"
"4","Honda Civic 4",2260,91,32,3.125,"Small"
"5","Mazda Protege 4",2440,113,32,3.125,"Small"
"6","Mercury Tracer 4",2285,97,26,3.846154,"Small"
"7","Nissan Sentra 4",2275,97,33,3.030303,"Small"
"8","Pontiac LeMans 4",2350,98,28,3.571429,"Small"
"9","Subaru Loyale 4",2295,109,25,4,"Small"
"10","Subaru Justy 3",1900,73,34,2.941176,"Small"
"11","Toyota Corolla 4",2390,97,29,3.448276,"Small"
"12","Toyota Tercel 4",2075,89,35,2.857143,"Small"
"13","Volkswagen Jetta 4",2330,109,26,3.846154,"Small"
"14","Chevrolet Camaro V8",3320,305,20,5,"Sporty"
"15","Dodge Daytona",2885,153,27,3.703704,"Sporty"
"16","Ford Mustang V8",3310,302,19,5.263158,"Sporty"
"17","Ford Probe",2695,133,30,3.333333,"Sporty"
"18","Honda Civic CRX Si 4",2170,97,33,3.030303,"Sporty"
"19","Honda Prelude Si 4WS 4",2710,125,27,3.703704,"Sporty"
"20","Nissan 240SX 4",2775,146,24,4.166667,"Sporty"
"21","Plymouth Laser",2840,107,26,3.846154,"Sporty"
"22","Subaru XT 4",2485,109,28,3.571429,"Sporty"
"23","Audi 80 4",2670,121,27,3.703704,"Compact"
"24","Buick Skylark 4",2640,151,23,4.347826,"Compact"
"25","Chevrolet Beretta 4",2655,133,26,3.846154,"Compact"
"26","Chrysler Le Baron V6",3065,181,25,4,"Compact"
"27","Ford Tempo 4",2750,141,24,4.166667,"Compact"
"28","Honda Accord 4",2920,132,26,3.846154,"Compact"
"29","Mazda 626 4",2780,133,24,4.166667,"Compact"
"30","Mitsubishi Galant 4",2745,122,25,4,"Compact"
"31","Mitsubishi Sigma V6",3110,181,21,4.761905,"Compact"
"32","Nissan Stanza 4",2920,146,21,4.761905,"Compact"
"33","Oldsmobile Calais 4",2645,151,23,4.347826,"Compact"
"34","Peugeot 405 4",2575,116,24,4.166667,"Compact"
"35","Subaru Legacy 4",2935,135,23,4.347826,"Compact"
"36","Toyota Camry 4",2920,122,27,3.703704,"Compact"
"37","Volvo 240 4",2985,141,23,4.347826,"Compact"
"38","Acura Legend V6",3265,163,20,5,"Medium"
"39","Buick Century 4",2880,151,21,4.761905,"Medium"
"40","Chrysler Le Baron Coupe",2975,153,22,4.545455,"Medium"
"41","Chrysler New Yorker V6",3450,202,22,4.545455,"Medium"
"42","Eagle Premier V6",3145,180,22,4.545455,"Medium"
"43","Ford Taurus V6",3190,182,22,4.545455,"Medium"
"44","Ford Thunderbird V6",3610,232,23,4.347826,"Medium"
"45","Hyundai Sonata 4",2885,143,23,4.347826,"Medium"
"46","Mazda 929 V6",3480,180,21,4.761905,"Medium"
"47","Nissan Maxima V6",3200,180,22,4.545455,"Medium"
"48","Oldsmobile Cutlass Ciera 4",2765,151,21,4.761905,"Medium"
"49","Oldsmobile Cutlass Supreme V6",3220,189,21,4.761905,"Medium"
"50","Toyota Cressida 6",3480,180,23,4.347826,"Medium"
"51","Buick Le Sabre V6",3325,231,23,4.347826,"Large"
"52","Chevrolet Caprice V8",3855,305,18,5.555556,"Large"
"53","Ford LTD Crown Victoria V8",3850,302,20,5,"Large"
"54","Chevrolet Lumina APV V6",3195,151,18,5.555556,"Van"
"55","Dodge Grand Caravan V6",3735,202,18,5.555556,"Van"
"56","Ford Aerostar V6",3665,182,18,5.555556,"Van"
"57","Mazda MPV V6",3735,181,19,5.263158,"Van"
"58","Mitsubishi Wagon 4",3415,143,20,5,"Van"
"59","Nissan Axxess 4",3185,146,20,5,"Van"
"60","Nissan Van 4",3690,146,19,5.263158,"Van"
