"","UTM.North","UTM.East","mercury.concentration"
"1",4518.9,498.9,179.9
"2",4518.7,500.2,194
"3",4518.7,500.2,140.7
"4",4519.3,497.7,137.3
"5",4517.1,498.8,183.8
"6",4517.6,500.2,148.6
"7",4517.6,500.2,191.3
"8",4518.3,500.6,96.2
"9",4520.5,499,131.3
"10",4520.5,499,95.6
"11",4517.9,496.9,87.1
"12",4517.9,496.9,72.7
"13",4518.9,501.8,107.4
"14",4518.9,501.8,133.9
"15",4517.2,501.7,81.5
"16",4521.9,498.2,84.1
"17",4520.1,495.5,107
"18",4520.8,502.3,103.5
"19",4520.8,502.3,123.2
"20",4517.1,494.8,113.6
"21",4519.9,503.8,114
"22",4519.9,503.8,108.6
