"","year","observed","voc","grpsize"
"37",2005,1,20,4
"38",2005,1,85,2
"39",2005,0,80,1
"40",2005,0,75,1
"41",2005,0,70,1
"42",2005,0,85,1
"43",2005,1,20,1
"44",2005,1,10,2
"45",2005,1,10,2
"46",2005,1,70,2
"47",2005,0,20,2
"48",2006,1,30,3
"49",2006,1,20,2
"50",2006,1,20,4
"51",2006,1,20,1
"52",2006,0,85,1
"53",2006,1,10,1
"54",2006,0,90,1
"55",2006,0,60,1
"56",2006,1,40,2
"57",2007,0,80,1
"58",2007,1,15,1
"59",2007,0,90,1
"60",2007,0,50,1
"61",2007,0,95,1
"62",2007,0,95,1
"63",2007,1,0,1
"64",2007,0,80,1
"65",2007,0,90,1
"66",2007,1,30,1
"67",2007,1,20,3
"68",2007,1,30,3
"69",2007,1,35,3
"70",2007,0,40,1
"71",2007,1,50,3
"72",2007,0,80,5
"73",2007,1,10,4
"74",2007,0,80,3
"75",2005,1,80,2
"76",2006,0,80,2
"77",2006,0,85,1
"78",2005,0,90,2
"79",2005,1,80,1
"80",2005,1,75,1
"81",2005,0,90,2
"82",2005,0,30,4
"83",2005,1,0,7
"84",2005,1,30,5
"85",2005,0,30,3
"86",2005,1,65,1
"87",2006,0,40,1
"88",2006,1,50,1
"89",2006,0,60,2
"90",2006,1,40,3
"91",2006,0,85,1
"92",2006,1,20,3
"93",2006,0,30,2
"94",2006,0,40,2
"95",2006,0,90,1
"96",2006,1,50,1
"97",2006,1,40,3
"98",2006,1,30,1
"99",2006,1,50,5
"100",2006,1,10,1
"101",2006,0,60,1
"102",2006,0,80,2
"103",2007,0,20,3
"104",2007,0,95,1
"105",2007,1,10,1
"106",2007,0,30,1
"107",2007,0,20,1
"108",2007,0,40,1
"109",2007,1,75,1
"110",2007,0,85,3
"111",2007,1,5,1
"112",2007,1,20,4
"113",2007,0,20,1
"114",2007,0,75,1
"115",2007,0,85,2
"116",2005,0,90,2
"117",2006,1,55,2
"118",2005,1,70,2
"119",2005,0,75,2
"120",2005,0,60,2
"121",2005,1,90,2
"122",2005,0,90,3
"123",2005,1,85,2
"124",2005,1,50,2
"125",2005,1,50,2
"126",2005,0,50,2
"127",2005,0,50,3
"128",2005,1,5,2
"129",2005,1,70,2
"130",2005,1,10,3
"131",2005,0,50,2
"132",2005,1,40,2
"133",2005,0,70,2
"134",2005,1,60,2
"135",2006,0,80,3
"136",2006,0,10,2
"137",2006,0,50,2
"138",2006,1,95,2
"139",2006,1,60,3
"140",2006,1,60,3
"141",2006,0,40,3
"142",2006,0,60,2
"143",2006,1,95,2
"144",2007,0,65,2
"145",2007,0,70,2
"146",2007,1,40,2
"147",2007,1,10,2
"148",2007,0,75,2
"149",2007,1,50,2
"150",2007,0,60,2
"151",2007,0,70,2
"152",2007,0,95,3
"153",2007,0,60,2
"154",2007,1,75,2
"155",2007,1,10,2
"156",2007,0,40,2
"157",2007,0,90,2
"158",2007,0,60,2
"159",2007,0,60,2
"160",2007,1,65,2
