"","start","ad.O3","ad.NOx","ad.NO","ad.WS","ad.WD","ad.T","ad.Td","sz.O3","sz.NOx","sz.NO","sz.WS","sz.WD","sz.T","sz.Td","lu.O3","lu.NOx","lu.NO","lu.WS","lu.WD","lu.T","lu.Td"
"1","01.01.2004 00:00",1,19.7,6.3,0.46,46,0.1,-0.941,1.2,21.5,6.3,0.11,63,0.9,-1.158,16.4,7.2,0.7,2.42,5,0.2,-1.752
"2","01.01.2004 00:30",1.1,21.9,9,0.1,179,-0.5,-1.172,1.4,27.5,12.8,0.2,278,0.6,-1.453,16.3,6.6,0.4,2.4,352,0.2,-1.894
"3","01.01.2004 01:00",1.2,21.2,9.2,0.5,159,-0.7,-1.357,1.8,25.7,12.2,0.08,88,0.5,-1.536,16.1,6.7,0.6,1.84,2,0,-1.887
"4","01.01.2004 01:30",1.2,20.4,8.4,1.7,158,-0.5,-1.844,1.4,23.7,9.6,0.12,11,0.6,-1.692,15.9,7,0.6,1.49,19,-0.1,-2.076
"5","01.01.2004 02:00",4.4,11.9,1.6,3.47,166,-0.1,-2.879,1.6,18.5,4.7,0.53,279,0.3,-1.827,15.8,7.3,0.6,1.7,356,0,-2.106
"6","01.01.2004 02:30",4.7,12.3,1.5,2.45,140,-0.2,-2.927,1.9,17.8,4.4,0.17,333,0.1,-1.96,15.3,7.7,0.8,1.97,333,0,-2.137
"7","01.01.2004 03:00",6.7,10.1,1.2,0.6,55,-0.6,-3.45,6,11.9,2.6,0.79,305,0.6,-1.692,11.2,11,1.1,1.23,324,-0.1,-2.03
"8","01.01.2004 03:30",4.9,12,2,0.67,140,-0.6,-2.947,7.6,11.9,2.4,0.58,112,0.8,-1.608,13.1,8.8,0.2,1.14,313,0,-2.296
"9","01.01.2004 04:00",6,10.7,1.6,2.97,190,-0.1,-2.699,8.1,13.7,3,0.3,15,0.9,-1.494,13.7,8.4,0.3,1.3,94,-0.1,-2.171
"10","01.01.2004 04:30",6.3,10,1.1,1.84,144,-0.1,-2.945,10.1,12.3,2.6,0.13,112,1,-1.657,15.1,7.7,0.4,1.9,63,-0.3,-2.289
"11","01.01.2004 05:00",5.7,10.5,1.2,3.19,134,-0.1,-2.505,8.4,11,1.3,0.55,282,0.8,-1.544,15.5,7,0.3,2.01,34,-0.4,-2.403
"12","01.01.2004 05:30",8.1,9.4,1.2,2.75,122,0.5,-3.199,8.2,11.7,2,0.62,321,0.8,-1.625,16.6,6.5,0.3,1.68,47,-0.7,-2.466
"13","01.01.2004 06:00",3.9,9.3,1.2,1.96,116,0.2,-2.888,11.8,11.8,3.1,1.12,341,0.7,-1.723,16.7,5.5,0.2,1.11,33,-0.8,-2.611
"14","01.01.2004 06:30",4.4,12.1,2.1,0.22,307,-0.2,-2.379,13.4,9.2,1.9,1.13,310,0.6,-1.804,15.3,6.5,0.6,1.65,29,-0.7,-2.651
"15","01.01.2004 07:00",2.9,14.5,3.7,0.47,178,-0.2,-2.191,13.4,9.7,2,0.94,351,0.5,-1.951,16.5,6.5,0.6,1.35,23,-0.9,-2.848
"16","01.01.2004 07:30",2,16.9,4.2,1.12,148,-0.2,-2.128,13.7,9.4,1.8,1.03,326,0.4,-1.952,14.9,6.8,0.3,1.15,2,-0.9,-2.755
"17","01.01.2004 08:00",3.9,14,2.7,1.1,142,-0.1,-2.601,13.7,9.9,2.4,1.23,328,0.5,-1.902,13.9,7.9,0.7,0.66,75,-1,-2.64
