"","time","beersales"
"1",1975,11.1179
"2",1975.08333333333,9.8413
"3",1975.16666666667,11.5732
"4",1975.25,13.0097
"5",1975.33333333333,13.4182
"6",1975.41666666667,14.4418
"7",1975.5,14.7534
"8",1975.58333333333,13.8816
"9",1975.66666666667,12.5123
"10",1975.75,11.8983
"11",1975.83333333333,10.6088
"12",1975.91666666667,11.5874
"13",1976,10.8633
"14",1976.08333333333,11
"15",1976.16666666667,10.9934
"16",1976.25,12.914
"17",1976.33333333333,13.5853
"18",1976.41666666667,14.1553
"19",1976.5,15.0056
"20",1976.58333333333,14.859
"21",1976.66666666667,13.4387
"22",1976.75,12.2184
"23",1976.83333333333,10.5208
"24",1976.91666666667,10.8335
"25",1977,10.0067
"26",1977.08333333333,10.4321
"27",1977.16666666667,14.5477
"28",1977.25,14.2748
"29",1977.33333333333,14.9986
"30",1977.41666666667,15.71
"31",1977.5,14.798
"32",1977.58333333333,14.6431
"33",1977.66666666667,12.8878
"34",1977.75,11.6235
"35",1977.83333333333,11.4853
"36",1977.91666666667,11.5065
"37",1978,10.6897
"38",1978.08333333333,11.0093
"39",1978.16666666667,14.7983
"40",1978.25,13.5984
"41",1978.33333333333,14.9606
"42",1978.41666666667,15.8187
"43",1978.5,15.2871
"44",1978.58333333333,16.2773
"45",1978.66666666667,13.937
"46",1978.75,13.327
"47",1978.83333333333,12.0353
"48",1978.91666666667,11.567
"49",1979,12.3244
"50",1979.08333333333,12.0133
"51",1979.16666666667,15.0094
"52",1979.25,14.9562
"53",1979.33333333333,15.9268
"54",1979.41666666667,15.5702
"55",1979.5,15.1282
"56",1979.58333333333,15.5625
"57",1979.66666666667,13.7112
"58",1979.75,13.6425
"59",1979.83333333333,12.5158
"60",1979.91666666667,11.7629
"61",1980,12.5357
"62",1980.08333333333,12.6446
"63",1980.16666666667,14.0848
"64",1980.25,14.3271
"65",1980.33333333333,16.1862
"66",1980.41666666667,16.6604
"67",1980.5,17.081
"68",1980.58333333333,16.2811
"69",1980.66666666667,14.5118
"70",1980.75,14.1594
"71",1980.83333333333,12.512
"72",1980.91666666667,12.383
"73",1981,12.0798
"74",1981.08333333333,12.4126
"75",1981.16666666667,15.0092
"76",1981.25,15.4733
"77",1981.33333333333,16.9966
"78",1981.41666666667,17.2933
"79",1981.5,17.3701
"80",1981.58333333333,16.2422
"81",1981.66666666667,14.6808
"82",1981.75,13.8444
"83",1981.83333333333,12.3871
"84",1981.91666666667,12.9072
"85",1982,11.9036
"86",1982.08333333333,12.9126
"87",1982.16666666667,15.6815
"88",1982.25,15.8119
"89",1982.33333333333,16.5611
"90",1982.41666666667,17.2255
"91",1982.5,16.1033
"92",1982.58333333333,16.259
"93",1982.66666666667,14.8834
"94",1982.75,13.8291
"95",1982.83333333333,13.1376
"96",1982.91666666667,12.2662
"97",1983,12.5696
"98",1983.08333333333,12.6644
"99",1983.16666666667,15.0723
"100",1983.25,15.5742
"101",1983.33333333333,16.8397
"102",1983.41666666667,17.0121
"103",1983.5,16.8476
"104",1983.58333333333,17.3471
"105",1983.66666666667,14.8442
"106",1983.75,13.8536
"107",1983.83333333333,12.7904
"108",1983.91666666667,11.9797
"109",1984,12.4214
"110",1984.08333333333,12.5443
"111",1984.16666666667,15.3242
"112",1984.25,15.0629
"113",1984.33333333333,16.8656
"114",1984.41666666667,17.23
"115",1984.5,17.3288
"116",1984.58333333333,16.9654
"117",1984.66666666667,13.6582
"118",1984.75,14.2932
"119",1984.83333333333,12.4037
"120",1984.91666666667,11.3818
"121",1985,13.5114
"122",1985.08333333333,12.7501
"123",1985.16666666667,14.4642
"124",1985.25,15.8558
"125",1985.33333333333,17.6043
"126",1985.41666666667,16.1731
"127",1985.5,16.6319
"128",1985.58333333333,16.0352
"129",1985.66666666667,13.5914
"130",1985.75,14.0102
"131",1985.83333333333,12.3939
"132",1985.91666666667,12.1101
"133",1986,13.9861
"134",1986.08333333333,13.012
"135",1986.16666666667,14.6625
"136",1986.25,16.0165
"137",1986.33333333333,17.1046
"138",1986.41666666667,16.5952
"139",1986.5,17.0626
"140",1986.58333333333,16.3092
