"","time","co2"
"1",1994,363.05
"2",1994.08333333333,364.18
"3",1994.16666666667,364.87
"4",1994.25,364.47
"5",1994.33333333333,364.32
"6",1994.41666666667,362.13
"7",1994.5,356.72
"8",1994.58333333333,350.88
"9",1994.66666666667,350.69
"10",1994.75,356.06
"11",1994.83333333333,360.09
"12",1994.91666666667,363.27
"13",1995,363.49
"14",1995.08333333333,364.94
"15",1995.16666666667,366.72
"16",1995.25,366.33
"17",1995.33333333333,365.75
"18",1995.41666666667,364.32
"19",1995.5,358.59
"20",1995.58333333333,352.06
"21",1995.66666666667,353.45
"22",1995.75,357.27
"23",1995.83333333333,362.34
"24",1995.91666666667,365.65
"25",1996,366.93
"26",1996.08333333333,366.71
"27",1996.16666666667,367.63
"28",1996.25,368.15
"29",1996.33333333333,369.14
"30",1996.41666666667,367.33
"31",1996.5,361.53
"32",1996.58333333333,356.11
"33",1996.66666666667,354.51
"34",1996.75,360.12
"35",1996.83333333333,363.85
"36",1996.91666666667,365.52
"37",1997,367.72
"38",1997.08333333333,369.08
"39",1997.16666666667,368.17
"40",1997.25,368.83
"41",1997.33333333333,369.49
"42",1997.41666666667,367.57
"43",1997.5,360.79
"44",1997.58333333333,355.16
"45",1997.66666666667,356.01
"46",1997.75,360.71
"47",1997.83333333333,364.77
"48",1997.91666666667,367.81
"49",1998,369.4
"50",1998.08333333333,370.12
"51",1998.16666666667,370.88
"52",1998.25,370.53
"53",1998.33333333333,371.56
"54",1998.41666666667,369.28
"55",1998.5,364.5
"56",1998.58333333333,357.46
"57",1998.66666666667,360.54
"58",1998.75,364.04
"59",1998.83333333333,368.74
"60",1998.91666666667,371.58
"61",1999,372.6
"62",1999.08333333333,373.85
"63",1999.16666666667,373.75
"64",1999.25,374.1
"65",1999.33333333333,374.5
"66",1999.41666666667,372.04
"67",1999.5,364.81
"68",1999.58333333334,359.11
"69",1999.66666666667,359.65
"70",1999.75,364.94
"71",1999.83333333334,369.82
"72",1999.91666666667,372.62
"73",2000,373.23
"74",2000.08333333334,375.13
"75",2000.16666666667,374.83
"76",2000.25,375.42
"77",2000.33333333334,376.18
"78",2000.41666666667,374.01
"79",2000.5,366.54
"80",2000.58333333334,360.78
"81",2000.66666666667,361.77
"82",2000.75,367.51
"83",2000.83333333334,370.58
"84",2000.91666666667,373.37
"85",2001,375.49
"86",2001.08333333334,375.94
"87",2001.16666666667,376.42
"88",2001.25,377.48
"89",2001.33333333334,377.67
"90",2001.41666666667,374.78
"91",2001.5,367.38
"92",2001.58333333334,361.67
"93",2001.66666666667,363.39
"94",2001.75,367.74
"95",2001.83333333334,373.18
"96",2001.91666666667,374.41
"97",2002,376.68
"98",2002.08333333334,377.42
"99",2002.16666666667,378.27
"100",2002.25,378.73
"101",2002.33333333334,379.01
"102",2002.41666666667,375.95
"103",2002.5,370.78
"104",2002.58333333334,364.07
"105",2002.66666666667,365.36
"106",2002.75,370.25
"107",2002.83333333334,374.04
"108",2002.91666666667,377.99
"109",2003,379.03
"110",2003.08333333334,379.36
"111",2003.16666666667,380.9
"112",2003.25,381.39
"113",2003.33333333334,382.38
"114",2003.41666666667,381.02
"115",2003.5,373.78
"116",2003.58333333334,367.97
"117",2003.66666666667,368.55
"118",2003.75,372.28
"119",2003.83333333334,377.75
"120",2003.91666666667,379.99
"121",2004,382.44
"122",2004.08333333334,382.36
"123",2004.16666666667,381.58
"124",2004.25,383.21
"125",2004.33333333334,383.58
"126",2004.41666666667,382.59
"127",2004.5,374.58
"128",2004.58333333334,368.69
"129",2004.66666666667,368.55
"130",2004.75,373.39
"131",2004.83333333334,378.49
"132",2004.91666666667,381.62
