"","time","cref.bond"
"1",1,73.419
"2",2,73.3949
"3",3,73.5505
"4",4,73.7492
"5",5,73.7792
"6",6,73.5928
"7",7,73.2868
"8",8,73.4805
"9",9,73.7561
"10",10,73.6604
"11",11,73.7177
"12",12,73.8145
"13",13,73.9017
"14",14,73.8044
"15",15,74.1
"16",16,73.91
"17",17,74.1368
"18",18,74.1876
"19",19,74.3199
"20",20,74.1902
"21",21,74.1597
"22",22,74.2818
"23",23,74.2456
"24",24,74.0299
"25",25,73.9785
"26",26,73.7913
"27",27,73.872
"28",28,73.8957
"29",29,73.7434
"30",30,73.6865
"31",31,74.0591
"32",32,74.0857
"33",33,74.1976
"34",34,74.281
"35",35,74.4579
"36",36,74.3323
"37",37,74.3633
"38",38,74.3896
"39",39,74.5318
"40",40,74.5221
"41",41,74.5734
"42",42,74.6337
"43",43,74.6
"44",44,74.3482
"45",45,74.3982
"46",46,74.5692
"47",47,74.5868
"48",48,74.4315
"49",49,74.4883
"50",50,74.546
"51",51,74.5621
"52",52,74.212
"53",53,74.1573
"54",54,74.1544
"55",55,74.0547
"56",56,74.0589
"57",57,74.2379
"58",58,74.275
"59",59,74.2338
"60",60,74.4459
"61",61,74.5355
"62",62,74.3187
"63",63,74.4482
"64",64,74.4261
"65",65,74.3919
"66",66,74.2898
"67",67,74.0631
"68",68,74.0239
"69",69,73.9956
"70",70,73.9113
"71",71,74.3197
"72",72,74.459
"73",73,74.4986
"74",74,74.7778
"75",75,74.6752
"76",76,74.6958
"77",77,74.7252
"78",78,74.7767
"79",79,74.9431
"80",80,74.634
"81",81,74.5742
"82",82,74.6148
"83",83,74.7125
"84",84,74.6564
"85",85,74.6201
"86",86,74.4439
"87",87,74.4432
"88",88,74.3683
"89",89,74.5522
"90",90,74.7008
"91",91,74.7288
"92",92,74.5157
"93",93,74.5331
"94",94,74.5653
"95",95,74.5378
"96",96,74.5737
"97",97,74.6855
"98",98,74.7525
"99",99,74.9122
"100",100,74.8175
"101",101,74.8925
"102",102,74.934
"103",103,75.0073
"104",104,75.1078
"105",105,75.1774
"106",106,75.0168
"107",107,75.0007
"108",108,74.9716
"109",109,75.1512
"110",110,75.1854
"111",111,75.1837
"112",112,75.1952
"113",113,75.1473
"114",114,75.4128
"115",115,75.5224
"116",116,75.5616
"117",117,75.7365
"118",118,75.4851
"119",119,75.3993
"120",120,75.4783
"121",121,75.4189
"122",122,75.2776
"123",123,75.2364
"124",124,75.0126
"125",125,74.9678
"126",126,75.0215
"127",127,74.9799
"128",128,75.0032
"129",129,74.7466
"130",130,74.6995
"131",131,74.704
"132",132,74.6966
"133",133,74.9485
"134",134,75.0156
"135",135,74.8037
"136",136,74.3877
"137",137,74.5249
"138",138,74.2865
"139",139,74.3497
"140",140,74.278
"141",141,74.3128
"142",142,74.4329
"143",143,74.3383
"144",144,74.268
"145",145,73.9706
"146",146,73.9075
"147",147,73.9711
"148",148,73.8908
"149",149,73.9786
"150",150,74.0978
"151",151,74.2927
"152",152,74.4406
"153",153,74.4418
"154",154,74.3799
"155",155,74.491
"156",156,74.3946
"157",157,74.3286
"158",158,74.4344
"159",159,74.7071
"160",160,74.7038
"161",161,74.7256
"162",162,74.9109
"163",163,74.9976
"164",164,75.1982
"165",165,75.2002
"166",166,74.9662
"167",167,75.1164
"168",168,75.1407
"169",169,75.1033
"170",170,75.1817
"171",171,75.3727
"172",172,75.2516
"173",173,75.3083
"174",174,75.2821
"175",175,75.3633
"176",176,75.4552
"177",177,75.1096
"178",178,75.1075
"179",179,75.2736
"180",180,75.2965
"181",181,75.3753
"182",182,75.464
"183",183,75.4753
"184",184,75.5021
"185",185,75.6439
"186",186,75.5584
"187",187,75.5278
"188",188,75.7329
"189",189,75.8282
"190",190,75.7704
"191",191,75.7725
"192",192,75.8209
"193",193,76.0923
"194",194,76.4118
"195",195,76.4411
"196",196,76.2263
"197",197,76.2763
