"","time","deere1"
"1",1,3
"2",2,0
"3",3,-1
"4",4,-4
"5",5,7
"6",6,3
"7",7,7
"8",8,3
"9",9,3
"10",10,-1
"11",11,-1
"12",12,5
"13",13,-4
"14",14,1
"15",15,-3
"16",16,2
"17",17,-3
"18",18,1
"19",19,-2
"20",20,-3
"21",21,-4
"22",22,-2
"23",23,3
"24",24,3
"25",25,3
"26",26,3
"27",27,30
"28",28,2
"29",29,7
"30",30,-7
"31",31,3
"32",32,2
"33",33,3
"34",34,0
"35",35,3
"36",36,0
"37",37,3
"38",38,-1
"39",39,3
"40",40,3
"41",41,3
"42",42,2
"43",43,3
"44",44,3
"45",45,-1
"46",46,3
"47",47,3
"48",48,2
"49",49,3
"50",50,2
"51",51,3
"52",52,8
"53",53,0
"54",54,-1
"55",55,0
"56",56,0
"57",57,1
"58",58,2
"59",59,2
"60",60,0
"61",61,8
"62",62,0
"63",63,1
"64",64,-2
"65",65,-3
"66",66,4
"67",67,0
"68",68,4
"69",69,-1
"70",70,-1
"71",71,1
"72",72,-7
"73",73,3
"74",74,1
"75",75,3
"76",76,1
"77",77,0
"78",78,-1
"79",79,-4
"80",80,-1
"81",81,-1
"82",82,3
