"","time","flow"
"1",1958.66666666667,1672
"2",1958.75,1759
"3",1958.83333333334,1008
"4",1958.91666666667,830
"5",1959,3816
"6",1959.08333333334,19060
"7",1959.16666666667,17760
"8",1959.25,9905
"9",1959.33333333334,8168
"10",1959.41666666667,7708
"11",1959.5,2879
"12",1959.58333333334,2807
"13",1959.66666666667,4887
"14",1959.75,6079
"15",1959.83333333334,5215
"16",1959.91666666667,13600
"17",1960,5274
"18",1960.08333333334,5353
"19",1960.16666666667,32700
"20",1960.25,22470
"21",1960.33333333334,15200
"22",1960.41666666667,7363
"23",1960.5,4054
"24",1960.58333333334,2683
"25",1960.66666666667,2723
"26",1960.75,4564
"27",1960.83333333334,2139
"28",1960.91666666667,1731
"29",1961,5468
"30",1961.08333333334,21220
"31",1961.16666666667,20770
"32",1961.25,6196
"33",1961.33333333334,5917
"34",1961.41666666667,3306
"35",1961.5,4778
"36",1961.58333333334,5210
"37",1961.66666666667,7341
"38",1961.75,16060
"39",1961.83333333334,7656
"40",1961.91666666667,4355
"41",1962,3932
"42",1962.08333333334,19220
"43",1962.16666666667,30600
"44",1962.25,14280
"45",1962.33333333334,11060
"46",1962.41666666667,11120
"47",1962.5,6729
"48",1962.58333333334,7515
"49",1962.66666666667,6200
"50",1962.75,3521
"51",1962.83333333334,2361
"52",1962.91666666667,1918
"53",1963,2380
"54",1963.08333333334,13900
"55",1963.16666666667,6319
"56",1963.25,9571
"57",1963.33333333334,4833
"58",1963.41666666667,6387
"59",1963.5,3526
"60",1963.58333333334,2095
"61",1963.66666666667,1325
"62",1963.75,1362
"63",1963.83333333334,1095
"64",1963.91666666667,1302
"65",1964,2099
"66",1964.08333333334,2284
"67",1964.16666666667,4102
"68",1964.25,5287
"69",1964.33333333334,4791
"70",1964.41666666667,3347
"71",1964.5,1561
"72",1964.58333333334,2719
"73",1964.66666666667,1486
"74",1964.75,1489
"75",1964.83333333334,1482
"76",1964.91666666667,4456
"77",1965,7014
"78",1965.08333333334,12010
"79",1965.16666666667,37970
"80",1965.25,11440
"81",1965.33333333334,11760
"82",1965.41666666667,8545
"83",1965.5,3183
"84",1965.58333333334,18810
"85",1965.66666666667,15300
"86",1965.75,9101
"87",1965.83333333334,9907
"88",1965.91666666667,5813
"89",1966,10450
"90",1966.08333333334,9919
"91",1966.16666666667,11380
"92",1966.25,13770
"93",1966.33333333334,16480
"94",1966.41666666667,12600
"95",1966.5,4579
"96",1966.58333333334,2320
"97",1966.66666666667,1978
"98",1966.75,1713
"99",1966.83333333334,1584
"100",1966.91666666667,2309
"101",1967,3111
"102",1967.08333333334,4956
"103",1967.16666666667,7455
"104",1967.25,3955
"105",1967.33333333334,12740
"106",1967.41666666667,5107
"107",1967.5,3632
"108",1967.58333333334,2456
"109",1967.66666666667,3270
"110",1967.75,5211
"111",1967.83333333334,2797
"112",1967.91666666667,2516
"113",1968,2220
"114",1968.08333333334,2488
"115",1968.16666666667,4494
"116",1968.25,4239
"117",1968.33333333334,3681
"118",1968.41666666667,8457
"119",1968.5,10630
"120",1968.58333333334,4254
"121",1968.66666666667,6535
"122",1968.75,4304
"123",1968.83333333334,3144
"124",1968.91666666667,4521
"125",1969,5536
"126",1969.08333333334,14920
"127",1969.16666666667,22820
"128",1969.25,12890
"129",1969.33333333334,14720
"130",1969.41666666667,46810
"131",1969.5,13740
"132",1969.58333333334,6908
"133",1969.66666666667,3732
"134",1969.75,3461
"135",1969.83333333334,2566
"136",1969.91666666667,2324
"137",1970,4630
"138",1970.08333333334,11960
"139",1970.16666666667,8308
"140",1970.25,11940
"141",1970.33333333334,12780
"142",1970.41666666667,4273
"143",1970.5,5500
"144",1970.58333333334,7612
"145",1970.66666666667,8020
"146",1970.75,7940
"147",1970.83333333333,6473
"148",1970.91666666667,4255
"149",1971,11360
"150",1971.08333333333,23350
"151",1971.16666666667,14780
"152",1971.25,6725
"153",1971.33333333333,8872
"154",1971.41666666667,7180
"155",1971.5,2309
"156",1971.58333333333,1625
"157",1971.66666666667,1470
"158",1971.75,2761
"159",1971.83333333333,5468
"160",1971.91666666667,2683
"161",1972,2731
"162",1972.08333333333,10940
"163",1972.16666666667,9610
"164",1972.25,12770
"165",1972.33333333333,9430
"166",1972.41666666667,10240
"167",1972.5,11950
"168",1972.58333333333,6558
"169",1972.66666666667,11390
"170",1972.75,15460
"171",1972.83333333333,8586
"172",1972.91666666667,20420
"173",1973,16990
"174",1973.08333333333,24940
"175",1973.16666666667,33480
"176",1973.25,31360
"177",1973.33333333333,20870
"178",1973.41666666667,11330
"179",1973.5,5276
"180",1973.58333333333,4650
"181",1973.66666666667,10520
"182",1973.75,6280
"183",1973.83333333333,9124
"184",1973.91666666667,9158
"185",1974,9294
"186",1974.08333333333,18170
"187",1974.16666666667,15450
"188",1974.25,26420
"189",1974.33333333333,33660
"190",1974.41666666667,13860
"191",1974.5,9522
"192",1974.58333333333,4400
"193",1974.66666666667,3444
"194",1974.75,5511
"195",1974.83333333333,5665
"196",1974.91666666667,4920
"197",1975,3650
"198",1975.08333333333,15510
"199",1975.16666666667,22040
"200",1975.25,13300
"201",1975.33333333333,11890
"202",1975.41666666667,8036
"203",1975.5,3046
"204",1975.58333333333,2436
"205",1975.66666666667,1431
"206",1975.75,1746
"207",1975.83333333333,3151
"208",1975.91666666667,1426
"209",1976,2812
"210",1976.08333333333,9733
"211",1976.16666666667,13200
"212",1976.25,12100
"213",1976.33333333333,7316
"214",1976.41666666667,3000
"215",1976.5,1735
"216",1976.58333333333,997.7
"217",1976.66666666667,967.9
"218",1976.75,942.4
"219",1976.83333333333,760.6
"220",1976.91666666667,532.6
"221",1977,661.1
"222",1977.08333333333,2273
"223",1977.16666666667,2536
"224",1977.25,1709
"225",1977.33333333333,1022
"226",1977.41666666667,1479
"227",1977.5,6162
"228",1977.58333333333,7594
"229",1977.66666666667,8646
"230",1977.75,7320
"231",1977.83333333333,5133
"232",1977.91666666667,3365
"233",1978,2544
"234",1978.08333333333,11350
"235",1978.16666666667,16140
"236",1978.25,11480
"237",1978.33333333333,10930
"238",1978.41666666667,16730
"239",1978.5,5951
"240",1978.58333333333,6943
"241",1978.66666666667,5923
"242",1978.75,6110
"243",1978.83333333333,4805
"244",1978.91666666667,2963
"245",1979,2932
"246",1979.08333333333,25830
"247",1979.16666666667,33810
"248",1979.25,16460
"249",1979.33333333333,9225
"250",1979.41666666667,8532
"251",1979.5,14050
"252",1979.58333333333,13930
"253",1979.66666666667,5140
"254",1979.75,8103
"255",1979.83333333333,5756
"256",1979.91666666667,5451
"257",1980,5669
"258",1980.08333333333,9577
"259",1980.16666666667,8213
"260",1980.25,3761
"261",1980.33333333333,13330
"262",1980.41666666667,5075
