"","time","prey.eq"
"1",7,26.87
"2",7.5,53.24
"3",8,65.59
"4",8.5,81.23
"5",9,143.9
"6",9.5,237.9
"7",10,276.6
"8",10.5,222.2
"9",11,137.2
"10",11.5,46.45
"11",12,27.46
"12",12.5,41.46
"13",13,44.73
"14",13.5,88.42
"15",14,105.7
"16",14.5,155.2
"17",15,205.5
"18",15.5,312.7
"19",16,213.7
"20",16.5,163.4
"21",17,85.78
"22",17.5,48.64
"23",18,44.49
"24",18.5,63.44
"25",19,71.66
"26",19.5,127.7
"27",20,206.9
"28",20.5,309.9
"29",21,156.5
"30",21.5,63.3
"31",22,77.29
"32",22.5,45.11
"33",23,57.45
"34",23.5,69.8
"35",24,121.7
"36",24.5,185.2
"37",25,175.3
"38",25.5,139
"39",26,77.11
"40",26.5,57.29
"41",27,54.79
"42",27.5,75.38
"43",28,87.73
"44",28.5,136.4
"45",29,290.6
"46",29.5,345.8
"47",30,271.6
"48",30.5,156.1
"49",31,71.1
"50",31.5,43.86
"51",32,30.64
"52",32.5,35.56
"53",33,52.03
"54",33.5,37.99
"55",34,62.71
"56",34.5,103.9
"57",35,187.2
