"","time","retail"
"1",1986,42.4
"2",1986.08333333333,39.2
"3",1986.16666666667,42.2
"4",1986.25,43.9
"5",1986.33333333333,43.7
"6",1986.41666666667,45.5
"7",1986.5,47.1
"8",1986.58333333333,46.4
"9",1986.66666666667,47.7
"10",1986.75,49.4
"11",1986.83333333333,57.1
"12",1986.91666666667,75.3
"13",1987,45.9
"14",1987.08333333333,44
"15",1987.16666666667,45
"16",1987.25,49.3
"17",1987.33333333333,47
"18",1987.41666666667,48.9
"19",1987.5,52.2
"20",1987.58333333333,51.1
"21",1987.66666666667,51.5
"22",1987.75,54.6
"23",1987.83333333333,62.7
"24",1987.91666666667,83.5
"25",1988,53.4
"26",1988.08333333333,49
"27",1988.16666666667,50.8
"28",1988.25,53.4
"29",1988.33333333333,53.8
"30",1988.41666666667,54.3
"31",1988.5,58.5
"32",1988.58333333333,57.3
"33",1988.66666666667,56.9
"34",1988.75,60.8
"35",1988.83333333333,69.2
"36",1988.91666666667,93.7
"37",1989,57.8
"38",1989.08333333333,53.9
"39",1989.16666666667,56.6
"40",1989.25,57.5
"41",1989.33333333333,59.5
"42",1989.41666666667,57.5
"43",1989.5,60.1
"44",1989.58333333333,60
"45",1989.66666666667,60.3
"46",1989.75,63.5
"47",1989.83333333333,71.6
"48",1989.91666666667,99.5
"49",1990,61.4
"50",1990.08333333333,58.5
"51",1990.16666666667,60
"52",1990.25,62.6
"53",1990.33333333333,63.6
"54",1990.41666666667,61.4
"55",1990.5,65.4
"56",1990.58333333333,63.3
"57",1990.66666666667,63.1
"58",1990.75,65.7
"59",1990.83333333333,72.9
"60",1990.91666666667,103.4
"61",1991,61
"62",1991.08333333333,56.7
"63",1991.16666666667,63.6
"64",1991.25,63.2
"65",1991.33333333333,63.7
"66",1991.41666666667,63.2
"67",1991.5,67.6
"68",1991.58333333333,64.1
"69",1991.66666666667,64.2
"70",1991.75,68.2
"71",1991.83333333333,78.2
"72",1991.91666666667,104.3
"73",1992,61.9
"74",1992.08333333333,59.6
"75",1992.16666666667,60.9
"76",1992.25,65.3
"77",1992.33333333333,64.9
"78",1992.41666666667,64.2
"79",1992.5,66.2
"80",1992.58333333333,66.2
"81",1992.66666666667,66
"82",1992.75,69.7
"83",1992.83333333333,78.8
"84",1992.91666666667,106.6
"85",1993,64.6
"86",1993.08333333333,62.6
"87",1993.16666666667,64.7
"88",1993.25,68.4
"89",1993.33333333333,66.8
"90",1993.41666666667,68.4
"91",1993.5,70.2
"92",1993.58333333333,69.4
"93",1993.66666666667,70.5
"94",1993.75,74.6
"95",1993.83333333333,84.5
"96",1993.91666666667,113.8
"97",1994,69.3
"98",1994.08333333333,64.8
"99",1994.16666666667,69
"100",1994.25,70.5
"101",1994.33333333333,70.6
"102",1994.41666666667,71.2
"103",1994.5,72.9
"104",1994.58333333333,71.9
"105",1994.66666666667,74.4
"106",1994.75,77.8
"107",1994.83333333333,87.3
"108",1994.91666666667,122
"109",1995,69.5
"110",1995.08333333333,67.7
"111",1995.16666666667,69.8
"112",1995.25,74.1
"113",1995.33333333333,72.7
"114",1995.41666666667,73.5
"115",1995.5,76.7
"116",1995.58333333333,72.8
"117",1995.66666666667,76.2
"118",1995.75,80
"119",1995.83333333333,91.1
"120",1995.91666666667,126.7
"121",1996,71.1
"122",1996.08333333333,70.3
"123",1996.16666666667,73.4
"124",1996.25,78.5
"125",1996.33333333333,77.1
"126",1996.41666666667,79.7
"127",1996.5,81
"128",1996.58333333333,78.9
"129",1996.66666666667,81.6
"130",1996.75,86.4
"131",1996.83333333334,101
"132",1996.91666666667,130.6
"133",1997,76.7
"134",1997.08333333334,75.8
"135",1997.16666666667,80.6
"136",1997.25,82.9
"137",1997.33333333334,82
"138",1997.41666666667,86.5
"139",1997.5,88.8
"140",1997.58333333334,83.9
"141",1997.66666666667,84.7
"142",1997.75,92.6
"143",1997.83333333334,105.7
"144",1997.91666666667,139.8
"145",1998,83
"146",1998.08333333334,80.2
"147",1998.16666666667,82.7
"148",1998.25,87
"149",1998.33333333334,87.7
"150",1998.41666666667,86.1
"151",1998.5,91.5
"152",1998.58333333334,87.7
"153",1998.66666666667,87.3
"154",1998.75,92.5
"155",1998.83333333334,107.2
"156",1998.91666666667,139.6
"157",1999,85.2
"158",1999.08333333334,81.5
"159",1999.16666666667,85.1
"160",1999.25,88.2
"161",1999.33333333334,90.1
"162",1999.41666666667,90.1
"163",1999.5,94.5
"164",1999.58333333334,91.7
"165",1999.66666666667,89.7
"166",1999.75,97.3
"167",1999.83333333334,111.8
"168",1999.91666666667,144.5
"169",2000,91.1
"170",2000.08333333334,85.3
"171",2000.16666666667,88.4
"172",2000.25,92.5
