"","time","star"
"1",1,25
"2",2,28
"3",3,31
"4",4,32
"5",5,33
"6",6,33
"7",7,32
"8",8,31
"9",9,28
"10",10,25
"11",11,22
"12",12,18
"13",13,14
"14",14,10
"15",15,7
"16",16,4
"17",17,2
"18",18,0
"19",19,0
"20",20,0
"21",21,2
"22",22,4
"23",23,8
"24",24,11
"25",25,15
"26",26,19
"27",27,23
"28",28,26
"29",29,29
"30",30,32
"31",31,33
"32",32,34
"33",33,33
"34",34,32
"35",35,30
"36",36,27
"37",37,24
"38",38,20
"39",39,17
"40",40,13
"41",41,10
"42",42,7
"43",43,5
"44",44,3
"45",45,3
"46",46,3
"47",47,4
"48",48,5
"49",49,7
"50",50,10
"51",51,13
"52",52,16
"53",53,19
"54",54,22
"55",55,24
"56",56,26
"57",57,27
"58",58,28
"59",59,29
"60",60,28
"61",61,27
"62",62,25
"63",63,24
"64",64,21
"65",65,19
"66",66,17
"67",67,15
"68",68,13
"69",69,12
"70",70,11
"71",71,11
"72",72,10
"73",73,10
"74",74,11
"75",75,12
"76",76,12
"77",77,13
"78",78,14
"79",79,15
"80",80,16
"81",81,17
"82",82,18
"83",83,19
"84",84,19
"85",85,19
"86",86,19
"87",87,20
"88",88,20
"89",89,20
"90",90,20
"91",91,20
"92",92,20
"93",93,20
"94",94,20
"95",95,21
"96",96,20
"97",97,20
"98",98,20
"99",99,20
"100",100,19
"101",101,18
"102",102,17
"103",103,16
"104",104,15
"105",105,13
"106",106,12
"107",107,11
"108",108,10
"109",109,9
"110",110,9
"111",111,10
"112",112,10
"113",113,11
"114",114,12
"115",115,14
"116",116,16
"117",117,19
"118",118,21
"119",119,24
"120",120,25
"121",121,27
"122",122,28
"123",123,29
"124",124,29
"125",125,28
"126",126,27
"127",127,25
"128",128,23
"129",129,20
"130",130,17
"131",131,14
"132",132,11
"133",133,8
"134",134,5
"135",135,4
"136",136,2
"137",137,2
"138",138,2
"139",139,4
"140",140,6
"141",141,9
"142",142,12
"143",143,16
"144",144,19
"145",145,23
"146",146,27
"147",147,30
"148",148,32
"149",149,33
"150",150,34
"151",151,33
"152",152,32
"153",153,30
"154",154,27
"155",155,24
"156",156,20
"157",157,16
"158",158,12
"159",159,9
"160",160,5
"161",161,3
"162",162,1
"163",163,0
"164",164,0
"165",165,1
"166",166,3
"167",167,6
"168",168,9
"169",169,13
"170",170,17
"171",171,21
"172",172,24
"173",173,27
"174",174,30
"175",175,32
"176",176,33
"177",177,33
"178",178,32
"179",179,31
"180",180,28
"181",181,25
"182",182,22
"183",183,19
"184",184,15
"185",185,12
"186",186,9
"187",187,7
"188",188,5
"189",189,4
"190",190,4
"191",191,5
"192",192,5
"193",193,7
"194",194,9
"195",195,12
"196",196,14
"197",197,17
"198",198,20
"199",199,22
"200",200,24
"201",201,25
"202",202,26
"203",203,27
"204",204,27
"205",205,26
"206",206,25
"207",207,24
"208",208,22
"209",209,20
"210",210,18
"211",211,17
"212",212,15
"213",213,14
"214",214,13
"215",215,13
"216",216,12
"217",217,12
"218",218,12
"219",219,13
"220",220,13
"221",221,13
"222",222,14
"223",223,14
"224",224,15
"225",225,15
"226",226,16
"227",227,17
"228",228,17
"229",229,17
"230",230,17
"231",231,18
"232",232,18
"233",233,19
"234",234,19
"235",235,20
"236",236,20
"237",237,21
"238",238,21
"239",239,22
"240",240,22
"241",241,22
"242",242,22
"243",243,22
"244",244,21
"245",245,20
"246",246,19
"247",247,17
"248",248,16
"249",249,14
"250",250,12
"251",251,11
"252",252,9
"253",253,8
"254",254,7
"255",255,8
"256",256,8
"257",257,9
"258",258,10
"259",259,12
"260",260,14
"261",261,17
"262",262,20
"263",263,23
"264",264,25
"265",265,27
"266",266,29
"267",267,30
"268",268,30
"269",269,30
"270",270,29
"271",271,27
"272",272,25
"273",273,22
"274",274,19
"275",275,16
"276",276,12
"277",277,9
"278",278,6
"279",279,4
"280",280,2
"281",281,1
"282",282,1
"283",283,2
"284",284,4
"285",285,7
"286",286,10
"287",287,14
"288",288,17
"289",289,21
"290",290,25
"291",291,29
"292",292,31
"293",293,33
"294",294,34
"295",295,34
"296",296,33
"297",297,31
"298",298,29
"299",299,26
"300",300,22
"301",301,19
"302",302,14
"303",303,11
"304",304,7
"305",305,4
"306",306,2
"307",307,1
"308",308,0
"309",309,1
"310",310,2
"311",311,5
"312",312,7
"313",313,11
"314",314,15
"315",315,19
"316",316,22
"317",317,25
"318",318,28
"319",319,30
"320",320,32
"321",321,32
"322",322,32
"323",323,31
"324",324,29
"325",325,26
"326",326,23
"327",327,21
"328",328,17
"329",329,14
"330",330,11
"331",331,9
"332",332,7
"333",333,6
"334",334,5
"335",335,6
"336",336,6
"337",337,7
"338",338,9
"339",339,11
"340",340,13
"341",341,15
"342",342,18
"343",343,20
"344",344,22
"345",345,23
"346",346,24
"347",347,25
"348",348,25
"349",349,25
"350",350,24
"351",351,24
"352",352,22
"353",353,21
"354",354,19
"355",355,18
"356",356,17
"357",357,16
"358",358,15
"359",359,15
"360",360,14
"361",361,14
"362",362,14
"363",363,14
"364",364,14
"365",365,14
"366",366,14
"367",367,14
"368",368,14
"369",369,14
"370",370,14
"371",371,15
"372",372,15
"373",373,15
"374",374,15
"375",375,16
"376",376,16
"377",377,17
"378",378,18
"379",379,19
"380",380,20
"381",381,21
"382",382,22
"383",383,23
"384",384,23
"385",385,24
"386",386,24
"387",387,24
"388",388,23
"389",389,22
"390",390,21
"391",391,19
"392",392,17
"393",393,15
"394",394,13
"395",395,11
"396",396,9
"397",397,7
"398",398,6
"399",399,6
"400",400,6
"401",401,7
"402",402,8
"403",403,10
"404",404,12
"405",405,15
"406",406,18
"407",407,22
"408",408,24
"409",409,27
"410",410,29
"411",411,31
"412",412,31
"413",413,31
"414",414,31
"415",415,29
"416",416,27
"417",417,24
"418",418,21
"419",419,18
"420",420,14
"421",421,10
"422",422,7
"423",423,5
"424",424,2
"425",425,1
"426",426,0
"427",427,1
"428",428,2
"429",429,5
"430",430,8
"431",431,12
"432",432,15
"433",433,19
"434",434,23
"435",435,27
"436",436,30
"437",437,32
"438",438,34
"439",439,34
"440",440,34
"441",441,32
"442",442,30
"443",443,28
"444",444,24
"445",445,20
"446",446,16
"447",447,13
"448",448,9
"449",449,6
"450",450,3
"451",451,2
"452",452,1
"453",453,1
"454",454,2
"455",455,4
"456",456,6
"457",457,9
"458",458,13
"459",459,17
"460",460,20
"461",461,23
"462",462,26
"463",463,28
"464",464,30
"465",465,31
"466",466,31
"467",467,31
"468",468,29
"469",469,27
"470",470,24
"471",471,22
"472",472,19
"473",473,16
"474",474,13
"475",475,11
"476",476,9
"477",477,8
"478",478,7
"479",479,7
"480",480,7
"481",481,8
"482",482,9
"483",483,11
"484",484,12
"485",485,14
"486",486,16
"487",487,18
"488",488,20
"489",489,21
"490",490,22
"491",491,23
