"","time","tempdub"
"1",1964,24.7
"2",1964.08333333333,25.7
"3",1964.16666666667,30.6
"4",1964.25,47.5
"5",1964.33333333333,62.9
"6",1964.41666666667,68.5
"7",1964.5,73.7
"8",1964.58333333333,67.9
"9",1964.66666666667,61.1
"10",1964.75,48.5
"11",1964.83333333333,39.6
"12",1964.91666666667,20
"13",1965,16.1
"14",1965.08333333333,19.1
"15",1965.16666666667,24.2
"16",1965.25,45.4
"17",1965.33333333333,61.3
"18",1965.41666666667,66.5
"19",1965.5,72.1
"20",1965.58333333333,68.4
"21",1965.66666666667,60.2
"22",1965.75,50.9
"23",1965.83333333333,37.4
"24",1965.91666666667,31.1
"25",1966,10.4
"26",1966.08333333333,21.6
"27",1966.16666666667,37.4
"28",1966.25,44.7
"29",1966.33333333333,53.2
"30",1966.41666666667,68
"31",1966.5,73.7
"32",1966.58333333333,68.2
"33",1966.66666666667,60.7
"34",1966.75,50.2
"35",1966.83333333333,37.2
"36",1966.91666666667,24.6
"37",1967,21.5
"38",1967.08333333333,14.7
"39",1967.16666666667,35
"40",1967.25,48.3
"41",1967.33333333333,54
"42",1967.41666666667,68.2
"43",1967.5,69.6
"44",1967.58333333333,65.7
"45",1967.66666666667,60.8
"46",1967.75,49.1
"47",1967.83333333333,33.2
"48",1967.91666666667,26
"49",1968,19.1
"50",1968.08333333333,20.6
"51",1968.16666666667,40.2
"52",1968.25,50
"53",1968.33333333333,55.3
"54",1968.41666666667,67.7
"55",1968.5,70.7
"56",1968.58333333333,70.3
"57",1968.66666666667,60.6
"58",1968.75,50.7
"59",1968.83333333333,35.8
"60",1968.91666666667,20.7
"61",1969,14
"62",1969.08333333333,24.1
"63",1969.16666666667,29.4
"64",1969.25,46.6
"65",1969.33333333333,58.6
"66",1969.41666666667,62.2
"67",1969.5,72.1
"68",1969.58333333333,71.7
"69",1969.66666666667,61.9
"70",1969.75,47.6
"71",1969.83333333333,34.2
"72",1969.91666666667,20.4
"73",1970,8.4
"74",1970.08333333334,19
"75",1970.16666666667,31.4
"76",1970.25,48.7
"77",1970.33333333334,61.6
"78",1970.41666666667,68.1
"79",1970.5,72.2
"80",1970.58333333334,70.6
"81",1970.66666666667,62.5
"82",1970.75,52.7
"83",1970.83333333334,36.7
"84",1970.91666666667,23.8
"85",1971,11.2
"86",1971.08333333334,20
"87",1971.16666666667,29.6
"88",1971.25,47.7
"89",1971.33333333334,55.8
"90",1971.41666666667,73.2
"91",1971.5,68
"92",1971.58333333334,67.1
"93",1971.66666666667,64.9
"94",1971.75,57.1
"95",1971.83333333334,37.6
"96",1971.91666666667,27.7
"97",1972,13.4
"98",1972.08333333334,17.2
"99",1972.16666666667,30.8
"100",1972.25,43.7
"101",1972.33333333334,62.3
"102",1972.41666666667,66.4
"103",1972.5,70.2
"104",1972.58333333334,71.6
"105",1972.66666666667,62.1
"106",1972.75,46
"107",1972.83333333334,32.7
"108",1972.91666666667,17.3
"109",1973,22.5
"110",1973.08333333334,25.7
"111",1973.16666666667,42.3
"112",1973.25,45.2
"113",1973.33333333334,55.5
"114",1973.41666666667,68.9
"115",1973.5,72.3
"116",1973.58333333334,72.3
"117",1973.66666666667,62.5
"118",1973.75,55.6
"119",1973.83333333334,38
"120",1973.91666666667,20.4
"121",1974,17.6
"122",1974.08333333334,20.5
"123",1974.16666666667,34.2
"124",1974.25,49.2
"125",1974.33333333334,54.8
"126",1974.41666666667,63.8
"127",1974.5,74
"128",1974.58333333334,67.1
"129",1974.66666666667,57.7
"130",1974.75,50.8
"131",1974.83333333334,36.8
"132",1974.91666666667,25.5
"133",1975,20.4
"134",1975.08333333334,19.6
"135",1975.16666666667,24.6
"136",1975.25,41.3
"137",1975.33333333334,61.8
"138",1975.41666666667,68.5
"139",1975.5,72
"140",1975.58333333334,71.1
"141",1975.66666666667,57.3
"142",1975.75,52.5
"143",1975.83333333334,40.6
"144",1975.91666666667,26.2
