"","time","tuba"
"1",1,0.217194
"2",2,0.208801
"3",3,0.200439
"4",4,0.195251
"5",5,0.196472
"6",6,0.205078
"7",7,0.221283
"8",8,0.243378
"9",9,0.267578
"10",10,0.29184
"11",11,0.311188
"12",12,0.321106
"13",13,0.317596
"14",14,0.298615
"15",15,0.265076
"16",16,0.219238
"17",17,0.166107
"18",18,0.108887
"19",19,0.052338
"20",20,-0.000488
"21",21,-0.046936
"22",22,-0.085693
"23",23,-0.115082
"24",24,-0.135071
"25",25,-0.142944
"26",26,-0.139374
"27",27,-0.124512
"28",28,-0.099701
"29",29,-0.068054
"30",30,-0.034241
"31",31,-0.001892
"32",32,0.024811
"33",33,0.044769
"34",34,0.05719
"35",35,0.063782
"36",36,0.066071
"37",37,0.065643
"38",38,0.064728
"39",39,0.06366
"40",40,0.062897
"41",41,0.063354
"42",42,0.066437
"43",43,0.072968
"44",44,0.084229
"45",45,0.100037
"46",46,0.119751
"47",47,0.141785
"48",48,0.164032
"49",49,0.184448
"50",50,0.202271
"51",51,0.216034
"52",52,0.224335
"53",53,0.227173
"54",54,0.225067
"55",55,0.218872
"56",56,0.207886
"57",57,0.192688
"58",58,0.174896
"59",59,0.154144
"60",60,0.131714
"61",61,0.109131
"62",62,0.087585
"63",63,0.067902
"64",64,0.049957
"65",65,0.029846
"66",66,0.004852
"67",67,-0.026886
"68",68,-0.067688
"69",69,-0.118469
"70",70,-0.178162
"71",71,-0.245514
"72",72,-0.319366
"73",73,-0.39624
"74",74,-0.470612
"75",75,-0.53418
"76",76,-0.58374
"77",77,-0.616089
"78",78,-0.632019
"79",79,-0.631836
"80",80,-0.614807
"81",81,-0.582367
"82",82,-0.533783
"83",83,-0.472076
"84",84,-0.397766
"85",85,-0.312622
"86",86,-0.222137
"87",87,-0.129822
"88",88,-0.04007
"89",89,0.040833
"90",90,0.108704
"91",91,0.161102
"92",92,0.196625
"93",93,0.217407
"94",94,0.223572
"95",95,0.220428
"96",96,0.212219
"97",97,0.203156
"98",98,0.19632
"99",99,0.194611
"100",100,0.19986
"101",101,0.212769
"102",102,0.232361
"103",103,0.25589
"104",104,0.279236
"105",105,0.29834
"106",106,0.309448
"107",107,0.307587
"108",108,0.290985
"109",109,0.259949
"110",110,0.216492
"111",111,0.164581
"112",112,0.108521
"113",113,0.052734
"114",114,0.000336
"115",115,-0.045959
"116",116,-0.085358
"117",117,-0.116577
"118",118,-0.138031
"119",119,-0.148224
"120",120,-0.147247
"121",121,-0.134583
"122",122,-0.112579
"123",123,-0.082916
"124",124,-0.050262
"125",125,-0.019104
"126",126,0.007996
"127",127,0.028717
"128",128,0.042542
"129",129,0.049194
"130",130,0.051117
"131",131,0.050385
"132",132,0.048309
"133",133,0.046143
"134",134,0.044373
"135",135,0.043732
"136",136,0.04538
"137",137,0.050323
"138",138,0.060883
"139",139,0.076813
"140",140,0.096436
"141",141,0.118835
"142",142,0.141968
"143",143,0.164093
"144",144,0.183777
"145",145,0.199219
"146",146,0.209381
"147",147,0.2146
"148",148,0.214508
"149",149,0.209595
"150",150,0.200928
"151",151,0.187012
"152",152,0.169952
"153",153,0.149902
"154",154,0.12796
"155",155,0.105469
