"","time","winnebago"
"1",1966.83333333333,61
"2",1966.91666666667,48
"3",1967,53
"4",1967.08333333333,78
"5",1967.16666666667,75
"6",1967.25,58
"7",1967.33333333333,146
"8",1967.41666666667,193
"9",1967.5,124
"10",1967.58333333333,120
"11",1967.66666666667,134
"12",1967.75,99
"13",1967.83333333333,130
"14",1967.91666666667,166
"15",1968,168
"16",1968.08333333333,267
"17",1968.16666666667,314
"18",1968.25,432
"19",1968.33333333333,355
"20",1968.41666666667,384
"21",1968.5,232
"22",1968.58333333333,235
"23",1968.66666666667,293
"24",1968.75,242
"25",1968.83333333333,248
"26",1968.91666666667,236
"27",1969,209
"28",1969.08333333333,358
"29",1969.16666666667,352
"30",1969.25,406
"31",1969.33333333333,562
"32",1969.41666666667,389
"33",1969.5,416
"34",1969.58333333333,493
"35",1969.66666666667,409
"36",1969.75,328
"37",1969.83333333333,222
"38",1969.91666666667,195
"39",1970,156
"40",1970.08333333333,439
"41",1970.16666666667,671
"42",1970.25,874
"43",1970.33333333333,558
"44",1970.41666666667,621
"45",1970.5,628
"46",1970.58333333333,652
"47",1970.66666666667,495
"48",1970.75,344
"49",1970.83333333333,405
"50",1970.91666666667,586
"51",1971,403
"52",1971.08333333333,700
"53",1971.16666666667,837
"54",1971.25,1224
"55",1971.33333333333,1117
"56",1971.41666666667,1214
"57",1971.5,762
"58",1971.58333333333,846
"59",1971.66666666667,1228
"60",1971.75,937
"61",1971.83333333333,1396
"62",1971.91666666667,1174
"63",1972,628
"64",1972.08333333333,1753
