"","County","Women","No.storks","No.babies","Stork.rate","Birth.rate"
"1",1,1,2,10,2,10
"2",2,1,2,15,2,15
"3",3,1,2,20,2,20
"4",4,1,3,10,3,10
"5",5,1,3,15,3,15
"6",6,1,3,20,3,20
"7",7,1,4,10,4,10
"8",8,1,4,15,4,15
"9",9,1,4,20,4,20
"10",10,2,4,15,2,7.5
"11",11,2,4,20,2,10
"12",12,2,4,25,2,12.5
"13",13,2,5,15,2.5,7.5
"14",14,2,5,20,2.5,10
"15",15,2,5,25,2.5,12.5
"16",16,2,6,15,3,7.5
"17",17,2,6,20,3,10
"18",18,2,6,25,3,12.5
"19",19,3,5,20,1.67,6.67
"20",20,3,5,25,1.67,8.33
"21",21,3,5,30,1.67,10
"22",22,3,6,20,2,6.67
"23",23,3,6,25,2,8.33
"24",24,3,6,30,2,10
"25",25,3,7,20,2.33,6.67
"26",26,3,7,25,2.33,8.33
"27",27,3,7,30,2.33,10
"28",28,4,6,25,1.5,6.25
"29",29,4,6,30,1.5,7.5
"30",30,4,6,35,1.5,8.75
"31",31,4,7,25,1.75,6.25
"32",32,4,7,30,1.75,7.5
"33",33,4,7,35,1.75,8.75
"34",34,4,8,25,2,6.25
"35",35,4,8,30,2,7.5
"36",36,4,8,35,2,8.75
"37",37,5,7,30,1.4,6
"38",38,5,7,35,1.4,7
"39",39,5,7,40,1.4,8
"40",40,5,8,30,1.6,6
"41",41,5,8,35,1.6,7
"42",42,5,8,40,1.6,8
"43",43,5,9,30,1.8,6
"44",44,5,9,35,1.8,7
"45",45,5,9,40,1.8,8
"46",46,6,8,35,1.33,5.83
"47",47,6,8,40,1.33,6.67
"48",48,6,8,45,1.33,7.5
"49",49,6,9,35,1.5,5.83
"50",50,6,9,40,1.5,6.67
"51",51,6,9,45,1.5,7.5
"52",52,6,10,35,1.67,5.83
"53",53,6,10,40,1.67,6.67
"54",54,6,10,45,1.67,7.5
