"","Mon","Tue","Wed","Thu","Fri","Sat","Sun"
"0",0,1,1,1,0,2,1
"1",1,1,1,0,2,0,2
"2",0,3,2,1,1,3,2
"3",0,0,2,1,1,0,3
"4",3,0,3,4,2,3,0
"5",3,1,0,5,4,1,0
"6",6,3,2,8,5,1,2
"7",8,12,13,7,8,2,2
"8",10,11,5,2,7,3,2
"9",10,9,7,8,10,1,3
"10",10,8,10,8,7,6,1
"11",11,6,10,11,10,4,5
"12",4,7,7,8,7,2,3
"13",4,9,6,10,3,7,1
"14",4,7,11,9,9,2,4
"15",5,13,7,5,11,3,1
"16",11,5,10,7,17,1,3
"17",6,5,9,5,7,1,4
"18",3,0,4,3,10,1,0
"19",1,1,2,0,3,1,1
"20",1,1,1,4,1,1,2
"21",1,1,3,3,2,0,0
"22",0,0,1,2,4,1,0
"23",2,2,0,2,3,0,0
