"","y1","y2","y3","y4","y5","y6","sex","age","weight"
"1",1,1,1,1,1,1,0,"y",12
"2",1,0,0,1,1,1,1,"y",15
"3",1,1,0,0,1,1,0,"y",15
"4",1,1,0,1,1,1,0,"y",15
"5",1,1,1,1,1,1,0,"y",13
"6",1,1,0,1,1,1,0,"a",21
"7",1,1,1,1,1,0,0,"y",11
"8",1,1,1,0,0,1,0,"a",15
"9",1,1,1,1,1,1,0,"y",14
"10",1,1,0,1,1,1,0,"y",14
"11",1,1,0,1,1,1,0,"y",13
"12",1,1,1,0,1,1,1,"a",22
"13",1,1,1,1,1,1,0,"y",14
"14",1,0,1,1,1,0,0,"y",11
"15",1,0,0,1,0,0,1,"y",10
"16",0,1,0,0,1,0,1,"a",23
"17",0,1,1,0,0,1,1,"y",7
"18",0,1,0,0,0,1,0,"y",8
"19",0,1,0,1,0,1,0,"a",19
"20",0,1,1,0,1,0,0,"y",13
"21",0,1,0,1,0,1,1,"y",5
"22",0,1,0,0,0,1,1,"a",20
"23",0,1,0,0,1,1,0,"y",12
"24",0,0,1,0,0,0,1,"y",6
"25",0,0,1,1,1,1,1,"a",22
"26",0,0,1,0,1,1,1,"y",10
"27",0,0,1,1,1,1,1,"y",14
"28",0,0,1,0,1,0,1,"a",19
"29",0,0,1,0,0,0,1,"a",19
"30",0,0,0,1,0,0,1,"a",20
"31",0,0,0,1,1,1,0,"a",16
"32",0,0,0,1,1,0,1,"y",11
"33",0,0,0,0,1,0,0,"y",14
"34",0,0,0,0,1,0,1,"y",11
"35",0,0,0,0,1,0,0,"a",24
"36",0,0,0,0,0,1,0,"y",9
"37",0,0,0,0,0,1,0,"a",16
"38",0,0,0,0,0,1,1,"a",19
