"","rainfall","ssize","cityNo","positive"
"1",1735,4,1,2
"2",1936,10,2,3
"3",2000,5,3,1
"4",1973,10,4,3
"5",1750,2,5,2
"6",1800,5,6,3
"7",1750,8,7,2
"8",2077,19,8,7
"9",1920,6,9,3
"10",1800,10,10,8
"11",2050,24,11,7
"12",1830,1,12,0
"13",1650,30,13,15
"14",2200,22,14,4
"15",2000,1,15,0
"16",1770,11,16,6
"17",1920,1,17,0
"18",1770,54,18,33
"19",2240,9,19,4
"20",1620,18,20,5
"21",1756,12,21,2
"22",1650,1,22,0
"23",2250,11,23,8
"24",1796,77,24,41
"25",1890,51,25,24
"26",1871,16,26,7
"27",2063,82,27,46
"28",2100,13,28,9
"29",1918,43,29,23
"30",1834,75,30,53
"31",1780,13,31,8
"32",1900,10,32,3
"33",1976,6,33,1
"34",2292,37,34,23
