"","year","month","day","hour","sealevel","ohour","Year"
"7171",1940,10,25,18,101,7170,1940.81791052949
"7282",1940,10,30,9,100,7281,1940.8305727427
"7716",1940,11,17,11,98,7715,1940.88008085565
"8860",1941,1,4,3,95,8859,1941.01058150359
"9169",1941,1,17,0,99,9168,1941.04583036741
"10115",1941,2,25,10,93,10114,1941.15374436474
"16212",1941,11,6,11,93,16211,1941.84925349979
"24969",1942,11,6,8,93,24968,1942.8481994561
"34186",1943,11,25,9,96,34185,1943.89961944916
"41749",1944,10,5,12,93,41748,1944.76236105788
"42346",1944,10,30,9,94,42345,1944.83046323167
"42730",1944,11,15,9,106,42729,1944.87426764497
"44146",1945,1,13,9,97,44145,1945.03579641899
"52332",1945,12,20,11,104,52331,1945.96960612532
"54083",1946,3,3,10,101,54082,1946.16934968698
"55798",1946,5,13,21,98,55797,1946.3649865849
"60827",1946,12,9,10,133,60826,1946.93866469547
"62194",1947,2,4,9,93,62193,1947.09460384384
"69347",1947,11,29,10,126,69346,1947.91057511544
"69410",1947,12,2,1,99,69409,1947.917761777
"69560",1947,12,8,7,98,69559,1947.93487287594
"70787",1948,1,28,10,130,70786,1948.0748416653
"76079",1948,9,4,22,94,76078,1948.67852123601
"77434",1948,10,31,9,91,77433,1948.83309149647
"86773",1949,11,24,12,103,86772,1949.89842851667
"86858",1949,11,28,1,91,86857,1949.90812480607
"95433",1950,11,20,8,91,95432,1950.88630929566
"95865",1950,12,8,8,116,95864,1950.93558926062
"97296",1951,2,5,23,108,97295,1951.09882914454
"97442",1951,2,12,1,94,97441,1951.11548394751
"98016",1951,3,7,23,116,98015,1951.18096241946
"103739",1951,11,1,10,93,103738,1951.83380788114
"103917",1951,11,8,20,101,103916,1951.85411305189
"104000",1951,11,12,7,150,103999,1951.86358119331
"105791",1952,1,25,22,91,105790,1952.06788771469
"112259",1952,10,21,10,114,112258,1952.80571830112
"113626",1952,12,17,9,98,113625,1952.96165744949
"113987",1953,1,1,10,101,113986,1953.00283816094
"114959",1953,2,10,22,98,114958,1953.1137180821
"117640",1953,6,2,15,93,117639,1953.41955045721
"121116",1953,10,25,11,104,121115,1953.81607165672
"125686",1954,5,3,21,92,125685,1954.33738980452
"130283",1954,11,11,10,98,130282,1954.86178795014
"131003",1954,12,11,10,110,131002,1954.94392122506
"132817",1955,2,25,0,95,132816,1955.15085144828
"137662",1955,9,14,21,92,137661,1955.70353994415
"138803",1955,11,1,10,96,138802,1955.83369837011
"139859",1955,12,15,10,94,139858,1955.95416050667
"146889",1956,10,3,8,103,146888,1956.75610067714
"147610",1956,11,2,9,93,147609,1956.83834802606
"150204",1957,2,18,11,91,150203,1957.13425596379
"151437",1957,4,10,20,100,151436,1957.2749091971
"156589",1957,11,11,12,106,156588,1957.8626184088
"157448",1957,12,17,7,97,157447,1957.96060796875
"159473",1958,3,11,16,102,159472,1958.19160780449
"160055",1958,4,4,22,92,160054,1958.25799886839
"164364",1958,10,1,11,99,164363,1958.74954370403
"165385",1958,11,13,0,113,165384,1958.86601325084
"166228",1958,12,18,3,112,166227,1958.9621776269
"166377",1958,12,24,8,123,166376,1958.97917465185
"168935",1959,4,9,22,94,168934,1959.27097592582
"173793",1959,10,29,8,117,173792,1959.8251473836
"174154",1959,11,13,9,106,174153,1959.86632809506
"174277",1959,11,18,12,107,174276,1959.88035919619
"174824",1959,12,11,7,116,174823,1959.94275767034
"175667",1960,1,15,10,125,175666,1960.0389220464
"176339",1960,2,12,10,107,176338,1960.11557976966
"176601",1960,2,23,8,93,176600,1960.14546715582
"182240",1960,10,15,7,145,182239,1960.78873040209
"182387",1960,10,21,10,101,182386,1960.80549927905
"182577",1960,10,29,8,99,182576,1960.82717333771
"182747",1960,11,5,10,122,182746,1960.84656591652
"183516",1960,12,7,11,92,183515,1960.9342888171
"183842",1960,12,21,1,108,183841,1960.9714769388
"184177",1961,1,4,0,104,184176,1961.00969172644
"190810",1961,10,7,9,107,190809,1961.76634452171
"191677",1961,11,12,12,121,191676,1961.8652466736
"192896",1962,1,2,7,93,192895,1962.00430287101
"193132",1962,1,12,3,97,193131,1962.03122433335
"193181",1962,1,14,4,93,193180,1962.03681395901
"194387",1962,3,5,10,99,194386,1962.17438719451
"200338",1962,11,8,9,113,200337,1962.85324152658
"200386",1962,11,10,9,108,200385,1962.85871707825
"200460",1962,11,13,11,96,200459,1962.86715855372
"201179",1962,12,13,10,104,201178,1962.94917775466
"201777",1963,1,7,8,117,201776,1963.01739400245
"202633",1963,2,12,0,109,202632,1963.11504134042
"202871",1963,2,21,22,99,202870,1963.14219095074
"204036",1963,4,11,11,109,204035,1963.27508715253
"208260",1963,10,4,11,100,208259,1963.75693569877
"208931",1963,11,1,10,114,208930,1963.83347934804
"208980",1963,11,3,11,108,208979,1963.8390689737
"209052",1963,11,6,11,113,209051,1963.84728230119
"210035",1963,12,17,10,99,210034,1963.95941703627
"217141",1964,10,8,12,106,217140,1964.7700268302
"217329",1964,10,16,8,91,217328,1964.79147274088
"218507",1964,12,4,10,97,218506,1964.92585190458
"218866",1964,12,19,9,99,218865,1964.96680446805
"219092",1964,12,28,19,91,219091,1964.99258519046
"219611",1965,1,19,10,96,219610,1965.0517895928
"220631",1965,3,2,22,105,220630,1965.16814506562
"225015",1965,9,1,14,96,225014,1965.66824545073
"225660",1965,9,28,11,109,225659,1965.74182317619
"226880",1965,11,18,7,93,226879,1965.88099344759
"227003",1965,11,23,10,107,227002,1965.89502454872
"227411",1965,12,10,10,100,227410,1965.94156673785
"227833",1965,12,28,0,96,227832,1965.98970596288
"228443",1966,1,22,10,93,228442,1966.05929109858
"228506",1966,1,25,1,91,228505,1966.06647776013
"229176",1966,2,21,23,125,229175,1966.14290733541
"235163",1966,10,29,10,104,235162,1966.82586833123
"235314",1966,11,4,17,192,235313,1966.84309350417
"235425",1966,11,9,8,93,235424,1966.85575571739
"236243",1966,12,13,10,92,236242,1966.94906824363
"236603",1966,12,28,10,93,236602,1966.99013488109
"239350",1967,4,21,21,117,239349,1967.30349613974
"240118",1967,5,23,21,100,240117,1967.39110496633
"244091",1967,11,5,10,138,244090,1967.84432094033
"245410",1967,12,30,9,92,245409,1967.99478453704
"251819",1968,9,22,10,101,251818,1968.72588475789
"251868",1968,9,24,11,97,251867,1968.73147438354
"252824",1968,11,3,7,144,252823,1968.84052912081
"252874",1968,11,5,9,98,252873,1968.84623282046
"253185",1968,11,18,8,109,253184,1968.88170983227
"253692",1968,12,9,11,94,253691,1968.93954534669
"253904",1968,12,18,7,130,253903,1968.9637290332
"253980",1968,12,21,11,91,253979,1968.97239865666
"254575",1969,1,15,6,116,254574,1969.04027268247
"255371",1969,2,17,10,103,255370,1969.13107558086
"255457",1969,2,21,0,91,255456,1969.14088594426
"261705",1969,11,8,8,101,261704,1969.85362025224
"261828",1969,11,13,11,98,261827,1969.86765135337
"262129",1969,11,26,0,135,262128,1969.90198762525
"262425",1969,12,8,8,118,262424,1969.93575352717
"263096",1970,1,5,7,118,263095,1970.01229717644
"263259",1970,1,12,2,98,263258,1970.03089123729
"264513",1970,3,5,8,98,264512,1970.17394002446
"265343",1970,4,8,22,93,265342,1970.26862143861
"270610",1970,11,14,9,122,270609,1970.8694491595
"271665",1970,12,28,8,121,271664,1970.98979722207
"272387",1971,1,27,10,100,272386,1971.07215864498
"272881",1971,2,17,0,100,272880,1971.1285111975
"273815",1971,3,27,22,94,273814,1971.23505630692
"274004",1971,4,4,19,98,274003,1971.25661629159
"274486",1971,4,24,21,91,274485,1971.3115999562
"275615",1971,6,10,22,94,275614,1971.44038949424
"279268",1971,11,10,3,108,279267,1971.85710179051
"279753",1971,11,30,8,116,279752,1971.91242767709
"280931",1972,1,18,10,113,280930,1972.04680684079
"281578",1972,2,14,9,121,281577,1972.12061271423
"283006",1972,4,13,21,94,283005,1972.28351037617
"283726",1972,5,13,21,94,283725,1972.3656436511
"288347",1972,11,22,10,95,288346,1972.89277957254
"295739",1973,9,26,10,98,295738,1973.73601452846
"295788",1973,9,28,11,92,295787,1973.74160415412
"296172",1973,10,14,11,111,296171,1973.78540856741
"297898",1973,12,25,9,109,297897,1973.98230027925
"299566",1974,3,4,21,91,299565,1974.1725756995
"304692",1974,10,4,11,96,304691,1974.75731898739
"305339",1974,10,31,10,95,305338,1974.83112486083
"306010",1974,11,28,9,94,306009,1974.9076685101
"308903",1975,3,28,22,108,308902,1975.23768457172
"313761",1975,10,17,8,102,313760,1975.79185602949
"314530",1975,11,18,9,128,314529,1975.87957893008
"314579",1975,11,20,10,95,314578,1975.88516855573
"316642",1976,2,14,9,98,316641,1976.1205032032
"322451",1976,10,13,10,100,322450,1976.78315902827
"322641",1976,10,21,8,93,322640,1976.80483308693
"322789",1976,10,27,12,100,322788,1976.82171603789
"322854",1976,10,30,5,124,322853,1976.82913084743
"323411",1976,11,22,10,95,323410,1976.89267006151
"323647",1976,12,2,6,96,323646,1976.91959152385
"323770",1976,12,7,9,122,323769,1976.93362262498
"324392",1977,1,2,7,100,324391,1977.0045766486
