"","Year","Latitude","Longitude","Sea.Surface.Temp","Air.Temp","Humidity","UWind","VWind"
"1",1997,0,-110,27.59,27.15,79.6,-6.4,5.4
"2",1997,0,-110,27.55,27.02,75.8,-5.3,5.3
"3",1997,0,-110,27.57,27,76.5,-5.1,4.5
"4",1997,0,-110,27.62,26.93,76.2,-4.9,2.5
"5",1997,0,-110,27.65,26.84,76.4,-3.5,4.1
"6",1997,0,-110,27.83,26.94,76.7,-4.4,1.6
"7",1997,0,-110,28.01,27.04,76.5,-2,3.5
"8",1997,0,-110,28.04,27.11,78.3,-3.7,4.5
"9",1997,0,-110,28.02,27.21,78.6,-4.2,5
"10",1997,0,-110,28.05,27.25,76.9,-3.6,3.5
"11",1997,0,-110,28.07,27.23,77.6,-3.7,2.9
"12",1997,0,-110,28.09,27.32,77.5,-4.8,1.8
"13",1997,0,-110,28.2,27.31,80.1,-3.5,1.9
"14",1997,0,-110,28.25,26.44,85.2,-1,1.8
"15",1997,0,-110,28.42,26.78,79.8,-1.5,0.9
"16",1997,0,-110,28.58,27.42,76.3,-2.6,0.7
"17",1997,0,-110,28.52,27.5,81.8,-4.4,2.9
"18",1997,0,-110,28.35,27.09,84.6,-5.8,3.3
"19",1997,0,-110,28.28,27.29,81.3,-7.3,3.8
"20",1997,0,-110,28.18,27.09,84.7,-6.3,4.7
"21",1997,0,-110,28.06,27.06,83.9,-4.8,6.8
"22",1997,0,-110,28.04,27.28,79.2,-3.2,6.7
"23",1997,0,-110,28.09,27.3,77.5,-2.2,3.5
"24",1997,0,-110,28.12,27.51,80.4,-4.9,1.9
"25",1997,0,-110,28.13,27.54,82.5,-5.7,1.5
"26",1997,0,-110,28.11,27.62,81.5,-5.3,2.9
"27",1997,0,-110,28.15,27.51,81,-4.4,4
"28",1997,0,-110,28.19,27.6,80.7,-5.1,4.2
"29",1997,0,-110,28.17,27.64,81,-6.6,2.4
"30",1997,0,-110,28.21,27.56,77,-4.6,4.2
"31",1997,0,-110,28.21,27.52,76.5,-2.9,4.3
"32",1997,0,-110,28.25,26.81,84.7,-3,2.6
"33",1997,0,-110,28.26,27.04,86.7,-5,1.8
"34",1997,0,-110,28.23,27.18,87.2,-6.3,2.4
"35",1997,0,-110,28.32,27.84,82.6,-6.5,4.3
"36",1997,0,-110,28.02,25.76,91.1,-1.4,2.9
"37",1997,0,-110,28.03,26.38,86.6,0,2.3
"38",1997,0,-110,28.15,27,87,-1.3,2.8
"39",1997,0,-110,28.52,26.88,89.3,-4.1,3.6
"40",1997,0,-110,28.48,26.29,88.9,-1.8,-1.3
"41",1997,0,-110,28.56,27.17,83.8,-3.6,3
"42",1997,0,-110,28.59,27.5,84.6,-3.9,4.1
"43",1997,0,-110,28.46,26.22,89.3,1.2,3.6
"44",1997,0,-110,28.42,27.78,78.9,-4,4.7
"45",1997,0,-110,28.55,27.65,78.5,-3.6,3.2
"46",1997,0,-110,28.52,26.58,85.6,-2,3.8
"47",1997,0,-110,28.51,27.22,82.1,-2.4,3.5
"48",1997,0,-110,28.72,27.2,81,-0.9,0.1
"49",1997,0,-110,28.98,27.68,82.8,-3.8,2.2
"50",1997,0,-110,28.57,26.59,89.4,-4.6,2.9
"51",1997,0,-110,28.5,27.27,87.2,-5.6,1.2
"52",1997,0,-110,28.53,26.52,90.3,-3.6,-1.1
"53",1997,0,-110,28.73,27.64,87,-2.1,2.3
"54",1997,0,-110,29.02,27.78,83.4,-4.1,-0.1
"55",1997,0,-110,28.94,27.24,86.5,-4.8,0.9
"56",1997,0,-110,28.86,27.4,86.9,-6.3,0.7
