"","genotype","preference"
"1","F1",0.108
"2","F1",0.098
"3","F1",0.078
"4","F1",0.072
"5","F1",0.062
"6","F1",0.047
"7","F1",0.007
"8","F1",0.007
"9","F1",0.007
"10","F1",0.007
"11","F1",-0.024
"12","F1",-0.024
"13","F1",-0.024
"14","F1",-0.034
"15","F1",-0.039
"16","F1",-0.049
"17","F1",-0.064
"18","F1",-0.105
"19","F1",-0.11
"20","F1",0.078
"21","F2",0.388
"22","F2",0.278
"23","F2",0.213
"24","F2",0.19
"25","F2",0.163
"26","F2",0.139
"27","F2",0.135
"28","F2",0.13
"29","F2",0.13
"30","F2",0.07
"31","F2",0.052
"32","F2",0.052
"33","F2",0.029
"34","F2",0.02
"35","F2",0.02
"36","F2",0.006
"37","F2",-0.003
"38","F2",-0.008
"39","F2",-0.008
"40","F2",-0.008
"41","F2",-0.026
"42","F2",-0.026
"43","F2",-0.04
"44","F2",-0.059
"45","F2",-0.059
"46","F2",-0.077
"47","F2",-0.077
"48","F2",-0.077
"49","F2",-0.137
"50","F2",-0.197
"51","F2",-0.293
"52","F2",-0.307
"53","F2",-0.344
