"","species","count"
"1","Black Vulture",64
"2","Turkey Vulture",23
"3","Harris's Hawk",3
"4","Red-tailed Hawk",16
"5","American Kestrel",7
"6","Gambel's Quail",148
"7","Rock Dove",7
"8","White-winged Dove",625
"9","Mourning Dove",135
"10","Greater Roadrunner",1
"11","Great Horned Owl",2
"12","Lesser Nighthawk",25
"13","Black-chin. Hummingbird",1
"14","Costa's Hummingbird",2
"15","Gila Woodpecker",300
"16","Ladder-back. Woodpecker",15
"17","Gilded Flicker C",77
"18","Ash-throated Flycatcher",173
"19","Brown-crest. Flycatcher",128
"20","Western Kingbird",1
"21","Loggerhead Shrike",3
"22","Bell's Vireo",10
"23","Common Raven",12
"24","Purple Martin",33
"25","Violet-green Swallow",23
"26","Verdin",282
"27","Cactus Wren",230
"28","Canyon Wren",2
"29","Black-tail. Gnatcatcher",152
"30","Northern Mockingbird",5
"31","Curve-billed Thrasher",173
"32","Phainopepla",18
"33","Lucy's Warbler",67
"34","Canyon Towhee",2
"35","Black-throated Sparrow",33
"36","Northern Cardinal",13
"37","Great-tailed Grackle",1
"38","Bronzed Cowbird",1
"39","Brown-headed Cowbird",59
"40","Hooded Oriole",4
"41","Scott's Oriole",28
"42","House Finch",297
"43","House Sparrow",14
