"","treatment","response"
"1","Control","Malaria"
"2","Control","Malaria"
"3","Control","Malaria"
"4","Control","Malaria"
"5","Control","Malaria"
"6","Control","Malaria"
"7","Control","Malaria"
"8","Control","No Malaria"
"9","Control","No Malaria"
"10","Control","No Malaria"
"11","Control","No Malaria"
"12","Control","No Malaria"
"13","Control","No Malaria"
"14","Control","No Malaria"
"15","Control","No Malaria"
"16","Control","No Malaria"
"17","Control","No Malaria"
"18","Control","No Malaria"
"19","Control","No Malaria"
"20","Control","No Malaria"
"21","Control","No Malaria"
"22","Control","No Malaria"
"23","Control","No Malaria"
"24","Control","No Malaria"
"25","Control","No Malaria"
"26","Control","No Malaria"
"27","Control","No Malaria"
"28","Control","No Malaria"
"29","Control","No Malaria"
"30","Control","No Malaria"
"31","Control","No Malaria"
"32","Control","No Malaria"
"33","Control","No Malaria"
"34","Control","No Malaria"
"35","Control","No Malaria"
"36","Egg removal","Malaria"
"37","Egg removal","Malaria"
"38","Egg removal","Malaria"
"39","Egg removal","Malaria"
"40","Egg removal","Malaria"
"41","Egg removal","Malaria"
"42","Egg removal","Malaria"
"43","Egg removal","Malaria"
"44","Egg removal","Malaria"
"45","Egg removal","Malaria"
"46","Egg removal","Malaria"
"47","Egg removal","Malaria"
"48","Egg removal","Malaria"
"49","Egg removal","Malaria"
"50","Egg removal","Malaria"
"51","Egg removal","No Malaria"
"52","Egg removal","No Malaria"
"53","Egg removal","No Malaria"
"54","Egg removal","No Malaria"
"55","Egg removal","No Malaria"
"56","Egg removal","No Malaria"
"57","Egg removal","No Malaria"
"58","Egg removal","No Malaria"
"59","Egg removal","No Malaria"
"60","Egg removal","No Malaria"
"61","Egg removal","No Malaria"
"62","Egg removal","No Malaria"
"63","Egg removal","No Malaria"
"64","Egg removal","No Malaria"
"65","Egg removal","No Malaria"
