"","change.in.length"
"1",-1
"2",-11
"3",38
"4",-46
"5",-16
"6",-21
"7",5
"8",-14
"9",-33
"10",-27
"11",11
"12",-38
"13",-20
"14",-32
"15",-36
"16",-4
"17",-26
"18",-11
"19",-14
"20",-30
"21",4
"22",-10
"23",-25
"24",-20
"25",-3
"26",-5
"27",-20
"28",-12
"29",4
"30",6
"31",-26
"32",-15
"33",-15
"34",0
"35",-12
"36",-10
"37",4
"38",-3
"39",23
"40",-10
"41",11
"42",-21
"43",-12
"44",-6
"45",57
"46",4
"47",50
"48",50
"49",-9
"50",3
"51",9
"52",-4
"53",-4
"54",-5
"55",-9
"56",12
"57",0
"58",-1
"59",-12
"60",-5
"61",-3
"62",-6
"63",4
"64",-4
