"","species","mass","beak.length"
"1","WB.SPARW",40,10.6
"2","WB.SPARW",43,10.8
"3","WB.SPARW",37,10.9
"4","WB.SPARW",38,11.3
"5","WB.SPARW",43,10.9
"6","WB.SPARW",33,10.1
"7","WB.SPARW",35,10.7
"8","WB.SPARW",37,10.7
"9","WB.SPARW",36,10.9
"10","WB.SPARW",42,11.4
"11","WB.SPARW",36,10.8
"12","WB.SPARW",36,11.2
"13","WB.SPARW",39,10.7
"14","WB.SPARW",37,10
"15","WB.SPARW",34,10.1
"16","WB.SPARW",41,10.7
"17","CRU.WAXB",8,8.2
"18","CRU.WAXB",8,7.2
"19","CRU.WAXB",8,7.3
"20","CRU.WAXB",8,7.2
"21","CRU.WAXB",8,7.7
"22","CRU.WAXB",8,7.4
"23","CRU.WAXB",8,7.6
"24","CRU.WAXB",6,6.9
"25","CRU.WAXB",7,7.9
"26","CRU.WAXB",7,6.7
"27","CRU.WAXB",7,7
"28","CRU.WAXB",8,7.3
"29","CRU.WAXB",8,7.8
"30","CRU.WAXB",8,7.1
"31","CUTTHROA",16,8
"32","CUTTHROA",16,8.2
"33","CUTTHROA",16,7.8
"34","CUTTHROA",12,7.8
"35","CUTTHROA",16,8.3
"36","CUTTHROA",15,7.8
"37","CRU.WAXB",7,7.7
"38","CRU.WAXB",7,7.6
"39","CRU.WAXB",7,7.7
"40","CUTTHROA",15,8.5
"41","CUTTHROA",17,8.7
"42","CUTTHROA",15,7.4
"43","CUTTHROA",16,8
"44","CUTTHROA",15,7.7
"45","CUTTHROA",16,7.2
