"","year","pelts"
"1",1752,4009
"2",1753,7179
"3",1754,4198
"4",1755,1444
"5",1756,838
"6",1757,631
"7",1758,917
"8",1759,1881
"9",1760,3842
"10",1761,5338
"11",1762,5820
"12",1763,6000
"13",1764,3005
"14",1765,1771
"15",1766,1138
"16",1767,1088
"17",1768,1128
"18",1769,2508
"19",1770,4012
"20",1771,4225
"21",1772,5463
"22",1773,2301
"23",1774,1744
"24",1775,705
"25",1776,1157
"26",1777,2823
"27",1778,2478
"28",1779,1245
"29",1780,3168
"30",1781,2966
"31",1782,1553
"32",1783,960
"33",1784,980
"34",1785,822
"35",1786,801
"36",1787,1080
"37",1788,2050
"38",1789,1550
"39",1790,970
"40",1791,1603
"41",1792,1400
"42",1793,1546
"43",1794,989
"44",1795,1102
"45",1796,1149
"46",1797,1625
"47",1798,1541
"48",1799,2269
"49",1800,3708
"50",1801,4495
"51",1802,3658
"52",1803,2083
"53",1804,1091
"54",1805,820
"55",1806,1052
"56",1807,1588
"57",1808,2788
"58",1809,277
"59",1810,7029
"60",1811,2593
"61",1812,1884
"62",1813,167
"63",1814,122
"64",1815,131
"65",1816,116
"66",1817,347
"67",1818,845
"68",1819,1533
